fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
1.07220992136811e-18,6.43325952820868e-17,"Fatty acid oxidation",14,961
4.15963654693365e-16,1.24789096408009e-14,"Transport, mitochondrial",73,453
7.61443658117074e-07,1.52288731623415e-05,"Arachidonic acid metabolism",13,41
2.42007111030618e-06,3.63010666545927e-05,"Transport, peroxisomal",26,154
5.09649095124456e-06,6.11578914149348e-05,"Drug metabolism",16,573
7.54640519622804e-06,7.54640519622804e-05,"Fatty acid synthesis",2,239
0.000171780701490356,0.00147240601277448,"Peptide metabolism",4,242
0.000616357125365306,0.00462267844023979,"Cholesterol metabolism",5,242
0.004305832406258,0.0287055493750533,"Transport, endoplasmic reticular",23,211
0.0103188072862839,0.0590670072427367,"Exchange/demand reaction",105,1787
0.01096224270422,0.0590670072427367,"Pentose phosphate pathway",7,41
0.0123183531574805,0.0590670072427367,"Glycolysis/gluconeogenesis",7,42
0.0127978515692596,0.0590670072427367,"Sphingolipid metabolism",15,133
0.0184670648558856,0.0791445636680811,"Androgen and estrogen synthesis and metabolism",5,26
0.0514763115557864,0.205905246223145,"Transport, lysosomal",3,105
0.0652337858220213,0.236902736577082,"Alkaloid synthesis",1,1
0.0691379095724596,0.236902736577082,"Glycerophospholipid metabolism",14,165
0.0710708209731245,0.236902736577082,"Tyrosine metabolism",9,93
0.0821798332292519,0.259515262829217,"Tetrahydrobiopterin metabolism",3,18
0.0893491257711607,0.268047377313482,"Glycosphingolipid metabolism",7,71
0.0972306467996127,0.270245248534441,"Tryptophan metabolism",5,45
0.0990899244626283,0.270245248534441,"Transport, nuclear",2,71
0.10963958602305,0.271117071214704,"Pyrimidine synthesis",3,21
0.113825302392342,0.271117071214704,"Bile acid synthesis",13,185
0.118484150378219,0.271117071214704,"Nucleotide interconversion",9,164
0.119956394270959,0.271117071214704,"Miscellaneous",11,152
0.122002682046617,0.271117071214704,"Xenobiotics metabolism",1,2
0.146535915933061,0.291431658632127,"Eicosanoid metabolism",7,93
0.146691546165616,0.291431658632127,"Phosphatidylinositol phosphate metabolism",4,40
0.15257115985896,0.291431658632127,"Transport, golgi apparatus",5,98
0.15498030145923,0.291431658632127,"Folate metabolism",2,59
0.158270372721838,0.291431658632127,"Vitamin D metabolism",2,13
0.170003720885514,0.291431658632127,"Steroid metabolism",5,90
0.171332877484181,0.291431658632127,"Starch and sucrose metabolism",1,42
0.175273245910268,0.291431658632127,"Methionine and cysteine metabolism",4,46
0.186335003087243,0.291431658632127,"Cytochrome metabolism",2,15
0.186335003087243,0.291431658632127,"Propanoate metabolism",2,15
0.186994928208706,0.291431658632127,"Urea cycle",1,40
0.189774870443981,0.291431658632127,"Lysine metabolism",3,31
0.195824476557544,0.291431658632127,"Aminosugar metabolism",3,32
0.199144966731953,0.291431658632127,"Glutamate metabolism",2,16
0.206583181939737,0.295118831342482,"Pyrimidine catabolism",3,34
0.220947277811504,0.295198598959304,"Phenylalanine metabolism",1,36
0.221550851330495,0.295198598959304,"Vitamin A metabolism",2,47
0.232040846721766,0.295198598959304,"Heme synthesis",2,19
0.232392504763675,0.295198598959304,"Valine, leucine, and isoleucine metabolism",2,45
0.233379028198242,0.295198598959304,"Glycine, serine, alanine, and threonine metabolism",3,47
0.239057911024567,0.295198598959304,"Purine catabolism",1,34
0.241078855816765,0.295198598959304,"Citric acid cycle",2,20
0.257730364733528,0.309276437680233,"Pyruvate metabolism",1,32
0.278132383496879,0.316752033404216,"NAD metabolism",2,27
0.279797629507057,0.316752033404216,"R group synthesis",1,6
0.279797629507057,0.316752033404216,"Thiamine metabolism",1,6
0.326130234543675,0.36236692727075,"Taurine and hypotaurine metabolism",1,8
0.343028813262466,0.374213250831781,"Triacylglycerol synthesis",1,9
0.356339259919937,0.381792064199932,"Beta-Alanine metabolism",1,10
0.378499302206877,0.387506297315054,"Alanine and aspartate metabolism",1,13
0.380536699995554,0.387506297315054,"Glutathione metabolism",1,16
0.38104785902647,0.387506297315054,"Histidine metabolism",1,14
1,1,"Transport, extracellular",173,2652
