fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
1.93942077302856e-19,1.00849880197485e-17,"Fatty acid oxidation",7,961
1.20611776143521e-06,3.13590617973154e-05,"Drug metabolism",10,573
2.8531672143214e-05,0.000494548983815709,"Exchange/demand reaction",73,1787
0.000104678383210252,0.00136081898173328,"Cholesterol metabolism",2,242
0.00032541421588915,0.00338430784524716,"NAD metabolism",7,27
0.000512334340360038,0.004440230949787,"Peptide metabolism",3,242
0.00106392011461653,0.00790340656572278,"Glycolysis/gluconeogenesis",8,42
0.00575154805627354,0.037385062365778,"Sphingolipid metabolism",14,133
0.00885915927945893,0.0511862536146516,"Bile acid synthesis",17,185
0.0208663555003442,0.10850504860179,"Glycosphingolipid metabolism",8,71
0.0307020662868014,0.145137040628516,"Eicosanoid metabolism",1,93
0.0382843135975708,0.16158016579072,"Transport, endoplasmic reticular",16,211
0.0407263680291004,0.16158016579072,"Urea cycle",5,40
0.0435023523282708,0.16158016579072,"Glycerophospholipid metabolism",13,165
0.0485587153136106,0.16833687975385,"Transport, mitochondrial",19,453
0.0530820642984367,0.172516708969919,"Transport, lysosomal",9,105
0.0618510998658111,0.18919159958954,"Aminosugar metabolism",4,32
0.0674229673126212,0.194705697776757,"Citric acid cycle",3,20
0.0734265806643359,0.194705697776757,"Transport, golgi apparatus",8,98
0.0754049228703626,0.194705697776757,"Miscellaneous",11,152
0.0786311471790751,0.194705697776757,"Transport, peroxisomal",11,154
0.100719270965793,0.232316270822193,"Xenobiotics metabolism",1,2
0.102755273632893,0.232316270822193,"Inositol phosphate metabolism",1,65
0.11127627888964,0.241098604260886,"Androgen and estrogen synthesis and metabolism",3,26
0.127533314124966,0.245250654075841,"Nucleotide interconversion",7,164
0.1301715812052,0.245250654075841,"Folate metabolism",1,59
0.132077471951459,0.245250654075841,"Methionine and cysteine metabolism",4,46
0.133664111398668,0.245250654075841,"Galactose metabolism",2,14
0.136774403234603,0.245250654075841,"Glycine, serine, alanine, and threonine metabolism",4,47
0.146101335970697,0.253242315682541,"Propanoate metabolism",2,15
0.158171574735273,0.254079660177598,"Glutamate metabolism",2,16
0.158171574735273,0.254079660177598,"Glutathione metabolism",2,16
0.161242861266553,0.254079660177598,"Transport, nuclear",2,71
0.16619146396555,0.254175180182606,"Pyrimidine catabolism",3,34
0.182866687428843,0.265187908867256,"Steroid metabolism",5,90
0.183591629215793,0.265187908867256,"Tyrosine metabolism",5,93
0.206612386020359,0.290374164136721,"Starch and sucrose metabolism",3,42
0.215449941125693,0.294826235224633,"Tryptophan metabolism",1,45
0.263112391813178,0.336164430206375,"Blood group synthesis",2,47
0.263112391813178,0.336164430206375,"Vitamin A metabolism",2,47
0.268875939492356,0.336164430206375,"Valine, leucine, and isoleucine metabolism",2,45
0.277217338077676,0.336164430206375,"Arachidonic acid metabolism",2,41
0.277982124978349,0.336164430206375,"Purine catabolism",2,34
0.290805315238131,0.343679008917792,"Taurine and hypotaurine metabolism",1,8
0.309833045773758,0.354247319498679,"Triacylglycerol synthesis",1,9
0.313372628787293,0.354247319498679,"Pyruvate metabolism",1,32
0.326023505936737,0.360706857632135,"Beta-Alanine metabolism",1,10
0.359938357123556,0.381744702154596,"Alanine and aspartate metabolism",1,13
0.367062213610189,0.381744702154596,"Glyoxylate and dicarboxylate metabolism",1,14
0.367062213610189,0.381744702154596,"Histidine metabolism",1,14
0.37571657115037,0.383083562741554,"Pyrimidine synthesis",1,21
1,1,"Transport, extracellular",141,2652
