fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
1.22651217369776e-05,0.000600990965111902,"Transport, peroxisomal",16,154
0.000167452793737327,0.0041025934465645,"Exchange/demand reaction",71,1787
0.000551890639026045,0.00702993145236834,"Fructose and mannose metabolism",5,23
0.000573871955295375,0.00702993145236834,"Fatty acid oxidation",17,961
0.00110252455966063,0.0108047406846742,"Bile acid synthesis",14,185
0.00270483194142106,0.0220894608549387,"Fatty acid synthesis",1,239
0.00712351652412655,0.0498646156688859,"Androgen and estrogen synthesis and metabolism",4,26
0.0104371402217706,0.0639274838583449,"Transport, mitochondrial",22,453
0.012057523262211,0.0656465155387041,"Glycine, serine, alanine, and threonine metabolism",5,47
0.0156957902465712,0.0769093722081988,"Ubiquinone synthesis",3,18
0.0229905006308588,0.0926937800293938,"Taurine and hypotaurine metabolism",2,8
0.0239167776548005,0.0926937800293938,"Glycerophospholipid metabolism",1,165
0.0245922273547371,0.0926937800293938,"Nucleotide interconversion",1,164
0.0324632868916234,0.111752611231141,"Starch and sucrose metabolism",4,42
0.0342099830299411,0.111752611231141,"Miscellaneous",1,152
0.0410856657348479,0.125824851312972,"Vitamin B6 metabolism",2,11
0.0604226380899823,0.159830736944059,"Transport, endoplasmic reticular",10,211
0.0613650445234531,0.159830736944059,"Xenobiotics metabolism",1,2
0.0619751837130027,0.159830736944059,"Peptide metabolism",4,242
0.0697292606276265,0.162701608131129,"Purine catabolism",3,34
0.0697292606276265,0.162701608131129,"Pyrimidine catabolism",3,34
0.0781300385683073,0.167611071543063,"Phenylalanine metabolism",3,36
0.0786745846018458,0.167611071543063,"Drug metabolism",15,573
0.0978432227031869,0.186987998005182,"Eicosanoid metabolism",5,93
0.0978432227031869,0.186987998005182,"Tyrosine metabolism",5,93
0.0992181213905048,0.186987998005182,"Heme synthesis",2,19
0.116942628502966,0.212229214690568,"Tryptophan metabolism",3,45
0.127468752373399,0.223070316653448,"Sphingolipid metabolism",2,133
0.133852585825465,0.226164713980959,"Transport, golgi apparatus",1,98
0.160038038331869,0.261395462608719,"Steroid metabolism",1,90
0.190562074257545,0.301211020600635,"Aminosugar metabolism",2,32
0.199203660512592,0.305030605159907,"Transport, lysosomal",2,105
0.220943926176206,0.327426025219242,"Triacylglycerol synthesis",1,9
0.232285318847712,0.327426025219242,"Arginine and proline metabolism",2,40
0.235459172050786,0.327426025219242,"Transport, nuclear",1,71
0.240557896079443,0.327426025219242,"Glycolysis/gluconeogenesis",2,42
0.251330470446817,0.328158104188001,"Valine, leucine, and isoleucine metabolism",2,45
0.254489958349878,0.328158104188001,"Methionine and cysteine metabolism",2,46
0.280880846241711,0.352901576047278,"Alanine and aspartate metabolism",1,13
0.289348647888426,0.354452093663321,"Folate metabolism",1,59
0.314084924034874,0.375369787261191,"Glutamate metabolism",1,16
0.33144011635078,0.383855130665618,"Tetrahydrobiopterin metabolism",1,18
0.340237560730396,0.383855130665618,"Vitamin A metabolism",1,47
0.351252822101476,0.383855130665618,"Pyrimidine synthesis",1,21
0.36035379613507,0.383855130665618,"Arachidonic acid metabolism",1,41
0.36035379613507,0.383855130665618,"Pentose phosphate pathway",1,41
0.375939793599416,0.383937258954917,"Pyruvate metabolism",1,32
0.376101804690531,0.383937258954917,"Lysine metabolism",1,31
1,1,"Transport, extracellular",84,2652
