fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
2.52286165900631e-11,1.1605163631429e-09,"Transport, golgi apparatus",21,98
1.40076526481373e-07,3.22176010907158e-06,"Vitamin D metabolism",7,13
1.0413504082393e-05,0.00015967372926336,"Transport, peroxisomal",18,154
9.51936130768876e-05,0.00109472655038421,"Fatty acid oxidation",20,961
0.000973621720595232,0.00895731982947613,"Bile acid synthesis",16,185
0.00186155084349107,0.0142718898000982,"Propanoate metabolism",4,15
0.00294573982926143,0.0193577188780037,"Fatty acid synthesis",2,239
0.00484468620702673,0.0278569456904037,"Transport, mitochondrial",27,453
0.00650169129547864,0.0332308666213353,"Pyrimidine synthesis",4,21
0.00752605768439345,0.0346198653482099,"Drug metabolism",13,573
0.0241519590346949,0.100999101417815,"Glycine, serine, alanine, and threonine metabolism",5,47
0.0289103077520305,0.108180137226165,"Transport, endoplasmic reticular",13,211
0.0307214824489976,0.108180137226165,"Purine catabolism",4,34
0.032924389590572,0.108180137226165,"Citric acid cycle",3,20
0.0462878914888368,0.136601060285527,"Exchange/demand reaction",74,1787
0.0475134122732269,0.136601060285527,"Peptide metabolism",5,242
0.0645725929910717,0.174725839858194,"NAD metabolism",3,27
0.07399239764385,0.189091682867617,"Xenobiotics metabolism",1,2
0.090335677725732,0.206173821900315,"Pyruvate metabolism",3,32
0.0919928126197567,0.206173821900315,"Miscellaneous",3,152
0.0941228317371001,0.206173821900315,"Eicosanoid metabolism",1,93
0.106758465053306,0.223222245111458,"Butanoate metabolism",1,3
0.132006199694065,0.26401239938813,"Sphingolipid metabolism",3,133
0.152125844592855,0.274786910700175,"Glycerophospholipid metabolism",7,165
0.15533081917749,0.274786910700175,"Glycosphingolipid metabolism",4,71
0.156451899988949,0.274786910700175,"Tryptophan metabolism",3,45
0.16416177393933,0.274786910700175,"Transport, lysosomal",5,105
0.167261597817498,0.274786910700175,"Nucleotide interconversion",6,164
0.177834353904257,0.282082078606752,"Tyrosine metabolism",2,93
0.188408476882838,0.288892997887018,"Androgen and estrogen synthesis and metabolism",2,26
0.234365304079915,0.347767870570196,"Taurine and hypotaurine metabolism",1,8
0.253589197923459,0.363296670532058,"Vitamin B2 metabolism",1,9
0.262213191350309,0.363296670532058,"Urea cycle",2,40
0.270998335696571,0.363296670532058,"Beta-Alanine metabolism",1,10
0.276421379752653,0.363296670532058,"Vitamin A metabolism",2,47
0.286702289214793,0.36634181399668,"Vitamin B6 metabolism",1,11
0.303498679433501,0.373891582073981,"Methionine and cysteine metabolism",1,46
0.308866959104593,0.373891582073981,"Valine, leucine, and isoleucine metabolism",1,45
0.324524788111229,0.375254321595205,"Glycolysis/gluconeogenesis",1,42
0.334439978000496,0.375254321595205,"Arginine and proline metabolism",1,40
0.334465808378335,0.375254321595205,"Cytochrome metabolism",1,15
0.352370656079848,0.377574916658908,"Phenylalanine metabolism",1,36
0.360044071220177,0.377574916658908,"Pyrimidine catabolism",1,34
0.36235241215689,0.377574916658908,"Heme synthesis",1,19
0.369366766296758,0.377574916658908,"Lysine metabolism",1,31
1,1,"Transport, extracellular",102,2652
