fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
1.05243409538492e-17,6.31460457230951e-16,"Drug metabolism",75,573
1.03523671116654e-10,2.89259573212594e-09,"Exchange/demand reaction",126,1787
1.44629786606297e-10,2.89259573212594e-09,"Fatty acid oxidation",18,961
2.68229603154398e-06,4.02344404731597e-05,"Blood group synthesis",12,47
5.50200131559572e-05,0.000660240157871487,"Eicosanoid metabolism",15,93
0.000114094314094363,0.00114094314094363,"Peptide metabolism",2,242
0.000355950827444651,0.00305100709238272,"Phenylalanine metabolism",8,36
0.000554158041179836,0.00415618530884877,"Cholesterol metabolism",3,242
0.000636064137519992,0.00424042758346661,"Fatty acid synthesis",3,239
0.000741814943125671,0.00445088965875403,"Glycosphingolipid metabolism",11,71
0.0017000830894528,0.0092177776155216,"Vitamin B6 metabolism",4,11
0.00184355552310432,0.0092177776155216,"Miscellaneous",1,152
0.010883413642239,0.050231139887257,"O-glycan metabolism",4,18
0.0201887755814155,0.0825648710944773,"Transport, nuclear",8,71
0.0206412177736193,0.0825648710944773,"Valine, leucine, and isoleucine metabolism",6,45
0.0346952472814122,0.126394246908042,"Glycerophospholipid metabolism",4,165
0.035811703290612,0.126394246908042,"Nucleotide interconversion",4,164
0.046314249454604,0.154380831515347,"Starch and sucrose metabolism",5,42
0.0529182818069355,0.167110363600849,"N-glycan synthesis",3,18
0.0562114704129104,0.168634411238731,"C5-branched dibasic acid metabolism",2,8
0.0595719923065309,0.170205692304374,"Heme synthesis",3,19
0.0665979100475874,0.174166347499945,"Keratan sulfate degradation",1,76
0.0684997570614211,0.174166347499945,"Vitamin B2 metabolism",2,9
0.0718342114940235,0.174166347499945,"Transport, golgi apparatus",8,98
0.0725693114583104,0.174166347499945,"Inositol phosphate metabolism",6,65
0.0915797797871977,0.211337953355072,"Transport, mitochondrial",24,453
0.100435781072874,0.221400491038172,"Transport, endoplasmic reticular",13,211
0.106914102049174,0.221400491038172,"Biotin metabolism",2,12
0.107010237335116,0.221400491038172,"Transport, peroxisomal",10,154
0.127639997863754,0.234801643449892,"Sphingolipid metabolism",5,133
0.130061424621113,0.234801643449892,"Transport, lysosomal",7,105
0.132400653755603,0.234801643449892,"CoA synthesis",2,14
0.132400653755603,0.234801643449892,"Galactose metabolism",2,14
0.133054264621605,0.234801643449892,"Bile acid synthesis",10,185
0.143799380054566,0.246513222950685,"Steroid metabolism",6,90
0.149834953860115,0.249724923100192,"Tyrosine metabolism",6,93
0.164687849307051,0.267061377254677,"Purine catabolism",3,34
0.179645778665549,0.28365122947192,"CoA catabolism",1,4
0.203804603217608,0.313545543411705,"Glycine, serine, alanine, and threonine metabolism",1,47
0.221519858752627,0.33227978812894,"Vitamin A metabolism",3,47
0.239495823348017,0.346988179589066,"Glycolysis/gluconeogenesis",1,42
0.253566887324982,0.346988179589066,"NAD metabolism",2,27
0.254457998365315,0.346988179589066,"Phosphatidylinositol phosphate metabolism",1,40
0.254457998365315,0.346988179589066,"Urea cycle",1,40
0.269678406684496,0.354376559744859,"Tryptophan metabolism",2,45
0.273468668352791,0.354376559744859,"Aminosugar metabolism",2,32
0.27759497180014,0.354376559744859,"Pentose phosphate pathway",2,41
0.289549732486647,0.361937165608308,"Taurine and hypotaurine metabolism",1,8
0.300146614204002,0.367526466372248,"Pyrimidine catabolism",1,34
0.322284793054256,0.374856053481589,"Lysine metabolism",1,31
0.32487524635071,0.374856053481589,"Beta-Alanine metabolism",1,10
0.32487524635071,0.374856053481589,"Oxidative phosphorylation",1,10
0.34990069761548,0.385706143667574,"N-glycan degradation",1,12
0.359101053711241,0.385706143667574,"Vitamin D metabolism",1,13
0.371840482227346,0.385706143667574,"Cytochrome metabolism",1,15
0.375722927408989,0.385706143667574,"Glutamate metabolism",1,16
0.375722927408989,0.385706143667574,"Glutathione metabolism",1,16
0.378107400538629,0.385706143667574,"Citric acid cycle",1,20
0.379277707939781,0.385706143667574,"Tetrahydrobiopterin metabolism",1,18
1,1,"Transport, extracellular",140,2652
