fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
4.41845808382896e-09,1.69194634162642e-07,"Blood group synthesis",17,47
5.73541132754718e-09,1.69194634162642e-07,"Fatty acid oxidation",33,961
3.24660442834868e-08,6.38498870908573e-07,"Folate metabolism",18,59
1.90344294912446e-06,2.80757834995858e-05,"Peptide metabolism",2,242
1.53535472166035e-05,0.000181171857155921,"Fatty acid synthesis",3,239
9.61051256251507e-05,0.000945033735313982,"Phenylalanine metabolism",10,36
0.000131578030722893,0.00110901483037867,"Transport, endoplasmic reticular",29,211
0.000259162133321622,0.00191132073324696,"Drug metabolism",59,573
0.000383597327589231,0.00251469359197385,"Eicosanoid metabolism",16,93
0.000769379038587017,0.0045393363276634,"Cholesterol metabolism",6,242
0.000927257616642933,0.00497347267108482,"Exchange/demand reaction",143,1787
0.00173996292731488,0.00825571360722716,"Bile acid synthesis",4,185
0.00181905554057548,0.00825571360722716,"Transport, golgi apparatus",15,98
0.00504416839543592,0.0208873495236065,"Glycerophospholipid metabolism",4,165
0.00531034309922198,0.0208873495236065,"Nucleotide interconversion",4,164
0.0264429443950642,0.0975083574567992,"O-glycan metabolism",4,18
0.0430615189254032,0.149448800976399,"Miscellaneous",6,152
0.0527082001599075,0.170925339740988,"Transport, mitochondrial",27,453
0.0550437534759112,0.170925339740988,"N-glycan metabolism",2,6
0.0625949470314876,0.184655093742888,"Tyrosine metabolism",3,93
0.0730963181377238,0.200808980213848,"Transport, lysosomal",4,105
0.0748779248255025,0.200808980213848,"Glutathione metabolism",3,16
0.08291871221144,0.212704522629346,"Sphingolipid metabolism",12,133
0.0889526640789706,0.218675299194136,"C5-branched dibasic acid metabolism",2,8
0.103409334665432,0.244046029810418,"Inositol phosphate metabolism",2,65
0.114814803686814,0.252695646024747,"Glycine, serine, alanine, and threonine metabolism",1,47
0.118462062906842,0.252695646024747,"Methionine and cysteine metabolism",5,46
0.127022952455545,0.252695646024747,"Purine catabolism",4,34
0.127367627064668,0.252695646024747,"Tryptophan metabolism",1,45
0.128489311538007,0.252695646024747,"Transport, peroxisomal",10,154
0.151860045871729,0.278425461792457,"Steroid metabolism",7,90
0.152962172170579,0.278425461792457,"Transport, nuclear",6,71
0.155729495578832,0.278425461792457,"Pentose phosphate pathway",1,41
0.163512292583199,0.28374191948261,"Arginine and proline metabolism",1,40
0.181526484753752,0.306001788584896,"Glycosphingolipid metabolism",4,71
0.187456154985643,0.307219809559803,"Galactose metabolism",2,14
0.201208988890812,0.313307706597494,"Propanoate metabolism",2,15
0.201791404249234,0.313307706597494,"Vitamin A metabolism",2,47
0.209026218114542,0.316219150480974,"Aminosugar metabolism",3,32
0.225794082109521,0.321384825703564,"CoA catabolism",1,4
0.232772923531918,0.321384825703564,"Valine, leucine, and isoleucine metabolism",3,45
0.233109898474912,0.321384825703564,"Urea cycle",3,40
0.234229618733106,0.321384825703564,"Starch and sucrose metabolism",3,42
0.270681836072204,0.361485257334077,"Pyrimidine catabolism",2,34
0.280622000691801,0.361485257334077,"Androgen and estrogen synthesis and metabolism",2,26
0.281835963345213,0.361485257334077,"NAD metabolism",2,27
0.337951434184197,0.389146560409366,"Leukotriene metabolism",1,8
0.337951434184197,0.389146560409366,"Taurine and hypotaurine metabolism",1,8
0.353593191657076,0.389146560409366,"Triacylglycerol synthesis",1,9
0.353593191657076,0.389146560409366,"Vitamin B2 metabolism",1,9
0.36538111787661,0.389146560409366,"Beta-Alanine metabolism",1,10
0.367663155881697,0.389146560409366,"Tetrahydrobiopterin metabolism",1,18
0.378019512851889,0.389146560409366,"Glutamate metabolism",1,16
0.379192422983232,0.389146560409366,"N-glycan degradation",1,12
0.381131775868078,0.389146560409366,"Cytochrome metabolism",1,15
0.382005245565336,0.389146560409366,"Alanine and aspartate metabolism",1,13
0.382005245565336,0.389146560409366,"Vitamin D metabolism",1,13
0.382550855995648,0.389146560409366,"CoA synthesis",1,14
1,1,"Transport, extracellular",186,2652
