fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
0,0,"Transport, extracellular",66,2652
1.24058293682493e-13,2.5431950204911e-12,"Exchange/demand reaction",74,1787
4.10613282576671e-07,5.61171486188117e-06,"Drug metabolism",35,573
2.65715731758395e-05,0.000272358625052355,"Purine catabolism",7,34
0.000314241913140462,0.00257678368775179,"Vitamin D metabolism",4,13
0.00466685131574799,0.0318901506576113,"Fatty acid oxidation",37,961
0.0068514410782981,0.0401298691728888,"Propanoate metabolism",3,15
0.00996141642098661,0.0510522591575564,"Eicosanoid metabolism",7,93
0.0139135382483977,0.0633838964649229,"Phenylalanine metabolism",4,36
0.0161604749821274,0.0662579474267222,"Transport, peroxisomal",9,154
0.0182340375832332,0.0679632309920511,"C5-branched dibasic acid metabolism",2,8
0.021846301578074,0.0746415303917529,"Peptide metabolism",2,242
0.0277301203855597,0.0867052942215899,"Beta-Alanine metabolism",2,10
0.0312442852326034,0.0867052942215899,"Glycine, serine, alanine, and threonine metabolism",4,47
0.0317214491054597,0.0867052942215899,"NAD metabolism",3,27
0.0566731580452417,0.145224967490932,"Fatty acid synthesis",3,239
0.0677160053790475,0.163315071796526,"Transport, mitochondrial",16,453
0.0791628068810176,0.180315282340096,"Butanoate metabolism",1,3
0.0887744933622491,0.191566011992222,"Citric acid cycle",2,20
0.136525531228266,0.279877339017946,"Nucleotide interconversion",6,164
0.151403839745899,0.286936184087447,"Transport, lysosomal",1,105
0.169768756260656,0.286936184087447,"Transport, endoplasmic reticular",6,211
0.173827705595529,0.286936184087447,"Bile acid synthesis",4,185
0.183616126847814,0.286936184087447,"Transport, nuclear",3,71
0.18561181781555,0.286936184087447,"Miscellaneous",3,152
0.200796460764477,0.286936184087447,"Vitamin B2 metabolism",1,9
0.208845259599796,0.286936184087447,"Urea cycle",2,40
0.213879106082761,0.286936184087447,"Sphingolipid metabolism",3,133
0.221733481321314,0.286936184087447,"Steroid metabolism",3,90
0.229195662631868,0.286936184087447,"Transport, golgi apparatus",3,98
0.23047336763608,0.286936184087447,"Tryptophan metabolism",2,45
0.23047336763608,0.286936184087447,"Valine, leucine, and isoleucine metabolism",2,45
0.232045676270008,0.286936184087447,"Vitamin B6 metabolism",1,11
0.237947079487151,0.286936184087447,"Vitamin A metabolism",2,47
0.273296435963283,0.320147253556989,"Glycosphingolipid metabolism",1,71
0.33454566165064,0.373854754874032,"Pyrimidine synthesis",1,21
0.369712760585643,0.373854754874032,"Glycolysis/gluconeogenesis",1,42
0.371290862072251,0.373854754874032,"Pentose phosphate pathway",1,41
0.372547987248209,0.373854754874032,"Lysine metabolism",1,31
0.372649778281336,0.373854754874032,"Arginine and proline metabolism",1,40
0.373854754874032,0.373854754874032,"Pyruvate metabolism",1,32
