fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
3.23913978090374e-23,1.94348386854224e-21,"Drug metabolism",94,573
1.33395272170195e-14,4.00185816510584e-13,"Fatty acid oxidation",19,961
1.76051399313872e-12,3.52102798627743e-11,"Steroid metabolism",27,90
6.22566972086788e-09,9.33850458130182e-08,"Exchange/demand reaction",147,1787
8.07920874717936e-08,9.69505049661523e-07,"Blood group synthesis",15,47
4.48117034937694e-05,0.000448117034937694,"Cholesterol metabolism",3,242
0.000236529826457118,0.00202739851248958,"Fatty acid synthesis",4,239
0.000710411434003113,0.00532808575502335,"Peptide metabolism",5,242
0.00112128339757584,0.00747522265050561,"Glycosphingolipid metabolism",12,71
0.00349601378875398,0.0193070128207039,"Vitamin B6 metabolism",4,11
0.00353961901712905,0.0193070128207039,"Nucleotide interconversion",3,164
0.00985914782504193,0.0492957391252096,"Glycerophospholipid metabolism",4,165
0.0196561287925107,0.0879001053220202,"Eicosanoid metabolism",11,93
0.0205100245751381,0.0879001053220202,"O-glycan metabolism",4,18
0.0316043405773281,0.126417362309312,"Keratan sulfate degradation",1,76
0.0369076302564752,0.138403613461782,"Miscellaneous",5,152
0.0480577590207062,0.169615620073081,"Transport, mitochondrial",24,453
0.068402477510464,0.20136738058962,"Tyrosine metabolism",9,93
0.0688010970620284,0.20136738058962,"Sphingolipid metabolism",5,133
0.0779358840248193,0.20136738058962,"C5-branched dibasic acid metabolism",2,8
0.0803146517886755,0.20136738058962,"N-glycan synthesis",3,18
0.080315915001954,0.20136738058962,"Starch and sucrose metabolism",5,42
0.0806783351466001,0.20136738058962,"Transport, golgi apparatus",9,98
0.0857741383898917,0.20136738058962,"Transport, endoplasmic reticular",16,211
0.0866587967313116,0.20136738058962,"Transport, nuclear",7,71
0.0892905916597049,0.20136738058962,"Heme synthesis",3,19
0.0937984556220473,0.20136738058962,"Vitamin B2 metabolism",2,9
0.0947055034184533,0.20136738058962,"Valine, leucine, and isoleucine metabolism",5,45
0.097327567284983,0.20136738058962,"Transport, lysosomal",9,105
0.109862204592232,0.219724409184464,"Bile acid synthesis",10,185
0.117130260513776,0.226703730026663,"Inositol phosphate metabolism",6,65
0.120960114907274,0.226800215451138,"Phenylalanine metabolism",4,36
0.133290291416496,0.24234598439363,"Transport, peroxisomal",10,154
0.141029843206716,0.248876193894205,"Biotin metabolism",2,12
0.156002123048531,0.267432210940339,"Alanine and aspartate metabolism",2,13
0.170347145857591,0.272550385611848,"CoA synthesis",2,14
0.170347145857591,0.272550385611848,"Galactose metabolism",2,14
0.175092496293376,0.272550385611848,"Glycolysis/gluconeogenesis",1,42
0.182827362134002,0.272550385611848,"Pentose phosphate pathway",1,41
0.183962400036038,0.272550385611848,"Cytochrome metabolism",2,15
0.190785269928293,0.272550385611848,"Phosphatidylinositol phosphate metabolism",1,40
0.190785269928293,0.272550385611848,"Urea cycle",1,40
0.211397571494605,0.288269415674461,"CoA catabolism",1,4
0.211397571494605,0.288269415674461,"Heme degradation",1,4
0.229868593516848,0.293894748737501,"Methionine and cysteine metabolism",2,46
0.233543903594823,0.293894748737501,"Glycine, serine, alanine, and threonine metabolism",3,47
0.233543903594823,0.293894748737501,"Vitamin A metabolism",3,47
0.235115798990001,0.293894748737501,"Tryptophan metabolism",2,45
0.270629164296593,0.331382650159093,"Lysine metabolism",1,31
0.280851326549688,0.337021591859625,"Aminosugar metabolism",2,32
0.308146127477548,0.362524855855939,"NAD metabolism",1,27
0.317272665575718,0.36608384489506,"Androgen and estrogen synthesis and metabolism",1,26
0.324187080607442,0.367004242197104,"Taurine and hypotaurine metabolism",1,8
0.354789627295014,0.387043229776379,"Beta-Alanine metabolism",1,10
0.354789627295014,0.387043229776379,"Oxidative phosphorylation",1,10
0.364457987881744,0.387181183406196,"Citric acid cycle",1,20
0.372710954613685,0.387181183406196,"N-glycan degradation",1,12
0.3748448056049,0.387181183406196,"Tetrahydrobiopterin metabolism",1,18
0.380728163682759,0.387181183406196,"Glutathione metabolism",1,16
1,1,"Transport, extracellular",171,2652
