fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
6.0110000627622e-23,3.18583003326397e-21,"Transport, mitochondrial",71,453
2.37206057457486e-13,6.28596052262338e-12,"Steroid metabolism",25,90
4.28151130911059e-12,7.56400331276204e-11,"Fatty acid oxidation",14,961
1.34139798451644e-06,1.77735232948428e-05,"Exchange/demand reaction",113,1787
2.55550084374048e-06,2.70883089436491e-05,"Arachidonic acid metabolism",11,41
6.08636445556352e-06,5.37628860241444e-05,"Transport, endoplasmic reticular",26,211
0.000114049620635943,0.000863518556243565,"Transport, peroxisomal",19,154
0.000542352117239001,0.00359308277670838,"Bile acid synthesis",1,185
0.00108544192713573,0.00639204690424374,"Fatty acid synthesis",3,239
0.00289828779966519,0.0153609253382255,"Pentose phosphate pathway",7,41
0.00874538714714045,0.0386254598998703,"Cholesterol metabolism",5,242
0.00874538714714045,0.0386254598998703,"Peptide metabolism",5,242
0.0245215839616422,0.0999726115359258,"Eicosanoid metabolism",9,93
0.0306671607326564,0.116097108487913,"Cytochrome metabolism",3,15
0.0436880523081433,0.145551672716924,"Drug metabolism",34,573
0.0472562556220519,0.145551672716924,"Tetrahydrobiopterin metabolism",3,18
0.048908625926558,0.145551672716924,"Tryptophan metabolism",5,45
0.0501508295625944,0.145551672716924,"Alkaloid synthesis",1,1
0.0521789015400294,0.145551672716924,"Methionine and cysteine metabolism",5,46
0.0661684184206187,0.167061623235388,"Pyrimidine synthesis",3,21
0.0661942280743992,0.167061623235388,"Transport, lysosomal",2,105
0.0905845555549507,0.209435671817899,"Phosphatidylinositol phosphate metabolism",4,40
0.0908871783360696,0.209435671817899,"Tyrosine metabolism",7,93
0.100380828926267,0.221674330545505,"Androgen and estrogen synthesis and metabolism",3,26
0.111396649603002,0.227077785729196,"Alanine and aspartate metabolism",2,13
0.111396649603002,0.227077785729196,"Vitamin D metabolism",2,13
0.115839810896294,0.227389258426058,"Nucleotide interconversion",6,164
0.134607786964964,0.246236088613128,"Lysine metabolism",3,31
0.136448353563474,0.246236088613128,"Miscellaneous",6,152
0.139378918082903,0.246236088613128,"Glycerophospholipid metabolism",7,165
0.147094825022154,0.251484700844328,"Glutamate metabolism",2,16
0.15586329159788,0.258148576708988,"Sphingolipid metabolism",7,133
0.172094765718574,0.276394623729831,"Heme degradation",1,4
0.179876060145422,0.277877096885317,"Heme synthesis",2,19
0.183503743226153,0.277877096885317,"Transport, golgi apparatus",4,98
0.214646019096387,0.29533518763913,"Blood group synthesis",3,47
0.220215374035744,0.29533518763913,"Glycosphingolipid metabolism",3,71
0.220215374035744,0.29533518763913,"Transport, nuclear",3,71
0.23008007973584,0.29533518763913,"Folate metabolism",2,59
0.233042765058385,0.29533518763913,"R group synthesis",1,6
0.233042765058385,0.29533518763913,"Thiamine metabolism",1,6
0.234039205298933,0.29533518763913,"Valine, leucine, and isoleucine metabolism",1,45
0.269669701029122,0.322581863306278,"Urea cycle",1,40
0.270355672907663,0.322581863306278,"Glycine, serine, alanine, and threonine metabolism",2,47
0.273890261297783,0.322581863306278,"Pyrimidine catabolism",2,34
0.298587922052932,0.344025214539248,"Phenylalanine metabolism",1,36
0.312747970545265,0.346004745461385,"Purine catabolism",1,34
0.316471316533026,0.346004745461385,"Beta-Alanine metabolism",1,10
0.326419571189985,0.346004745461385,"Aminosugar metabolism",1,32
0.326419571189985,0.346004745461385,"Pyruvate metabolism",1,32
0.356543747900828,0.370525855661644,"NAD metabolism",1,27
0.37877687668595,0.386061047391449,"Citric acid cycle",1,20
1,1,"Transport, extracellular",133,2652
