fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
7.35816974204555e-12,4.12057505554551e-10,"Fatty acid oxidation",19,961
2.30307318567584e-05,0.000644860491989236,"Drug metabolism",54,573
0.000430488953893264,0.00684976338562905,"Glycerophospholipid metabolism",1,165
0.000489268813259218,0.00684976338562905,"Eicosanoid metabolism",14,93
0.000898749583749309,0.0100659953379923,"Fatty acid synthesis",4,239
0.0019070831785293,0.0177994429996068,"Exchange/demand reaction",118,1787
0.00241569409599682,0.0193255527679745,"Nucleotide interconversion",2,164
0.00297381944084598,0.0208167360859218,"Phenylalanine metabolism",7,36
0.0043878754286245,0.0273023360003302,"Miscellaneous",2,152
0.00632181329384449,0.0354021544455292,"Peptide metabolism",6,242
0.00714925522874557,0.0363962084372502,"Fructose and mannose metabolism",5,23
0.0144875993622008,0.0676087970236036,"O-glycan metabolism",4,18
0.0221865929669662,0.0955730158577005,"Starch and sucrose metabolism",6,42
0.0303664260422307,0.121465704168923,"Sphingolipid metabolism",3,133
0.0454353319650797,0.169625239336297,"Tyrosine metabolism",9,93
0.0640029945156782,0.210502556271735,"Ubiquinone synthesis",3,18
0.0651153448234601,0.210502556271735,"C5-branched dibasic acid metabolism",2,8
0.0720494134510147,0.210502556271735,"Transport, mitochondrial",23,453
0.0751866227445472,0.210502556271735,"Aminosugar metabolism",4,32
0.0783411875980607,0.210502556271735,"Transport, endoplasmic reticular",15,211
0.0789384586019005,0.210502556271735,"Vitamin B2 metabolism",2,9
0.106641877372833,0.26103624330275,"Folate metabolism",1,59
0.107211314213629,0.26103624330275,"Vitamin B6 metabolism",2,11
0.112451084720427,0.262385864347664,"Bile acid synthesis",12,185
0.123977919429408,0.277710539521873,"Transport, peroxisomal",10,154
0.13083020672045,0.281788137551738,"Transport, lysosomal",4,105
0.158745911969579,0.32925078038135,"Steroid metabolism",6,90
0.175408826880094,0.348240718915445,"Transport, golgi apparatus",5,98
0.183178803982668,0.348240718915445,"Pyrimidine catabolism",3,34
0.193293644638878,0.348240718915445,"Heme degradation",1,4
0.194111832958579,0.348240718915445,"Glycosphingolipid metabolism",3,71
0.203530088011668,0.348240718915445,"Transport, nuclear",4,71
0.207989704848253,0.348240718915445,"Heme synthesis",2,19
0.218932470539533,0.348240718915445,"Pentose phosphate pathway",1,41
0.226694307023638,0.348240718915445,"Tryptophan metabolism",3,45
0.230087617854847,0.348240718915445,"Blood group synthesis",3,47
0.230087617854847,0.348240718915445,"Glycine, serine, alanine, and threonine metabolism",3,47
0.249388565930972,0.351391839420468,"Vitamin A metabolism",2,47
0.253462730222516,0.351391839420468,"Methionine and cysteine metabolism",2,46
0.257348488691088,0.351391839420468,"Valine, leucine, and isoleucine metabolism",2,45
0.261321069420052,0.351391839420468,"Androgen and estrogen synthesis and metabolism",2,26
0.267649347362003,0.351391839420468,"Glycolysis/gluconeogenesis",2,42
0.273143558824101,0.351391839420468,"Arginine and proline metabolism",2,40
0.276093588116082,0.351391839420468,"Purine catabolism",1,34
0.292853127939683,0.363566751724269,"Pyruvate metabolism",1,32
0.301167090651924,0.363566751724269,"Lysine metabolism",1,31
0.30513638091144,0.363566751724269,"Taurine and hypotaurine metabolism",1,8
0.323543813874895,0.377467782854044,"Triacylglycerol synthesis",1,9
0.338818531282786,0.379476755036721,"Beta-Alanine metabolism",1,10
0.338818531282786,0.379476755036721,"Oxidative phosphorylation",1,10
0.368705814258882,0.386688223104894,"Alanine and aspartate metabolism",1,13
0.370309550783483,0.386688223104894,"Pyrimidine synthesis",1,21
0.377824939175353,0.386688223104894,"Cytochrome metabolism",1,15
0.379393962998822,0.386688223104894,"Tetrahydrobiopterin metabolism",1,18
0.379783076263735,0.386688223104894,"Glutamate metabolism",1,16
1,1,"Transport, extracellular",153,2652
