fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
1.63101240697435e-15,1.06015806453333e-13,"Exchange/demand reaction",138,1787
4.15250352736309e-15,1.349563646393e-13,"Steroid metabolism",28,90
3.11433637724954e-12,6.74772881737401e-11,"Fatty acid oxidation",17,961
4.68531064426635e-11,7.61362979693281e-10,"Drug metabolism",66,573
3.09057411327623e-07,4.0177463472591e-06,"Bile acid synthesis",28,185
4.47070073431173e-06,4.84325912883771e-05,"Blood group synthesis",12,47
8.01412822763153e-06,7.44169049708642e-05,"Peptide metabolism",1,242
9.54533172101932e-06,7.7555820233282e-05,"Fatty acid synthesis",1,239
0.000303662623834024,0.00207128291848939,"Glycosphingolipid metabolism",12,71
0.000318658910536829,0.00207128291848939,"Cholesterol metabolism",3,242
0.00203064892596981,0.0119992891080034,"Vitamin B6 metabolism",4,11
0.00521193297954232,0.0282313036391876,"Histidine metabolism",4,14
0.006721917146577,0.033609585732885,"Cytochrome metabolism",4,15
0.00757385547092365,0.0351643289721455,"Purine catabolism",6,34
0.0103348947999854,0.0433754037536901,"Miscellaneous",15,152
0.0106770224624468,0.0433754037536901,"Glycerophospholipid metabolism",3,165
0.0184350178395039,0.0704868329157501,"Eicosanoid metabolism",10,93
0.027290260184548,0.0985481617775344,"Alanine and aspartate metabolism",3,13
0.0380416730651465,0.130142565749185,"Transport, peroxisomal",13,154
0.0401938800435691,0.1306301101416,"Inositol phosphate metabolism",7,65
0.0536435527751595,0.159255567216662,"Nucleotide interconversion",5,164
0.0554298642533938,0.159255567216662,"Vitamin B12 metabolism",1,1
0.0565443514514022,0.159255567216662,"Keratan sulfate degradation",1,76
0.0588020555876905,0.159255567216662,"N-glycan synthesis",3,18
0.0660099954881748,0.171625988269255,"Heme synthesis",3,19
0.0867573480510556,0.215566504603994,"Transport, mitochondrial",26,453
0.089543009604736,0.215566504603994,"Phenylalanine metabolism",4,36
0.102485415497498,0.237912571690621,"Transport, nuclear",6,71
0.110934354294137,0.24843547202485,"Arginine and proline metabolism",4,40
0.114662525549931,0.24843547202485,"Biotin metabolism",2,12
0.122317011242476,0.256343021367572,"Transport, endoplasmic reticular",12,211
0.126980308473421,0.256343021367572,"NAD metabolism",3,27
0.136452736533777,0.256343021367572,"Valine, leucine, and isoleucine metabolism",4,45
0.141202583260151,0.256343021367572,"CoA synthesis",2,14
0.141202583260151,0.256343021367572,"Galactose metabolism",2,14
0.144340550752542,0.256343021367572,"Sphingolipid metabolism",6,133
0.145918335240003,0.256343021367572,"Glycine, serine, alanine, and threonine metabolism",4,47
0.166290673126833,0.280618990101369,"Glutamate metabolism",2,16
0.168371394060821,0.280618990101369,"Transport, lysosomal",6,105
0.179755279083131,0.284180586566092,"Transport, golgi apparatus",5,98
0.183051731386691,0.284180586566092,"Tyrosine metabolism",5,93
0.187054926477457,0.284180586566092,"CoA catabolism",1,4
0.18799638803603,0.284180586566092,"Vitamin A metabolism",1,47
0.201991401655258,0.298396388808904,"Tryptophan metabolism",1,45
0.209630836736703,0.302800097508572,"Arachidonic acid metabolism",3,41
0.224077715958604,0.316631555158897,"Glycolysis/gluconeogenesis",1,42
0.231698479388434,0.320434067239323,"Pentose phosphate pathway",1,41
0.239430470263917,0.324228761815721,"Phosphatidylinositol phosphate metabolism",1,40
0.260179181725492,0.345135649227693,"Methionine and cysteine metabolism",2,46
0.272074890005721,0.352160722912556,"Starch and sucrose metabolism",2,42
0.276310721054467,0.352160722912556,"Urea cycle",2,40
0.29813912325099,0.364986004185783,"Taurine and hypotaurine metabolism",1,8
0.303219141938958,0.364986004185783,"Aminosugar metabolism",1,32
0.303219141938958,0.364986004185783,"Pyruvate metabolism",1,32
0.311071445728311,0.367629890406186,"Lysine metabolism",1,31
0.316885579090808,0.367813618587545,"Linoleate metabolism",1,9
0.33264526463604,0.3727921069197,"Beta-Alanine metabolism",1,10
0.33264526463604,0.3727921069197,"Oxidative phosphorylation",1,10
0.347363740982326,0.382688867183919,"Androgen and estrogen synthesis and metabolism",1,26
0.356267747505701,0.385666239312659,"N-glycan degradation",1,12
0.373335940550104,0.385666239312659,"Pyrimidine synthesis",1,21
0.376439564620111,0.385666239312659,"Citric acid cycle",1,20
0.378292298409991,0.385666239312659,"Glutathione metabolism",1,16
0.379732912554002,0.385666239312659,"Tetrahydrobiopterin metabolism",1,18
1,1,"Transport, extracellular",147,2652
