fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
4.15903022699635e-20,2.37064722938792e-18,"Exchange/demand reaction",162,1787
2.53607567196727e-14,7.22781566510671e-13,"Steroid metabolism",29,90
1.081594375485e-09,2.05502931342151e-08,"Blood group synthesis",17,47
2.27655312235062e-08,3.24408819934964e-07,"Fatty acid oxidation",30,961
8.95094709505461e-07,1.02040796883623e-05,"Peptide metabolism",1,242
1.09924785418367e-06,1.04428546147449e-05,"Fatty acid synthesis",1,239
1.73910179666769e-05,0.000141612574871512,"Drug metabolism",59,573
0.000782458493240694,0.00498342570525685,"Miscellaneous",20,152
0.000786856690303713,0.00498342570525685,"Alanine and aspartate metabolism",5,13
0.00161354862394399,0.00919722715648073,"Cytochrome metabolism",5,15
0.00221247636571392,0.0114646502586994,"Cholesterol metabolism",6,242
0.00352757062835075,0.0167559604846661,"Eicosanoid metabolism",13,93
0.0102964229942048,0.0451458546668979,"Glycerophospholipid metabolism",4,165
0.0246164444669242,0.10022409532962,"Nucleotide interconversion",5,164
0.0416781228227676,0.14934922828865,"Bile acid synthesis",7,185
0.0436124765844514,0.14934922828865,"Purine catabolism",5,34
0.0460073063920422,0.14934922828865,"Histidine metabolism",3,14
0.0471629141964157,0.14934922828865,"N-glycan metabolism",2,6
0.0553832759499694,0.166083916083917,"Transport, lysosomal",3,105
0.0584234066303266,0.166083916083917,"Androgen and estrogen synthesis and metabolism",4,26
0.062100947753768,0.166083916083917,"Glutathione metabolism",3,16
0.0641025641025643,0.166083916083917,"Vitamin B12 metabolism",1,1
0.0783785739080125,0.194242552728553,"Transport, mitochondrial",27,453
0.0843776769791504,0.200396982825482,"Transport, endoplasmic reticular",16,211
0.0886371897219898,0.202092792566137,"Sphingolipid metabolism",11,133
0.0982023578939717,0.215289784613707,"Methionine and cysteine metabolism",5,46
0.104121150871543,0.219811318506591,"Transport, nuclear",2,71
0.117101536744948,0.227379781715989,"Transport, golgi apparatus",8,98
0.119301284925848,0.227379781715989,"Transport, peroxisomal",11,154
0.119673569324205,0.227379781715989,"Phenylalanine metabolism",4,36
0.130441085944348,0.239843287058963,"Inositol phosphate metabolism",2,65
0.142820512693525,0.24964700050884,"Arginine and proline metabolism",4,40
0.148202660651285,0.24964700050884,"Arachidonic acid metabolism",4,41
0.154863879551785,0.24964700050884,"Vitamin D metabolism",2,13
0.155118929583515,0.24964700050884,"Tryptophan metabolism",1,45
0.157671789795057,0.24964700050884,"NAD metabolism",3,27
0.167295767122784,0.25078065054216,"Tyrosine metabolism",5,93
0.169172699545739,0.25078065054216,"Galactose metabolism",2,14
0.175932931082879,0.25078065054216,"Glycine, serine, alanine, and threonine metabolism",4,47
0.176992287903354,0.25078065054216,"Starch and sucrose metabolism",1,42
0.180386081968922,0.25078065054216,"Glycosphingolipid metabolism",5,71
0.195570459188843,0.265417051756287,"Glutamate metabolism",2,16
0.210415658352226,0.278923082001787,"CoA catabolism",1,4
0.226145961513748,0.292961813779173,"Urea cycle",3,40
0.244541173928618,0.305031571510825,"Pyrimidine catabolism",1,34
0.246165829640315,0.305031571510825,"Pyrimidine synthesis",2,21
0.262996790226872,0.31895355410493,"Pyruvate metabolism",1,32
0.323202780534004,0.375970581437515,"Leukotriene metabolism",1,8
0.323202780534004,0.375970581437515,"Taurine and hypotaurine metabolism",1,8
0.340362232242575,0.388012944756536,"Linoleate metabolism",1,9
0.353998470832022,0.388260779667897,"Oxidative phosphorylation",1,10
0.365121703924096,0.388260779667897,"Citric acid cycle",1,20
0.372180830238245,0.388260779667897,"N-glycan degradation",1,12
0.375222749550861,0.388260779667897,"Tetrahydrobiopterin metabolism",1,18
0.380388318505211,0.388260779667897,"CoA synthesis",1,14
0.381449187042145,0.388260779667897,"Propanoate metabolism",1,15
1,1,"Transport, extracellular",170,2652
