fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
2.02857800155426e-28,1.13600368087039e-26,"Fatty acid oxidation",7,961
1.56388911384319e-07,3.4453750130562e-06,"Peptide metabolism",1,242
1.84573661413725e-07,3.4453750130562e-06,"Bile acid synthesis",33,185
1.58452766847057e-06,2.2183387358588e-05,"Cholesterol metabolism",2,242
4.98360057903297e-05,0.000558163264851693,"NAD metabolism",9,27
0.000472381258419412,0.00440889174524784,"Miscellaneous",22,152
0.00161856876989615,0.0125134254915727,"Drug metabolism",26,573
0.00178763221308181,0.0125134254915727,"Histidine metabolism",5,14
0.00279278305571802,0.0173773167911344,"Exchange/demand reaction",111,1787
0.00585869720518361,0.0328087043490282,"Glycolysis/gluconeogenesis",8,42
0.00653717312136345,0.0332801540723958,"Glycosphingolipid metabolism",11,71
0.00967967024940217,0.0451717944972101,"Transport, mitochondrial",22,453
0.0122379653124316,0.0527173890381669,"Sphingolipid metabolism",16,133
0.0187631757241992,0.0750527028967968,"Glutamate metabolism",4,16
0.0213044173299324,0.079536491365081,"Purine catabolism",6,34
0.0274064733614588,0.0959226567651059,"Steroid metabolism",11,90
0.0394444599578981,0.129934691626017,"Urea cycle",6,40
0.0490813225211047,0.152697447843437,"Aminosugar metabolism",5,32
0.0572753099070166,0.168811439725944,"Folate metabolism",1,59
0.0668628302496126,0.185766085528617,"Cytochrome metabolism",3,15
0.0708898944193064,0.185766085528617,"Vitamin B12 metabolism",1,1
0.0729795336005282,0.185766085528617,"Transport, endoplasmic reticular",18,211
0.0909766410279458,0.22150834337239,"Eicosanoid metabolism",9,93
0.10032087353136,0.230537485100213,"Inositol phosphate metabolism",2,65
0.111759392169784,0.230537485100213,"Vitamin A metabolism",1,47
0.115836807664339,0.230537485100213,"Nucleotide interconversion",10,164
0.116414073398545,0.230537485100213,"Citric acid cycle",3,20
0.124183213845454,0.230537485100213,"Valine, leucine, and isoleucine metabolism",1,45
0.124310400507952,0.230537485100213,"Glycerophospholipid metabolism",11,165
0.125614648128633,0.230537485100213,"Beta-Alanine metabolism",2,10
0.127618964966189,0.230537485100213,"Transport, peroxisomal",11,154
0.136627386161915,0.232068006521759,"Transport, golgi apparatus",8,98
0.142078116351792,0.232068006521759,"Phenylalanine metabolism",4,36
0.144987732079529,0.232068006521759,"Tyrosine metabolism",5,93
0.1450425040761,0.232068006521759,"Transport, lysosomal",8,105
0.164627203022785,0.256086760257665,"Arginine and proline metabolism",4,40
0.169573991210134,0.256652527236959,"Arachidonic acid metabolism",4,41
0.174892687339601,0.257551089598946,"Alanine and aspartate metabolism",2,13
0.179365937399266,0.257551089598946,"Transport, nuclear",4,71
0.189660372256428,0.265524521158999,"Galactose metabolism",2,14
0.198709030889723,0.27121200954847,"Blood group synthesis",2,47
0.203409007161352,0.27121200954847,"Propanoate metabolism",2,15
0.216070416188298,0.275062288606611,"Glutathione metabolism",2,16
0.219698019900833,0.275062288606611,"Pyrimidine catabolism",3,34
0.229090163711705,0.275062288606611,"Glycine, serine, alanine, and threonine metabolism",3,47
0.229119659373215,0.275062288606611,"Starch and sucrose metabolism",2,42
0.230855849366263,0.275062288606611,"Methionine and cysteine metabolism",3,46
0.262187221995772,0.3058850923284,"Pyrimidine synthesis",2,21
0.276006624621768,0.315436142424878,"Pyruvate metabolism",2,32
0.293479756269542,0.328697327021887,"Androgen and estrogen synthesis and metabolism",1,26
0.355079695191419,0.379749027587144,"Linoleate metabolism",1,9
0.355079695191419,0.379749027587144,"Triacylglycerol synthesis",1,9
0.35940532968069,0.379749027587144,"Heme synthesis",1,19
0.366618628406325,0.380197096125077,"Oxidative phosphorylation",1,10
0.382597476571585,0.389553794327432,"Glyoxylate and dicarboxylate metabolism",1,14
1,1,"Transport, extracellular",188,2652
