fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
2.8225747727984e-07,1.43951313412718e-05,"Bile acid synthesis",30,185
1.9398810151001e-06,4.94669658850527e-05,"Fatty acid synthesis",1,239
3.63817459499792e-06,6.18489681149646e-05,"Vitamin D metabolism",7,13
1.3912569501976e-05,0.000177385261150194,"Peptide metabolism",2,242
1.90302443967072e-05,0.000194108492846413,"Fatty acid oxidation",36,961
0.000552070882987986,0.00469260250539788,"Drug metabolism",20,573
0.00142933201689312,0.010413704694507,"Transport, peroxisomal",19,154
0.00312989555989018,0.0199530841942999,"Purine catabolism",7,34
0.00692735982952713,0.0386290183459801,"Sphingolipid metabolism",2,133
0.00757431732274121,0.0386290183459801,"Histidine metabolism",4,14
0.00970216330850818,0.0412341940611598,"Cytochrome metabolism",4,15
0.00970216330850818,0.0412341940611598,"Propanoate metabolism",4,15
0.0114282221250831,0.0448337944907106,"Transport, golgi apparatus",1,98
0.0150753881336876,0.0549174853441478,"Tyrosine metabolism",1,93
0.0182513312763948,0.0620545263397422,"Exchange/demand reaction",120,1787
0.0292102680399296,0.0931077293772755,"Pyrimidine synthesis",4,21
0.032040349918147,0.096121049754441,"Eicosanoid metabolism",10,93
0.0590855840827832,0.165991902834009,"Miscellaneous",13,152
0.0618401206636503,0.165991902834009,"Vitamin B12 metabolism",1,1
0.0658240068671036,0.167851217511114,"Inositol phosphate metabolism",1,65
0.0796832308122484,0.191487188108182,"Transport, mitochondrial",26,453
0.0826023164388237,0.191487188108182,"Glycerophospholipid metabolism",7,165
0.0887528757160661,0.193283678376014,"Steroid metabolism",8,90
0.0909570251181244,0.193283678376014,"Citric acid cycle",3,20
0.0950594453407399,0.193921268495109,"Glycine, serine, alanine, and threonine metabolism",5,47
0.104475428189137,0.196764902063544,"Transport, endoplasmic reticular",11,211
0.109896929554008,0.196764902063544,"Transport, lysosomal",4,105
0.111546062221182,0.196764902063544,"Nucleotide interconversion",8,164
0.111885924702799,0.196764902063544,"Phenylalanine metabolism",4,36
0.12758251528481,0.216890275984178,"Glycosphingolipid metabolism",6,71
0.134840238568105,0.221833940870108,"Arginine and proline metabolism",4,40
0.149947466732477,0.236294050929173,"NAD metabolism",3,27
0.15289615060123,0.236294050929173,"Vitamin A metabolism",1,47
0.163403796501922,0.242719189427762,"Butanoate metabolism",1,3
0.166571992744542,0.242719189427762,"Tryptophan metabolism",1,45
0.176613588377668,0.250202583535029,"Transport, nuclear",3,71
0.185243802209214,0.253208467900511,"Pyruvate metabolism",3,32
0.188665132945479,0.253208467900511,"Glycolysis/gluconeogenesis",1,42
0.222009914365615,0.286584668314829,"Urea cycle",3,40
0.224772288874376,0.286584668314829,"Arachidonic acid metabolism",3,41
0.239539087379858,0.297963255033482,"Methionine and cysteine metabolism",2,46
0.255608589960164,0.310381859237342,"Pyrimidine catabolism",1,34
0.273558224713488,0.324452778148556,"Aminosugar metabolism",1,32
0.334762590446386,0.378722621060305,"Linoleate metabolism",1,9
0.334762590446386,0.378722621060305,"Vitamin B2 metabolism",1,9
0.349018886075183,0.378722621060305,"Beta-Alanine metabolism",1,10
0.349018886075183,0.378722621060305,"Oxidative phosphorylation",1,10
0.37351322443959,0.388569764593144,"Heme synthesis",1,19
0.374792571486634,0.388569764593144,"Alanine and aspartate metabolism",1,13
0.380950749601121,0.388569764593144,"Glutamate metabolism",1,16
1,1,"Transport, extracellular",164,2652
