fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
9.49175783070706e-29,5.88488985503838e-27,"Fatty acid oxidation",1,961
1.02181119242953e-09,3.16761469653153e-08,"Steroid metabolism",22,90
1.12524008256953e-08,2.3254961706437e-07,"Blood group synthesis",15,47
2.05651782255066e-08,3.18760262495353e-07,"Glycosphingolipid metabolism",18,71
8.82321837492625e-08,1.09407907849085e-06,"Exchange/demand reaction",127,1787
3.59685166004932e-06,3.7167467153843e-05,"Drug metabolism",55,573
7.29238115195173e-06,6.45896616315724e-05,"Peptide metabolism",1,242
0.000294219840343905,0.00228020376266527,"Cholesterol metabolism",3,242
0.00128680988114423,0.00886469029232692,"Fatty acid synthesis",4,239
0.0020812237484108,0.012903587240147,"Vitamin B6 metabolism",4,11
0.0082183182413524,0.0463214300876226,"Tyrosine metabolism",11,93
0.0130280003397877,0.0673113350889032,"O-glycan metabolism",4,18
0.0255481327903817,0.117181086137917,"Glycerophospholipid metabolism",4,165
0.026460245256949,0.117181086137917,"Nucleotide interconversion",4,164
0.0343329647195312,0.141909587507396,"Transport, mitochondrial",19,453
0.0396363178956928,0.15359073184581,"Eicosanoid metabolism",9,93
0.0490379492286543,0.178844285422151,"Transport, golgi apparatus",9,98
0.0545089309583212,0.180206412019628,"Starch and sucrose metabolism",5,42
0.0552245456189181,0.180206412019628,"Keratan sulfate degradation",1,76
0.0596592567284072,0.184943695858062,"N-glycan synthesis",3,18
0.0669453756155823,0.196737373108011,"Heme synthesis",3,19
0.0698100356189717,0.196737373108011,"Transport, endoplasmic reticular",15,211
0.0748887276733566,0.201873961554266,"Vitamin B2 metabolism",2,9
0.0842253667270578,0.217582197378233,"Inositol phosphate metabolism",6,65
0.0908546786631508,0.225319603084614,"Phenylalanine metabolism",4,36
0.106770724547394,0.248738173920982,"Miscellaneous",6,152
0.115769240107641,0.248738173920982,"Biotin metabolism",2,12
0.124789659405368,0.248738173920982,"Bile acid synthesis",11,185
0.128365738888398,0.248738173920982,"NAD metabolism",3,27
0.129251732189048,0.248738173920982,"Alanine and aspartate metabolism",2,13
0.137947694436809,0.248738173920982,"Valine, leucine, and isoleucine metabolism",4,45
0.138607888560609,0.248738173920982,"Transport, peroxisomal",9,154
0.140688774780676,0.248738173920982,"Transport, lysosomal",7,105
0.142451179640714,0.248738173920982,"CoA synthesis",2,14
0.142451179640714,0.248738173920982,"Galactose metabolism",2,14
0.144428617115409,0.248738173920982,"Sphingolipid metabolism",8,133
0.161324605220814,0.2703277168565,"Transport, nuclear",5,71
0.167626527439158,0.273495913190205,"Glutamate metabolism",2,16
0.185799561396197,0.284446725954335,"Vitamin A metabolism",1,47
0.18810186716335,0.284446725954335,"CoA catabolism",1,4
0.18810186716335,0.284446725954335,"Heme degradation",1,4
0.192717228262055,0.284487336958272,"Methionine and cysteine metabolism",1,46
0.221909565451563,0.313042261808381,"Glycolysis/gluconeogenesis",1,42
0.227426115845622,0.313042261808381,"Glycine, serine, alanine, and threonine metabolism",3,47
0.229549714857329,0.313042261808381,"Pentose phosphate pathway",1,41
0.237306230725708,0.313042261808381,"Phosphatidylinositol phosphate metabolism",1,40
0.237306230725708,0.313042261808381,"Urea cycle",1,40
0.262548504506794,0.33912515165461,"Tryptophan metabolism",2,45
0.277678527588012,0.346959837166348,"Aminosugar metabolism",2,32
0.285402446701351,0.346959837166348,"Purine catabolism",1,34
0.285402446701351,0.346959837166348,"Pyrimidine catabolism",1,34
0.29932848974808,0.35689166085348,"Taurine and hypotaurine metabolism",1,8
0.309436828574906,0.361982705125362,"Lysine metabolism",1,31
0.333704894751097,0.376176426810327,"Beta-Alanine metabolism",1,10
0.333704894751097,0.376176426810327,"Oxidative phosphorylation",1,10
0.346236472606224,0.38333323752832,"Androgen and estrogen synthesis and metabolism",1,26
0.357116245922643,0.385946512841237,"N-glycan degradation",1,12
0.375876830660765,0.385946512841237,"Cytochrome metabolism",1,15
0.376125724419319,0.385946512841237,"Citric acid cycle",1,20
0.378585082379595,0.385946512841237,"Glutathione metabolism",1,16
0.379721569085733,0.385946512841237,"Tetrahydrobiopterin metabolism",1,18
1,1,"Transport, extracellular",148,2652
