fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
4.91576436060194e-24,2.80198568554311e-22,"Fatty acid oxidation",17,961
1.01454218565487e-10,2.89144522911638e-09,"Blood group synthesis",20,47
8.11119185312417e-09,1.54112645209359e-07,"Peptide metabolism",1,242
7.05140921396038e-08,1.00482581298935e-06,"Steroid metabolism",24,90
3.74647340768454e-07,4.27097968476037e-06,"Folate metabolism",18,59
5.59487767728831e-06,5.31513379342389e-05,"Fatty acid synthesis",4,239
7.90110364491366e-05,0.000643375582514398,"Cholesterol metabolism",6,242
0.000283135191814539,0.00201733824167859,"Bile acid synthesis",4,185
0.00116033135346959,0.00734876523864074,"Nucleotide interconversion",4,164
0.00319123298098233,0.0181900279915993,"Transport, golgi apparatus",16,98
0.00621362324757064,0.0321978659192297,"Drug metabolism",60,573
0.0115183828098038,0.0547123183465679,"Transport, mitochondrial",27,453
0.0148904033816313,0.0652886917502296,"Alanine and aspartate metabolism",4,13
0.0165072256119196,0.0661108260369131,"Glycosphingolipid metabolism",11,71
0.0173975857991876,0.0661108260369131,"Glycerophospholipid metabolism",7,165
0.0203151958909472,0.0723728853614993,"Eicosanoid metabolism",13,93
0.0230374202651141,0.0772431150065589,"Transport, endoplasmic reticular",24,211
0.034420405347249,0.108125145881028,"Exchange/demand reaction",154,1787
0.0360417152936761,0.108125145881028,"Transport, lysosomal",4,105
0.0417386320942348,0.118955101468569,"O-glycan metabolism",4,18
0.0453749398249057,0.123160550953315,"Phenylalanine metabolism",6,36
0.0476666983769717,0.123500082158518,"Transport, peroxisomal",8,154
0.0617765388952455,0.153098379001261,"Inositol phosphate metabolism",2,65
0.0671799594427086,0.159552403676433,"Vitamin D metabolism",3,13
0.0718183952875058,0.163745941255513,"N-glycan metabolism",2,6
0.0835980332005369,0.183272611247331,"Valine, leucine, and isoleucine metabolism",1,45
0.0935777004625726,0.197552923198764,"Methionine and cysteine metabolism",6,46
0.101928958911366,0.203293053301734,"Glutathione metabolism",3,16
0.10342979904825,0.203293053301734,"Androgen and estrogen synthesis and metabolism",4,26
0.116344166150591,0.221053915686123,"Sphingolipid metabolism",12,133
0.121199381691666,0.221553222314913,"Miscellaneous",12,152
0.12438075638732,0.221553222314913,"Tyrosine metabolism",9,93
0.141750176390411,0.244841213765255,"Transport, nuclear",4,71
0.163923674921343,0.264284232520839,"Purine catabolism",1,34
0.163923674921343,0.264284232520839,"Pyrimidine catabolism",1,34
0.166916357381582,0.264284232520839,"Tryptophan metabolism",2,45
0.195331850255602,0.296889952234625,"Arachidonic acid metabolism",2,41
0.197926634823083,0.296889952234625,"Starch and sucrose metabolism",4,42
0.207825360091378,0.297020589143849,"Glycine, serine, alanine, and threonine metabolism",3,47
0.208435501153578,0.297020589143849,"NAD metabolism",3,27
0.220245977208397,0.302257731317246,"Galactose metabolism",2,14
0.23047212069535,0.302257731317246,"Aminosugar metabolism",3,32
0.231200214190281,0.302257731317246,"Urea cycle",3,40
0.23332175750805,0.302257731317246,"Propanoate metabolism",2,15
0.244811517385336,0.308609049104462,"Glutamate metabolism",2,16
0.254467110665083,0.308609049104462,"CoA catabolism",1,4
0.254467110665083,0.308609049104462,"Heme degradation",1,4
0.26306752530901,0.31239268630445,"Tetrahydrobiopterin metabolism",2,18
0.275293353827713,0.320239207513871,"Citric acid cycle",2,20
0.361444520877246,0.391710160036131,"Leukotriene metabolism",1,8
0.361444520877246,0.391710160036131,"Taurine and hypotaurine metabolism",1,8
0.371870951235674,0.391710160036131,"Cytochrome metabolism",1,15
0.373252300941834,0.391710160036131,"Triacylglycerol synthesis",1,9
0.373252300941834,0.391710160036131,"Vitamin B2 metabolism",1,9
0.378189122154369,0.391710160036131,"CoA synthesis",1,14
0.384838051965322,0.391710160036131,"N-glycan degradation",1,12
1,1,"Transport, extracellular",218,2652
