fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
1.2533838165469e-11,6.26691908273449e-10,"Fatty acid oxidation",17,961
1.75493060336699e-09,4.38732650841749e-08,"Drug metabolism",6,573
1.16792754594372e-05,0.000194654590990619,"Peptide metabolism",1,242
0.000504343620680783,0.00630429525850979,"Fatty acid synthesis",3,239
0.00081889179400616,0.0081889179400616,"Eicosanoid metabolism",13,93
0.0039310188622736,0.0294047870539693,"Glycerophospholipid metabolism",2,165
0.0041166701875557,0.0294047870539693,"Nucleotide interconversion",2,164
0.00483402937394482,0.0302126835871551,"Starch and sucrose metabolism",7,42
0.00545485743573357,0.0303047635318532,"Fructose and mannose metabolism",5,23
0.0071050549413292,0.035525274706646,"Miscellaneous",2,152
0.00870604798325255,0.0395729453784207,"Phenylalanine metabolism",6,36
0.0116602983935218,0.0485845766396742,"O-glycan metabolism",4,18
0.015342856753231,0.0566575660019016,"Exchange/demand reaction",106,1787
0.0158641184805325,0.0566575660019016,"Tyrosine metabolism",10,93
0.0222616507875372,0.0742055026251241,"Glycosphingolipid metabolism",8,71
0.0421904494327234,0.131845154477261,"Sphingolipid metabolism",3,133
0.050393549296554,0.148216321460453,"Transport, lysosomal",2,105
0.0554141799844512,0.150861582260389,"Ubiquinone synthesis",3,18
0.0573274012589478,0.150861582260389,"Transport, mitochondrial",20,453
0.0640229947012681,0.16005748675317,"Aminosugar metabolism",4,32
0.0708815836779688,0.168266851182933,"Vitamin B2 metabolism",2,9
0.0740374145204905,0.168266851182933,"Pyrimidine catabolism",4,34
0.11159033489677,0.242587684558196,"Transport, peroxisomal",10,154
0.120854802158033,0.243657931292472,"Bile acid synthesis",11,185
0.125988436074047,0.243657931292472,"Folate metabolism",1,59
0.126702124272085,0.243657931292472,"Transport, endoplasmic reticular",11,211
0.139871487787779,0.259021273681073,"Glycine, serine, alanine, and threonine metabolism",4,47
0.147909788794874,0.26412462284799,"Steroid metabolism",3,90
0.160897153584098,0.277408885489824,"Glutamate metabolism",2,16
0.16807784981617,0.280129749693617,"Transport, golgi apparatus",4,98
0.182838427094364,0.294900688861877,"Heme degradation",1,4
0.208415446799011,0.319566434085672,"Transport, nuclear",3,71
0.210913846496543,0.319566434085672,"Valine, leucine, and isoleucine metabolism",1,45
0.22158364569906,0.319965759633269,"Methionine and cysteine metabolism",3,46
0.223976031743288,0.319965759633269,"Blood group synthesis",3,47
0.240368201149808,0.322097451994417,"Arachidonic acid metabolism",1,41
0.240368201149808,0.322097451994417,"Pentose phosphate pathway",1,41
0.247987258379895,0.322097451994417,"Arginine and proline metabolism",1,40
0.251236012555645,0.322097451994417,"Androgen and estrogen synthesis and metabolism",2,26
0.267191750387349,0.333989687984186,"Tryptophan metabolism",2,45
0.274522395951256,0.334783409696653,"Glycolysis/gluconeogenesis",2,42
0.293287804764553,0.342615309637198,"Taurine and hypotaurine metabolism",1,8
0.29464916628799,0.342615309637198,"Purine catabolism",1,34
0.31222838444063,0.354804982318898,"Triacylglycerol synthesis",1,9
0.328281493877335,0.364757215419261,"Oxidative phosphorylation",1,10
0.341701025042646,0.37141415765505,"Vitamin B6 metabolism",1,11
0.36156244189946,0.384640895637723,"Alanine and aspartate metabolism",1,13
0.379077398151116,0.387336525240399,"Heme synthesis",1,19
0.379589794735591,0.387336525240399,"Tetrahydrobiopterin metabolism",1,18
1,1,"Transport, extracellular",143,2652
