1,ENERGY METABOLISM,OXYDATIVE PHOSPHORYLATION,Oxidative phosphorylation via NADH-coenzyme Q oxidoreductase (COMPLEX I),true
2,ENERGY METABOLISM,OXYDATIVE PHOSPHORYLATION,Oxidative phosphorylation via succinate-coenzyme Q oxidoreductase (COMPLEX II),true
3,ENERGY METABOLISM,KREBS CYCLE,Krebs cycle - oxidative decarboxylation of pyruvate,true
4,ENERGY METABOLISM,KREBS CYCLE,Krebs cycle - NADH generation,FAIL (should NOT fail)
5,ENERGY METABOLISM,ATP GENERATION,ATP regeneration from glucose (normoxic conditions) - glycolysis + krebs cycle,FAIL (should NOT fail)
6,ENERGY METABOLISM,ATP GENERATION,ATP generation from glucose (hypoxic conditions) - glycolysis,true
7,ENERGY METABOLISM,ATP GENERATION,ATP generation from ions,FAIL (should fail)
8,ENERGY METABOLISM,OXIDATIVE PHOSPHORYLATION & ROS DETOXIFICATION,Reactive oxygen species detoxification (H2O2 to H2O),true
9,ENERGY METABOLISM,REDOX METABOLISM,Presence of the thioredoxin system through the thioredoxin reductase activity,true
10,NUCLEOTIDE METABOLISM,IMP SYNTHESIS / PURINE METABOLISM,Inosine monophosphate synthesis (IMP),FAIL (should NOT fail)
11,NUCLEOTIDE METABOLISM,UMP SYNTHESIS,Cytidine triphosphate synthesis (CTP),true
12,NUCLEOTIDE METABOLISM,IMP SYNTHESIS / PURINE METABOLISM,Guanosine triphosphate synthesis (GTP),FAIL (should NOT fail)
13,NUCLEOTIDE METABOLISM,UMP SYNTHESIS,Uridine triphosphate synthesis (UTP),true
14,NUCLEOTIDE METABOLISM,DEOXYNUCLEOTIDES SYNTHESIS,Deoxyadenosine triphosphate synthesis (dATP),FAIL (should NOT fail)
15,NUCLEOTIDE METABOLISM,DEOXYNUCLEOTIDES SYNTHESIS,Deoxycytidine triphosphate synthesis (dCTP),true
16,NUCLEOTIDE METABOLISM,DEOXYNUCLEOTIDES SYNTHESIS,Deoxyguanosine triphosphate synthesis (dGTP),FAIL (should NOT fail)
17,NUCLEOTIDE METABOLISM,DEOXYNUCLEOTIDES SYNTHESIS,Deoxyuridine triphosphate synthesis (dUTP),true
18,NUCLEOTIDE METABOLISM,DEOXYNUCLEOTIDES SYNTHESIS,Deoxythymidine triphosphate synthesis (dTTP),true
19,NUCLEOTIDE METABOLISM,SALVAGE,AMP salvage from adenine,true
20,NUCLEOTIDE METABOLISM,SALVAGE,IMP salvage from hypoxanthine,true
21,NUCLEOTIDE METABOLISM,SALVAGE,GMP salvage from guanine,true
22,NUCLEOTIDE METABOLISM,COFACTOR,3'-Phospho-5'-adenylyl sulfate synthesis,true
23,NUCLEOTIDE METABOLISM,PURINE CATABOLISM,Degradation of adenine to urate,FAIL (should NOT fail)
24,NUCLEOTIDE METABOLISM,PURINE CATABOLISM,Degradation of guanine to urate,FAIL (should NOT fail)
25,NUCLEOTIDE METABOLISM,PYRIMIDINE CATABOLISM,Degradation of cytosine,FAIL (should NOT fail)
26,NUCLEOTIDE METABOLISM,PYRIMIDINE CATABOLISM,Degradation of uracil,FAIL (should NOT fail)
27,CARBOHYDRATES METABOLISM,GLUCONEOGENESIS,Gluconeogenesis from pyruvate,true
28,CARBOHYDRATES METABOLISM,GLUCONEOGENESIS,Gluconeogenesis from Lactate,FAIL (should NOT fail)
29,CARBOHYDRATES METABOLISM,GLUCONEOGENESIS,Gluconeogenesis from Glycerol,FAIL (should NOT fail)
30,CARBOHYDRATES METABOLISM,GLUCONEOGENESIS,Gluconeogenesis from Alanine,true
31,CARBOHYDRATES METABOLISM,GLUCONEOGENESIS,Gluconeogenesis from Glutamine,FAIL (should NOT fail)
32,CARBOHYDRATES METABOLISM,GLYCOLYSIS/GLUCONEOGENESIS,Ethanol to acetaldehyde,true
33,CARBOHYDRATES METABOLISM,PYRUVATE METABOLISM,Glucose to lactate conversion,true
34,CARBOHYDRATES METABOLISM,PYRUVATE METABOLISM,Malate to pyruvate conversion,true
35,CARBOHYDRATES METABOLISM,PENTOSE PHOSPHATE PATHWAY,Synthesis of fructose-6-phosphate from erythrose-4-phosphate (HMP shunt),true
36,CARBOHYDRATES METABOLISM,PENTOSE PHOSPHATE PATHWAY,Synthesis of ribose-5-phosphate,true
37,CARBOHYDRATES METABOLISM,GALACTOSE METABOLISM,Synthesis of lactose,true
38,CARBOHYDRATES METABOLISM,GLYCOGEN METABOLISM,Glycogen biosynthesis,true
39,CARBOHYDRATES METABOLISM,GLYCOGEN METABOLISM,Glycogen degradation,true
40,CARBOHYDRATES METABOLISM,FRUCTOSE METABOLISM,Fructose degradation (to glucose-3-phosphate),true
41,CARBOHYDRATES METABOLISM,FRUCTOSE METABOLISM,Fructose to glucose conversion (via fructose-6-phosphate),FAIL (should NOT fail)
42,CARBOHYDRATES METABOLISM,NUCLEOTIDE SUGAR,UDP-glucose synthesis,true
43,CARBOHYDRATES METABOLISM,NUCLEOTIDE SUGAR,UDP-galactose synthesis,true
44,CARBOHYDRATES METABOLISM,NUCLEOTIDE SUGAR,UDP-glucuronate synthesis,true
45,CARBOHYDRATES METABOLISM,FUCOSE METABOLISM,GDP-L-fucose synthesis,true
46,CARBOHYDRATES METABOLISM,MANNOSE METABOLISM,Mannose degradation (to fructose-6-phosphate),true
47,CARBOHYDRATES METABOLISM,MANNOSE METABOLISM,GDP-mannose synthesis,true
48,CARBOHYDRATES METABOLISM,AMINO SUGARS METABOLISM,UDP-N-acetyl D-galactosamine synthesis,true
49,CARBOHYDRATES METABOLISM,AMINO SUGARS METABOLISM,CMP-N-acetylneuraminate synthesis,FAIL (should NOT fail)
50,CARBOHYDRATES METABOLISM,AMINO SUGARS METABOLISM,N-Acetylglucosamine synthesis,FAIL (should NOT fail)
51,CARBOHYDRATES METABOLISM,PENTOSE AND GLUCURONATE INTERCONVERSION,Glucuronate synthesis (via inositol),FAIL (should NOT fail)
52,CARBOHYDRATES METABOLISM,PENTOSE AND GLUCURONATE INTERCONVERSION,Glucuronate synthesis (via udp-glucose),FAIL (should NOT fail)
53,CARBOHYDRATES METABOLISM,KETOGENESIS,Synthesis of acetone,true
54,CARBOHYDRATES METABOLISM,KETOGENESIS,(R)-3-Hydroxybutanoate synthesis,true
55,CARBOHYDRATES METABOLISM,PHOSPHATE INOSITOL METABOLISM,Synthesis of inositol,true
56,CARBOHYDRATES METABOLISM,PHOSPHATE INOSITOL METABOLISM,Inositol as input for glucuronate-xylulose pathway,FAIL (should NOT fail)
57,CARBOHYDRATES METABOLISM,PHOSPHATE INOSITOL METABOLISM,Synthesis of phosphatidylinositol from inositol,true
58,CARBOHYDRATES METABOLISM,PHOSPHATE INOSITOL METABOLISM,"Conversion of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate to 1D-myo-inositol 1,4,5-trisphosphate",true
59,CARBOHYDRATES METABOLISM,STARCH DEGRADATION,Starch degradation,true
60,CARBOHYDRATES METABOLISM,GLYOXYLATE METABOLISM,Link between glyoxylate metabolism and pentose phosphate pathway (Xylulose to glycolate),FAIL (should NOT fail)
61,CARBOHYDRATES METABOLISM,METHYLGLYOXAL METABOLISM,Synthesis of methylglyoxal,FAIL (should NOT fail)
62,AMINO ACIDS METABOLISM,ALANINE METABOLISM,Alanine synthesis,true
63,AMINO ACIDS METABOLISM,ALANINE METABOLISM,Alanine degradation,true
64,AMINO ACIDS METABOLISM,ALANINE METABOLISM,Synthesis of alanine from glutamine,true
65,AMINO ACIDS METABOLISM,ARGININE METABOLISM,Arginine synthesis,FAIL (should NOT fail)
