Reaction,fc,pval,S1C1,S1K1,subSystem,rxnNames,geneRules,kegg,source
10FTHF7GLUtl,-0.8176426803029646,0,12.88468742298584,1.2926726958227934,"Transport, lysosomal","7-Glutamyl-10Fthf Transport, Lysosomal",NA,NA,PMID:11375437
10FTHF7GLUtm,-0.9024045385293544,0,10.755031291179298,0.5517450262210248,"Transport, mitochondrial","7-Glutamyl-10Fthf Transport, Mitochondrial",NA,NA,PMID:11375437
10FTHFtl,0.8176426803029646,0,-12.88468742298584,-1.2926726958227934,"Transport, lysosomal",10-Formyltetrahydrofolate Lysosomal Transport via Diffusion,NA,NA,PMID:11375437
10FTHFtm,1.775869896313453,0,-28.50501245967725,101.98385883616088,"Transport, mitochondrial",10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion,NA,NA,PMID:11375437
2AMADPTm,-0.5884491380943704,0,92.90621191263125,24.071045570210043,Lysine metabolism,L-2-Aminoadipate Shuttle (Cytosol/Mitochondria),89874.1,NA,PMID:11083877
2DR1PP,0.5231870688157537,0,1.9995468874327678,6.387586752028526,Pyrimidine catabolism,2-Deoxy-D-Ribose 1-Phosphate Phosphorylase,NA,NA,PMID:9693094
2HBO,0.500242859846746,0,-319.39299913606646,-106.39539510924038,Propanoate metabolism,2-Hydroxybutyrate:NAD+ Oxidoreductase,92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1,NA,"PMID:10108,PMID:21765"
2HBt2,0.980972803462441,0,-181.27056969760656,-1.7410994992375375,"Transport, extracellular",2-Hydroxybutyrate Symport with Proton,9123.1 or 9194.1 or 6566.1,NA,"PMID:10510291,PMID:11101640,PMID:12739169,PMID:7835905,PMID:8476015,PMID:9425115,PMID:9508842,PMID:9649795,PMID:9786900,PMID:9824713"
2OXOADOXm,-0.40464958901141285,0,20.43412185014046,8.660852455190621,Lysine metabolism,"2-Oxoadipate:Lipoamde 2-Oxidoreductase (Decarboxylating And Acceptor-Succinylating), Mitochondrial",(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1),NA,NA
2OXOADPTm,1.0269095183927106,0,-455.68854809617994,6.049781332156123,Tryptophan metabolism,2-Oxoadipate Shuttle (Cytosol/Mitochondria),89874.1,NA,PMID:11083877
34DHOXPEGOX,-0.6950628479668317,0,487.43437497234345,87.68810565662422,Tyrosine metabolism,"3, 4-Dihydroxyphenylethyleneglycol:NAD+ Oxidoreductase",130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1),NA,PMID:3466164
34DHOXPEGt,-0.6950628479668317,0,487.43437497234345,87.68810565662422,"Transport, extracellular","3, 4-Dihydroxyphenylethyleneglycol Transport (Diffusion)",NA,NA,PMID:7473774
34DHPHEt,0.6930713996475776,0,-15.733924351814386,-2.8523258855819704,"Transport, extracellular","3, 4-Dihydroxy-L-Phenylalanine Transport",117247.1,NA,PMID:11827462
34DHPLACOX,-1,0,32.08094355363818,0,Tyrosine metabolism,"3, 4-Dihydroxyphenylacetaldehyde:NAD+ Oxidoreductase",218.1 or 222.1 or 220.1 or 221.1,NA,"PMID:11306106,PMID:2071588"
34DHPLACOX_NADP_,-3.3102432168801905,0,366.1452634277344,-196.2498561366558,Tyrosine metabolism,"3, 4-Dihydroxyphenylacetaldehyde:NADP+ Oxidoreductase",222.1 or 221.1 or 218.1,NA,"PMID:11306106,PMID:2071588"
34DHXMANDACOX_NADP_,0.7109612892978344,0,-479.0132798999786,-80.92139880518606,Tyrosine metabolism,"3, 4-Dihydroxymandelaldehyde:NADP+ Oxidoreductase",221.1 or 222.1,NA,"PMID:10424772,PMID:12616643"
34HPLFM,-0.736324033786655,0,241.76167236714363,36.713621025989575,Ubiquinone synthesis,3- (4-Hydroxyphenyl-)Lactate Formation,NA,NA,"PMID:11583838,PMID:12232327"
34HPPOR,0.34664389228147646,0,2.599171310071808,5.357198208376387,Tyrosine metabolism,4-Hydroxyphenylpyruvate:Oxygen Oxidoreductase,3242.1,NA,NA
3HBCOAHLm,0.75983299401775,0,16.29602095552677,119.40972171198315,"Valine, leucine, and isoleucine metabolism","3-Hydroxyisobutyryl Coenzyme A Hydrolase, Mitochondrial",NA,NA,PMID:8824301
3HKYNAKGAT,-0.9990277081802266,0,125.63854214324951,0.06110837097167969,Tryptophan metabolism,3-Hydroxy-L-Kynurenine:2-Oxoglutarate Aminotransferase,51166.1 or 883.1 or 51166.2,NA,PMID:13357462
3HLYTCL,0.3354788741719995,0,28.442675668024506,57.16085012683906,Tyrosine metabolism,3-Hydroxy-L-Tyrosine Carboxy-Lyase,1644.1,NA,NA
3SALATAi,0.7646127201578649,0,10.037263770342577,75.24571139360145,Methionine and cysteine metabolism,3-Sulfino-Alanine Transaminase (Irreversible),2805.1,NA,PMID:3346220
3SPYRSP,0.7646127201578649,0,10.037263770342577,75.24571139360145,Methionine and cysteine metabolism,3-Sulfinopyruvate Hydrolase (Spotaneous Reaction),NA,NA,PMID:3346220
41R2A1H12BOOX,-0.33506361225820275,0,4.454201648233839,2.2184416735323027,Tyrosine metabolism,"4-[ (1R)-2-Amino-1-Hydroxyethyl]-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",4128.1 or 4129.1,NA,"PMID:15035803,PMID:8920635,PMID:9653080"
42A12BOOX,-0.8104129581648452,0,111.52145036986768,11.678563049074304,Tyrosine metabolism,"4- (2-Aminoethyl)-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",4129.1 or 8639.1 or 26.1 or 314.2 or 314.1 or 4128.1,NA,"PMID:15035803,PMID:8920635,PMID:9653080"
5ADTSTSTERONEGLCte,-0.33284312688226486,0,4.23167314868526,2.1181711253124256,"Transport, extracellular",Glucuronidated Compound Transport,4363.1,NA,NA
5ADTSTSTERONEGLCtr,0.3328431268828717,0,-4.231673148684519,-2.1181711253091633,"Transport, endoplasmic reticular",Glucuronidated Compound Transport,NA,NA,NA
5ADTSTSTERONESULT,-0.35474307838106917,0,3.507811904830445,1.6707521503147025,Steroid metabolism,5Alpha-Dihydrotestosterone Sulfotransferase,6822.1 or 6818.1,NA,"PMID:1588921,PMID:16399349"
5AOPtm,-1,0,407.34909095585795,NA,Heme synthesis,5-Aminolevulinate Mitochondrial Transport,NA,NA,PMID:10558864
5HLTDL,0.8136639993792935,0,3.672913788107023,35.74956792097902,Tryptophan metabolism,5-Hydroxy-L-Tryptophan Decarboxy-Lyase,1644.1,NA,PMID:1540578
5HOMEPRAZOLEte,0.3429277035458599,0,-10.814323984368547,-5.2912697208092645,"Transport, extracellular",Transport of Xenobiotic,NA,NA,NA
5MTHFt,-0.8608852691505133,0,112.92711287521682,8.442124387613031,"Transport, extracellular",5-Methyltetrahydrofolate Transport via Receptor Binding And Protolysis,2348.5 or 2348.3 or 2348.1 or 2348.6 or 2352.1 or 2348.4 or 2348.2,NA,PMID:15094208
5MTHFt2,0.6271508117381619,0,-547.6638352140427,-125.49298745197058,"Transport, extracellular",5-Methyltetrahydrofolate Transport via Anion Exchange,6573.1 or 6573.2,NA,"PMID:11375437,PMID:14770311"
7DHFtm,-0.3737157027314525,0,1.821088849001858,0.8302440947518794,"Transport, mitochondrial","7-Glutamyl-Dhf Transport, M Mitochondrial",NA,NA,PMID:11375437
7THFtl,-0.7005892914288209,0,11.082173927667268,1.9511598508326757,"Transport, lysosomal","7-Glutamyl-Thf Transport, Lysosomal",NA,NA,PMID:11375437
7THFtm,-0.8521065835280371,0,54.13175190242255,4.322499471500182,"Transport, mitochondrial","7-Glutamyl-Thf Transport, M Mitochondrial",NA,NA,PMID:11375437
A4GNT2g,0.41006362371962046,0,0.3459454636793427,0.8268774968594559,O-glycan metabolism,"Alpha 1, 4-N-Acetylglucosaminyltransferase, Golgi Apparatus",51146.1,NA,PMID:10430883
AATAi,0.9153068873606988,0,-70.16358224026672,-3.102569208655849,Lysine metabolism,"2-Aminoadipate Transaminase, Irreversible",51166.1 or 51166.2,NA,PMID:12126930
ABO2g,0.4051606088803114,0,0.2623080497606002,0.6196377449415559,Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",28.1,NA,"PMID:11421346,PMID:12198488,PMID:2121736"
ABO3g,0.4288243916246041,0,0.2215469863390435,0.5542108824858988,Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",28.1,NA,"PMID:11421346,PMID:12198488,PMID:2121736"
ABO4g,0.46400646034584,0,0.1835296772852003,0.5012908054527799,Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",28.1,NA,"PMID:11421346,PMID:12198488,PMID:2121736"
ABO5g,0.46400646034584,0,0.18352967728520034,0.5012908054527799,Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",28.1,NA,"PMID:11421346,PMID:12198488,PMID:2121736"
ABO8g,0.4200530878226367,0,0.19380262889432526,0.47454347253316265,Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",28.1,NA,"PMID:11421346,PMID:12198488,PMID:2121736"
ACACt2m,-0.3444743111052193,0,-259.73367192707065,-532.7102439322233,"Transport, mitochondrial",Acetoacetate Mitochondrial Transport via H+ Symport,6566.1,NA,"PMID:28726,PMID:627555"
ACACT4p,0.6217909322986774,0,9.911437684308272,42.50104277020842,Fatty acid oxidation,"Acetyl Coenzyme A C-Acetyltransferase (Octanoyl Coenzyme A), Peroxisomal",30.1,NA,PMID:1679347
ACACT5p,0.5634595226388509,0,6.715995636049472,24.05318149339844,Fatty acid oxidation,"Acetyl Coenzyme A C-Acyltransferase (Decanoyl Coenzyme A), Peroxisomal",30.1,NA,PMID:1679347
ACACT7p,-0.4050717474602765,0,13.22669714703448,5.600380076519784,Fatty acid oxidation,"Acetyl Coenzyme A Acyltransferase (Tetradecanoyl Coenzyme A), Peroxisomal",30.1,NA,PMID:1679347
ACACT9p,-0.43677306078276773,0,5.980356088704619,2.344349116230757,Fatty acid oxidation,"Acetyl Coenzyme A Acyltransferase (Tetracosanoyl Coenzyme A), Peroxisomal",30.1,NA,PMID:1679347
ACALDtm,0.692958554911618,0,-190.73975546496808,-34.59329230704401,"Transport, mitochondrial",Acetaldehyde Mitochondrial Diffusion,NA,NA,PMID:9028626
ACCOACm,-0.3960038780464754,0,370.7120541319847,160.3925652201444,Fatty acid oxidation,"Acetyl Coenzyme A Carboxylase, Beta Isoform",32.1,NA,PMID:10677481
ACCOAtn,0.36440664229979963,0,58.33284919157028,125.22114326246977,"Transport, nuclear","Acetyl Coenzyme A Transport, Nuclear",NA,NA,NA
ACCOAtr,-0.5172973897426868,0,-203.59177542233468,-639.9577355853081,"Transport, endoplasmic reticular",Acetyl Coenzyme A Transport,9197.1,NA,NA
ACGAGBSIDEtg,-0.5923483313169302,0,-0.3719718883482078,-1.4529777778698816,"Transport, golgi apparatus",Acgagbside Hs Intracellular Transport,NA,NA,PMID:15907394
ACGAGBSIDEtl,0.5923483313169302,0,0.3719718883482078,1.4529777778698816,"Transport, lysosomal",Acgagbside Hs Intracellular Transport,NA,NA,PMID:15907394
