Reaction,fc,pval,S1K1,S1K1_FC5,subSystem,rxnNames,geneRules,kegg,source
10FTHFtm,0.3889643941301286,0,101.98385883616088,231.82274050587415,"Transport, mitochondrial",10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion,NA,NA,PMID:11375437
11DOCRTSLtm,0.5053048400375156,0,2.078381556625159,6.324294373265785,"Transport, mitochondrial",11-Deoxycortisol Intracellular Transport,NA,NA,NA
13DAMPPOX,0.5089506743351025,0,9.248770032158534,28.420643400536388,Beta-Alanine metabolism,"1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)",8639.1 or 26.1 or 314.2 or 314.1,NA,"PMID:15035803,PMID:8920635,PMID:9653080"
24_25DHVITD2t,0.45291714266838007,0,2.7757074044099737,7.371594296646434,"Transport, extracellular","24, 25-Dihydroxyvitamin D2 Transport from Cytoplasm",NA,NA,NA
24_25DHVITD2tm,0.45291714266838007,0,2.7757074044099737,7.371594296646434,"Transport, mitochondrial","24, 25-Dihydroxyvitamin D2 Transport from Mitochondria",NA,NA,NA
24_25VITD2Hm,0.45291714266838007,0,2.7757074044099737,7.371594296646434,Vitamin D metabolism,24R-Vitamin D-25-Hydroxylase (D2),1591.1,NA,"PMID:15358094,PMID:8266831"
25HVITD2tin_m,0.45291714266838007,0,2.7757074044099737,7.371594296646434,"Transport, mitochondrial",25-Hydroxyvitamin D2 Transport in Mitochondria,NA,NA,NA
2AMADPTm,0.46497773789171926,0,24.071045570210043,65.91042725806795,Lysine metabolism,L-2-Aminoadipate Shuttle (Cytosol/Mitochondria),89874.1,NA,PMID:11083877
2HBt2,-0.980080109662248,0,-1.7410994992375375,-173.06904952430725,"Transport, extracellular",2-Hydroxybutyrate Symport with Proton,9123.1 or 9194.1 or 6566.1,NA,"PMID:10510291,PMID:11101640,PMID:12739169,PMID:7835905,PMID:8476015,PMID:9425115,PMID:9508842,PMID:9649795,PMID:9786900,PMID:9824713"
2OXOADPTm,-1.3129951547574739,0,6.049781332156123,-44.70712947445456,Tryptophan metabolism,2-Oxoadipate Shuttle (Cytosol/Mitochondria),89874.1,NA,PMID:11083877
