Reaction,fc,pval,S1K,S1K_FC5,subSystem,rxnNames,geneRules,kegg,source
10FTHF7GLUtm,-0.5405002510527703,0,2.893322434707974,0.8630189650817263,"Transport, mitochondrial","7-Glutamyl-10Fthf Transport, Mitochondrial",NA,NA,PMID:11375437
2AMACHYD,0.581384751279619,0,19.96298559026369,75.41330875776279,"Glycine, serine, alanine, and threonine metabolism",2-Aminoacrylate Hydrolysis,10993.1,NA,PMID:500639
2AMACSULT,0.3589152437746934,0,3.392034987240771,7.190138287984181,Methionine and cysteine metabolism,2-Aminoacrylate Sulfotransferase,6818.1,NA,"PMID:3346220,PMID:6351723"
2OXOADPTm,-0.8247183485375728,0,-4.06979777589275,-42.367439002026806,Tryptophan metabolism,2-Oxoadipate Shuttle (Cytosol/Mitochondria),89874.1,NA,PMID:11083877
34DHOXPEGOX,-2.09743137649228,0,26.324315802739,-9.326802312996891,Tyrosine metabolism,"3, 4-Dihydroxyphenylethyleneglycol:NAD+ Oxidoreductase",130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1),NA,PMID:3466164
34DHOXPEGt,-2.09743137649228,0,26.324315802739,-9.326802312996891,"Transport, extracellular","3, 4-Dihydroxyphenylethyleneglycol Transport (Diffusion)",NA,NA,PMID:7473774
34DHPLACOX_NADP_,0.440165239550864,0,-657.749677178955,-255.6867245829478,Tyrosine metabolism,"3, 4-Dihydroxyphenylacetaldehyde:NADP+ Oxidoreductase",222.1 or 221.1 or 218.1,NA,"PMID:11306106,PMID:2071588"
34DHXMANDACOX_NADP_,0.9242001038458514,0,-40.35185140479803,-1.58957799659092,Tyrosine metabolism,"3, 4-Dihydroxymandelaldehyde:NADP+ Oxidoreductase",221.1 or 222.1,NA,"PMID:10424772,PMID:12616643"
3DSPHR,0.40395421340083826,0,18.669385383037945,43.97474633563161,Sphingolipid metabolism,3-Dehydrosphinganine Reductase,2531.1,NA,NA
3MOBt2im,-0.3328478693897822,0,110.11941592405587,55.11987124901339,"Transport, mitochondrial",3-Methyl-2-Oxobutanoate Mitochondrial Transport via Proton Symport,NA,NA,PMID:8428987
3MOPt2im,-0.3374232515914742,0,197.20920161385908,97.6999849569425,"Transport, mitochondrial",3-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport,NA,NA,PMID:8428987
3MOX4HOXPGALDOX_NADP_,-1,0,2.3220269706695356,0,Tyrosine metabolism,3-Methoxy-4-Hydroxyphenylglycolaldehyde:NADP+ Oxidoreductase,222.1 or 220.1 or 221.1 or 218.1,NA,NA
3SALAASPm,0.6382130874156787,0,-186.75773581495284,-41.24402689781822,"Transport, mitochondrial",Cysteinesulfinate-Aspartate Mitochondrial Shuttle,10165.1 or 8604.1,NA,PMID:14598172
3SALATAi,0.3333014316281062,0,55.278002117891425,110.54806903412155,Methionine and cysteine metabolism,3-Sulfino-Alanine Transaminase (Irreversible),2805.1,NA,PMID:3346220
3SALATAim,-0.7973995888601421,0,86.6990021767363,9.772592358030728,Methionine and cysteine metabolism,"3-Sulfino-Alanine Transaminase (Irreversible), Mitochondrial",2806.1,NA,PMID:3346220
