Reaction,fc,pval
10FTHFtm,0.8961568354873437,0
ACACt2m,-1.2791378620606393,0
ACCOAtn,-1.8688210119302306,0
ACETONEt2,-1.087795915373775,0
ACETONEt2m,-1.087795915373775,0
ACHtn,-1.8688210119302306,0
ADK1m,0.9018753350797257,0
ADK3m,-3.363256820535714,0
AKGMALtm,-1.30512985987974,0
ALADGLNexR,2.9242449928793794,0
ALAGLNexR,7.0668740430716515,0
ALAGLYexR,10.114327966349745,0
ALATA_L,1.0762703339594744,0
AMETt2m,1.0572560402218292,0
ASCBt4,1.3373981680580282,0
BAAT1x,-0.8744218707291551,0
BAAT2x,-0.9088998969556685,0
BDHm,1.5439502266704868,0
BHBtm,1.5439502266704868,0
BILDGLCURtr,-1.7538916772846587,0
BILGLCURt,1.3323302479601322,0
BILIRUBt2,-1.8692856493035463,0
C180CPT1,2.1856015830874735,0
C181CPT1,1.1005661580008559,0
C181CPT2,1.4063418426209513,0
C204CPT2,-2.9091288713190755,0
CDIPTr,-0.9159859260340771,0
CERT2rt,-88.97142461177569,0
CHAT,1.6053621411777408,0
CHATn,-1.8688210119302306,0
CHOLATEt,15.09829448500351,0
CHOLtn,-1.8688210119302306,0
CHOLtr,0.8715046527574971,0
CITRtm,13.232788874576261,0
CITtam,17.825719536038566,0
CO2tp,1.3361442062080977,0
COAtn,1.8688210119302306,0
CSNAT2x,1.8027574854693196,0
CYSGLUexR,-16.553471437378466,0
CYTDK1,-0.90924542064078,0
CYTK11,2.8744147011161214,0
CYTK13,58.08559636188786,0
CYTK13n,-0.9010118798344804,0
CYTK14n,-9.460262865344978,0
CYTK2n,-654.5018344903526,0
CYTK3,1.5176555416212842,0
CYTK4n,2.786427689029128,0
CYTK5,-3.6272621168337884,0
CYTK5n,-54.96289939417229,0
CYTK7,-1.39947465636781,0
CYTK8,-4.324400036066641,0
CYTK8n,2.6277852570835107,0
DADNt4,-4.572604241623251,0
DAGt,-0.8335255727530754,0
DCK2n,-1.0247512406937447,0
DHCHOLESTANATEtm,-0.9278421478987323,0
DHEASt,2.1855229075870803,0
DHEAtr,-1.1397105096306175,0
DIDPtn,-3.0738171892478543,0
DINt,1.7628277204532885,0
DITPtn,3.0738171892478543,0
DMNONCOACRNCPT1,-1.4250994415313447,0
DNDPt13m,-0.8338518615877312,0
DNDPt14m,-0.8565467949690693,0
DNDPt15m,-0.841083310622536,0
DNDPt17m,-0.8304438241445642,0
DNDPt19m,-0.82565426559966415,0
DNDPt42m,-0.9088561716165574,0
DOLGLCP_Lter,6.802406708795111,0
DURAD,6.65612766923944,0
DURAD2,1.6313577762532618,0
DURIt,-1.0760418733233617,0
ELAIDCRNt,-0.8353579338925069,0
ESTRADIOLGLCt,-1.1382787806240375,0
EX_atp[e],-21.70517077328971,0
EX_bhb[e],-1.5439502266704868,0
EX_eicostet[e],-0.8533428571273477,0
EX_fuc_L[e],0.820000294970482,0
EX_gt1a_hs[e],0.8218621055129741,0
EX_hexc[e],0.8640332621657545,0
EX_pglyc_hs[e],1.9199400754107045,0
EX_retn[e],-1.2847859118144316,0
EX_s2l2fn2m2masn[e],-0.8657130585984537,0
EX_strdnc[e],-0.8276092433761901,0
EX_thym[e],239.82367302013768,0
FALDH,7.511637110178696,0
FAOXC18480x,-0.8598858412785206,0
FAOXC226205x,-0.916690387793003,0
FOLt2,-1.9459970406507145,0
FUCASEe,0.8751725781103948,0
