Reaction,S1C2,S1K2,fc,pval,subSystem
10FTHFtm,25.666485,468.66525,0.896156835,0,"Transport, mitochondrial"
ACACt2m,64.62958,-527.69525,-1.279137862,0,"Transport, mitochondrial"
ACCOAtn,213.23375,-64.577736,-1.868821012,0,"Transport, nuclear"
ACETONEt2,8.782233,-208.84242,-1.087795915,0,"Transport, extracellular"
ACETONEt2m,8.782233,-208.84242,-1.087795915,0,"Transport, mitochondrial"
ACHtn,213.23375,-64.577736,-1.868821012,0,"Transport, nuclear"
ADK1m,19.291956,373.92126,0.901875335,0,Nucleotide interconversion
ADK3m,436.1302,-236.2198,-3.363256821,0,Nucleotide interconversion
AKGMALtm,59.583057,-450.12534,-1.30512986,0,"Transport, mitochondrial"
ALADGLNexR,-526.79126,258.31094,2.924244993,0,"Transport, extracellular"
ALAGLNexR,-647.4864,486.9567,7.066874043,0,"Transport, extracellular"
ALAGLYexR,-334.0293,407.32693,10.11432797,0,"Transport, extracellular"
ALATA_L,-573.3189,21.060467,1.076270334,0,Glutamate metabolism
AMETt2m,-850.291,23.664675,1.05725604,0,"Transport, mitochondrial"
ASCBt4,-267.51376,38.615013,1.337398168,0,"Transport, extracellular"
BAAT1x,142.30258,9.533655,-0.874421871,0,Bile acid synthesis
BAAT2x,255.51523,12.194178,-0.908899897,0,Bile acid synthesis
BDHm,-755.63715,161.57117,1.543950227,0,Butanoate metabolism
BHBtm,-755.63715,161.57117,1.543950227,0,"Transport, mitochondrial"
BILDGLCURtr,3.5460446,-12.95335,-1.753891677,0,"Transport, endoplasmic reticular"
BILGLCURt,-50.95211,357.5875,1.332330248,0,"Transport, extracellular"
BILIRUBt2,175.39024,-578.9175,-1.869285649,0,"Transport, extracellular"
C180CPT1,-192.72662,71.72805,2.185601583,0,Fatty acid oxidation
C181CPT1,-13.189881,275.5024,1.100566158,0,Fatty acid oxidation
C181CPT2,-1.1126329,6.588972,1.406341843,0,Fatty acid oxidation
C204CPT2,1.823702,-3.734209,-2.909128871,0,Fatty acid oxidation
CDIPTr,-5.7062197,-130.13339,-0.915985926,0,Glycerophospholipid metabolism
CERT2rt,2.148513,-2.1007533,-88.97142461,0,"Transport, endoplasmic reticular"
CHAT,-62.36763,268.4183,1.605362141,0,Glycerophospholipid metabolism
CHATn,213.23375,-64.577736,-1.868821012,0,Glycerophospholipid metabolism
CHOLATEt,-253.20682,289.12704,15.09829449,0,"Transport, extracellular"
CHOLtn,213.23375,-64.577736,-1.868821012,0,"Transport, nuclear"
CHOLtr,44.061813,641.75,0.871504653,0,"Transport, endoplasmic reticular"
CITRtm,-161.64839,188.07709,13.23278887,0,"Transport, mitochondrial"
CITtam,-235.96758,210.89893,17.82571954,0,"Transport, mitochondrial"
