Reaction,fc,pval
2HBO,-3.845152080085503,0
2OXOADPTm,-1.0785394318399797,0
34DHPHEt,-1.093267989296817,0
34DHPLACOX_NADP_,-6.676108535725861,0
34HPLFM,0.8664690720492851,0
5MTHFt,1.9778084165291894,0
5MTHFt2,-1.836326071314733,0
AATAi,-1.0080665743375874,0
ACONTm,0.8586612558807221,0
ADK1m,-2.666006271461089,0
ADK3m,1.318105610591199,0
ADKd,5.133697384393896,0
ADNt,-2.5159532235156292,0
ADNt4,-0.8756208970363226,0
ADNtm,0.9629603520043645,0
ADRNCRNt,-1.1980562055133634,0
ALADGLNexR,-2.4365652927436487,0
ALATHRNaEx,0.8675100977853467,0
ALCD2if,0.8481158861797743,0
ALDD21,0.9883478719231462,0
AMETt2m,-1.0804680339984802,0
ANDRSTRNtr,-1.351998899635605,0
ARACHCOAtx,-1.3806612885093992,0
ARACHCPT1,-0.8556568586815211,0
ARACHCPT2,-0.8556568586867537,0
ARACHt,-0.8602816759904531,0
ASNCYSNaEx,0.9241597688295452,0
BDHm,2.437973469973891,0
BHBtm,2.437973469973891,0
BILDGLCURt,-1.1102987400661162,0
BILDGLCURtr,-5.127907792646337,0
BILGLCURt,0.9281322147063342,0
BILIRUBt2,-1.3463559034987038,0
BUP2,-0.8278973681636007,0
C161CPT2,1.26320379038354,0
C181CPT1,0.8346214844902303,0
C204CPT2,98.26605930865279,0
CERT2rt,-1.1660040120233517,0
CHAT,9.576575947284104,0
CHOLATEt,-5.135994822080378,0
CHOLATEt2,-0.8981308235890089,0
CHSTEROLt3,-0.9504481730663935,0
CITt4_2,-0.8931955847303141,0
CITtam,-1.293219870911548,0
CO2tp,0.9910820705299326,0
CRTSTRNt,-0.9802397387278933,0
CSm,-0.8238303831561673,0
CSNAT2x,-0.8971128662138209,0
CYSGLYexR,-4.224478754729468,0
CYStec,-2.650528526957771,0
CYTK10,1.0622741712210095,0
CYTK12,4.217291713589284,0
CYTK13,-2.0476349923306483,0
CYTK14,-2.513620548444062,0
CYTK4n,1.2438778257689824,0
CYTK5,-1.4422423663084771,0
CYTK6n,1.0012233373771517,0
CYTK7,-2.294370955715258,0
CYTK7n,-1.017266353534005,0
CYTK8,-4.10251646513611,0
D3AIBTm,-22.499532763454926,0
DCSPTN1COAtx,-1.3413780884079483,0
DCTPtn,-1.397572488377403,0
DHEASt,-1.1831945111239184,0
DHPM2,-0.8278973681636007,0
DINt,1.7574392753343293,0
DLNLCGCPT1,-1.4662191208568904,0
DMNONCOACRNCPT1,1.126210728842776,0
DNDPt17m,0.8541312359752558,0
DNDPt19m,0.8243580518614823,0
DOLGLCP_Lter,-4.789804255661824,0
DUDPtn,-0.8238852085575488,0
ELAIDCRNt,-1.81663366907109,0
ELAIDt,0.8647613232551756,0
EX_2hb[e],3.845152080085503,0
EX_bhb[e],-2.437973469973943,0
EX_crtstrn[e],0.9802397387282789,0
EX_elaid[e],-0.8522517129604787,0
EX_fuc_L[e],-0.8332415603148776,0
EX_gd1c_hs[e],0.9342076100117599,0
EX_hista[e],1.481503152192553,0
EX_nrvnc[e],-7.600824071983662,0
EX_pglyc_hs[e],-1.1142977651115193,0
EX_ptdca[e],1.7351496620441982,0
EX_retn[e],1.4047700006033654,0
EX_s2l2fn2m2masn[e],0.9905145408718805,0
EX_srtn[e],-2.0023849038969206,0
EX_thym[e],6.712603677260465,0
FRUt1r,1.0929756757558808,0
FUCASEe,-0.9904893271562202,0
G6PDH1rer,2.8198006184124123,0
G6Pter,4.448347345717801,0
GACMTRc,-1.1749804522381389,0
GGT_L,-2.8253800473928954,0
GLNASNNaEx,-0.8952526145480791,0
GLUDym,27.497384197150204,0
GLUt2m,-1.4511850368657375,0
GLXtm,1.352858253114972,0
GLYtp,-0.9322338866000034,0
H2O2t,1.0804137340627435,0
H2Otly,-4.06443639284197,0
