Reaction,S1K1,S1K1_FC5,fc,pval,subSystem
2HBO,129.8516,-221.1308,-3.84515208,0,Propanoate metabolism
2OXOADPTm,7.712443,-204.10916,-1.078539432,0,Tryptophan metabolism
34DHPHEt,20.546757,-461.14285,-1.093267989,0,"Transport, extracellular"
34DHPLACOX_NADP_,351.49844,-259.916,-6.676108536,0,Tyrosine metabolism
34HPLFM,23.446486,327.73038,0.866469072,0,Ubiquinone synthesis
5MTHFt,-129.4737,394.29794,1.977808417,0,"Transport, extracellular"
5MTHFt2,81.36162,-275.93076,-1.836326071,0,"Transport, extracellular"
AATAi,0.85362685,-212.49907,-1.008066574,0,Lysine metabolism
ACONTm,30.26155,397.95154,0.858661256,0,Citric acid cycle
ADK1m,98.030235,-44.54957,-2.666006271,0,Nucleotide interconversion
ADK3m,-55.166862,402.0131,1.318105611,0,Nucleotide interconversion
ADKd,-86.42396,128.23831,5.133697384,0,Nucleotide interconversion
ADNt,112.22609,-260.2862,-2.515953224,0,"Transport, extracellular"
ADNt4,299.74597,19.877224,-0.875620897,0,"Transport, extracellular"
ADNtm,5.919549,313.71356,0.962960352,0,"Transport, mitochondrial"
ADRNCRNt,36.028625,-399.85086,-1.198056206,0,Fatty acid oxidation
ALADGLNexR,230.89185,-552.3417,-2.436565293,0,"Transport, extracellular"
ALATHRNaEx,17.300314,243.8564,0.867510098,0,"Transport, extracellular"
ALCD2if,32.737457,398.3472,0.848115886,0,Glycolysis/gluconeogenesis
ALDD21,2.9912043,510.42645,0.988347872,0,Fatty acid oxidation
AMETt2m,20.795078,-537.6482,-1.080468034,0,"Transport, mitochondrial"
ANDRSTRNtr,150.47314,-22.51973,-1.3519989,0,"Transport, endoplasmic reticular"
ARACHCOAtx,14.336143,-2.2923102,-1.380661289,0,"Transport, peroxisomal"
ARACHCPT1,23.535015,1.8306823,-0.855656859,0,Fatty acid oxidation
ARACHCPT2,23.535015,1.8306823,-0.855656859,0,Fatty acid oxidation
ARACHt,49.27338,3.700727,-0.860281676,0,"Transport, extracellular"
ASNCYSNaEx,6.175405,156.67761,0.924159769,0,"Transport, extracellular"
BDHm,-42.417747,17.74173,2.43797347,0,Butanoate metabolism
BHBtm,-42.417747,17.74173,2.43797347,0,"Transport, mitochondrial"
BILDGLCURt,13.374322,-255.8852,-1.11029874,0,"Transport, extracellular"
BILDGLCURtr,9.85266,-6.636992,-5.127907793,0,"Transport, endoplasmic reticular"
BILGLCURt,-124.089066,-4.6252046,0.928132215,0,"Transport, extracellular"
BILIRUBt2,155.93973,-23.018948,-1.346355903,0,"Transport, extracellular"
BUP2,127.619774,12.015827,-0.827897368,0,Pyrimidine catabolism
C161CPT2,-53.008125,6.1646857,1.26320379,0,Fatty acid oxidation
C181CPT1,-42.11713,-3.7965698,0.834621484,0,Fatty acid oxidation
C204CPT2,-3.9854395,4.067389,98.26605931,0,Fatty acid oxidation
CERT2rt,7.018268,-0.53788483,-1.166004012,0,"Transport, endoplasmic reticular"
CHAT,-111.15415,90.135216,9.576575947,0,Glycerophospholipid metabolism
CHOLATEt,222.6104,-330.2558,-5.135994822,0,"Transport, extracellular"
CHOLATEt2,208.43988,11.1865835,-0.898130824,0,"Transport, extracellular"
CHSTEROLt3,-2.9361937,-115.573814,-0.950448173,0,"Transport, mitochondrial"
CITt4_2,-14.978564,-265.5073,-0.893195585,0,"Transport, extracellular"
CITtam,68.00701,-531.8706,-1.293219871,0,"Transport, mitochondrial"
CO2tp,-39.23238,-0.1757193,0.991082071,0,"Transport, peroxisomal"
CRTSTRNt,-9.678752,-969.939,-0.980239739,0,"Transport, extracellular"
CSm,127.58839,12.324171,-0.823830383,0,Citric acid cycle
CSNAT2x,150.18958,8.145311,-0.897112866,0,Fatty acid oxidation
CYSGLYexR,268.672,-165.82077,-4.224478755,0,"Transport, extracellular"
CYStec,34.827774,-15.746826,-2.650528527,0,"Transport, extracellular"
CYTK10,-12.596345,417.1411,1.062274171,0,Nucleotide interconversion
CYTK12,-231.92204,143.0169,4.217291714,0,Nucleotide interconversion
CYTK13,15.42645,-44.876495,-2.047634992,0,Nucleotide interconversion
CYTK14,272.59732,-117.43126,-2.513620548,0,Nucleotide interconversion
CYTK4n,-76.16409,700.7727,1.243877826,0,Nucleotide interconversion
CYTK5,290.59106,-52.62036,-1.442242366,0,Nucleotide interconversion
CYTK6n,-0.3146629,514.7482,1.001223337,0,Nucleotide interconversion
CYTK7,87.145935,-221.79968,-2.294370956,0,Nucleotide interconversion
CYTK7n,1.7550894,-205.05098,-1.017266354,0,Nucleotide interconversion
CYTK8,356.85986,-586.9053,-4.102516465,0,Nucleotide interconversion
D3AIBTm,244.9376,-224.09143,-22.49953276,0,Pyrimidine catabolism
DCSPTN1COAtx,0.9429079,-6.4670343,-1.341378088,0,"Transport, peroxisomal"
DCTPtn,192.63934,-31.94402,-1.397572488,0,"Transport, nuclear"
DHEASt,361.76907,-30.356483,-1.183194511,0,"Transport, extracellular"
DHPM2,127.619774,12.015827,-0.827897368,0,Pyrimidine catabolism
DINt,-256.33142,70.41152,1.757439275,0,"Transport, extracellular"
DLNLCGCPT1,30.961159,-163.7792,-1.466219121,0,Fatty acid oxidation
DMNONCOACRNCPT1,-137.35426,8.1532755,1.126210729,0,Fatty acid oxidation
DNDPt17m,3.9394689,50.074406,0.854131236,0,"Transport, mitochondrial"
DNDPt19m,8.764365,91.03372,0.824358052,0,"Transport, mitochondrial"
DOLGLCP_Lter,1.55E-15,-1.02E-15,-4.789804256,0,N-glycan synthesis
DUDPtn,-29.092371,-301.28726,-0.823885209,0,"Transport, nuclear"
ELAIDCRNt,332.22443,-96.32266,-1.816633669,0,Fatty acid oxidation
ELAIDt,-263.1254,-19.082727,0.864761323,0,"Transport, extracellular"
EX_2hb[e],-129.8516,221.1308,3.84515208,0,Exchange/demand reaction
EX_bhb[e],42.417747,-17.74173,-2.43797347,0,Exchange/demand reaction
EX_crtstrn[e],9.678752,969.939,0.980239739,0,Exchange/demand reaction
EX_elaid[e],266.02658,21.220102,-0.852251713,0,Exchange/demand reaction
EX_fuc_L[e],357.07022,32.480427,-0.83324156,0,Exchange/demand reaction
EX_gd1c_hs[e],0.007415563,0.21800756,0.93420761,0,Exchange/demand reaction
EX_hista[e],-323.46533,62.764206,1.481503152,0,Exchange/demand reaction
EX_nrvnc[e],1.5703404,-2.0461419,-7.600824072,0,Exchange/demand reaction
EX_pglyc_hs[e],3.1866267,-58.946712,-1.114297765,0,Exchange/demand reaction
EX_ptdca[e],-0.9226962,3.432923,1.735149662,0,Exchange/demand reaction
EX_retn[e],-10.405769,61.821487,1.404770001,0,Exchange/demand reaction
EX_s2l2fn2m2masn[e],-342.61798,-1.6326878,0.990514541,0,Exchange/demand reaction
EX_srtn[e],21.043749,-7.025727,-2.002384904,0,Exchange/demand reaction
EX_thym[e],-251.89232,186.57266,6.712603677,0,Exchange/demand reaction
FRUt1r,-251.5259,11.173465,1.092975676,0,"Transport, extracellular"
FUCASEe,341.70535,1.6326878,-0.990489327,0,N-glycan degradation
G6PDH1rer,-108.267784,227.2564,2.819800618,0,Pentose phosphate pathway
G6Pter,-99.075645,156.53833,4.448347346,0,"Transport, endoplasmic reticular"
GACMTRc,25.142979,-312.5234,-1.174980452,0,Urea cycle
