Reaction,fc,pval
10FTHFtm,-0.9543286373541844,0
34DHOXPEGOX,1.2824248280248751,0
34DHOXPEGt,1.2824248280248736,0
ACETONEt2,-1.05192867892962,0
ACETONEt2m,-1.05192867892962,0
ADEt,4.645750557367394,0
ADK1m,0.8378563284833512,0
ADKd,-5.4229882990789635,0
ADNtm,0.8324908688500074,0
ALADGLNexR,2.6116224377272155,0
ALAGLNexR,3.3343813172608403,0
ALAGLYexR,-1.9824654492013003,0
ALDD21,0.9512769691414003,0
ARACHCOAtx,-3.578276025632434,0
ARACHCPT1,-0.9540074103108687,0
ARACHCPT2,-0.9540074103108687,0
ARACHDtr,-1.1094195241859899,0
ARACHt,-0.9666886238630321,0
BDHm,-1.0092257540908554,0
BHBtm,-1.0092257540908554,0
BILDGLCURtr,-8.610845155337723,0
BILGLCURt,4.665828497498549,0
BILIRUBt2,-3.644233799568575,0
C161CPT2,107.23802463774798,0
C180CPT1,1.5742014764782823,0
C180CPT2,2.0215718738636093,0
C181CPT1,0.8663827101202882,0
C181CPT2,0.9636015968485059,0
C204CPT2,-1.1201038450325818,0
CBPPer,-0.9351411243370562,0
CBPter,-0.9351411243370562,0
CERT2rt,125.16374713116572,0
CHAT,-3.039924519914885,0
CHOLATEt,2.040595593539055,0
CHOLtg,-0.9045272950920167,0
CITRtm,-5.2727401208127,0
CITt4_2,2.558874648169263,0
CYSGLYexR,1.155112672187436,0
CYTD,0.838300638702671,0
CYTK10,-1.608342522413831,0
CYTK12,-5.325065835092254,0
CYTK13n,25.260204763999322,0
CYTK3,-12.948076097918872,0
CYTK3n,0.9622431086215635,0
CYTK6,-1.097214197003853,0
CYTK7,1.585595636932419,0
CYTK7n,1.1205127926396945,0
CYTK8,31.419272379570085,0
CYTK8n,-1.1510437000941494,0
DAGt,-5.961669457079743,0
DCK2n,-1.8323784541637766,0
DCSPTN1COAtx,-1.2891695069597022,0
DGSNt,-1.681298349089198,0
DHORD9,-0.9546655559471611,0
DIDPtn,-1.2405904118754636,0
DINt,-0.8656683941109976,0
DITPtn,1.2405904118754636,0
DTDPtn,1.2846592666381484,0
DTTPtn,-1.2846592666381484,0
DURAD2,-1.0641220671040403,0
ELAIDCPT1,0.9215588525374605,0
ELAIDCPT2,0.915435686145576,0
ELAIDt,-1.0132589757431918,0
