Reaction,S1K,S1K_FC5,fc,pval,subSystem
10FTHFtm,304.29218,7.1111064,-0.954328637,0,"Transport, mitochondrial"
34DHOXPEGOX,-19.411505,156.87466,1.282424828,0,Tyrosine metabolism
34DHOXPEGt,-19.411505,156.87466,1.282424828,0,"Transport, extracellular"
ACETONEt2,7.565148,-298.93198,-1.051928679,0,"Transport, extracellular"
ACETONEt2m,7.565148,-298.93198,-1.051928679,0,"Transport, mitochondrial"
ADEt,-259.38776,167.49997,4.645750557,0,"Transport, extracellular"
ADK1m,26.33319,298.47986,0.837856328,0,Nucleotide interconversion
ADKd,155.12842,-225.27483,-5.422988299,0,Nucleotide interconversion
ADNtm,32.306175,353.41818,0.832490869,0,"Transport, mitochondrial"
ALADGLNexR,-493.11395,220.04335,2.611622438,0,"Transport, extracellular"
ALAGLNexR,-598.12585,322.1345,3.334381317,0,"Transport, extracellular"
ALAGLYexR,85.32065,-259.00748,-1.982465449,0,"Transport, extracellular"
ALDD21,3.1809387,127.391335,0.951276969,0,Fatty acid oxidation
ARACHCOAtx,15.968989,-8.993006,-3.578276026,0,"Transport, peroxisomal"
ARACHCPT1,161.10162,3.791941,-0.95400741,0,Fatty acid oxidation
ARACHCPT2,161.10162,3.791941,-0.95400741,0,Fatty acid oxidation
ARACHDtr,14.407719,-277.75595,-1.109419524,0,"Transport, endoplasmic reticular"
ARACHt,192.15642,3.2547069,-0.966688624,0,"Transport, extracellular"
BDHm,0.31603512,-68.82753,-1.009225754,0,Butanoate metabolism
BHBtm,0.31603512,-68.82753,-1.009225754,0,"Transport, mitochondrial"
BILDGLCURtr,2.7264469,-3.4429104,-8.610845155,0,"Transport, endoplasmic reticular"
BILGLCURt,-166.73296,257.699,4.665828497,0,"Transport, extracellular"
BILIRUBt2,392.54987,-223.50157,-3.6442338,0,"Transport, extracellular"
C161CPT2,-15.795962,15.504087,107.2380246,0,Fatty acid oxidation
C180CPT1,-149.83902,33.4231,1.574201476,0,Fatty acid oxidation
C180CPT2,-119.82102,40.510635,2.021571874,0,Fatty acid oxidation
C181CPT1,-191.0773,-13.679526,0.86638271,0,Fatty acid oxidation
C181CPT2,-192.85858,-3.5749333,0.963601597,0,Fatty acid oxidation
C204CPT2,18.026709,-1.0212127,-1.120103845,0,Fatty acid oxidation
CBPPer,75.11199,2.5174804,-0.935141124,0,Glycolysis/gluconeogenesis
CBPter,75.11199,2.5174804,-0.935141124,0,"Transport, endoplasmic reticular"
CERT2rt,-1.5981966,1.5728613,125.1637471,0,"Transport, endoplasmic reticular"
CHAT,247.81744,-125.13325,-3.03992452,0,Glycerophospholipid metabolism
CHOLATEt,-103.064384,301.15167,2.040595594,0,"Transport, extracellular"
CHOLtg,100.30072,5.0280094,-0.904527295,0,"Transport, golgi apparatus"
CITRtm,401.6307,-273.5748,-5.272740121,0,"Transport, mitochondrial"
CITt4_2,-227.23985,99.53665,2.558874648,0,"Transport, extracellular"
CYSGLYexR,-46.96408,652.512,1.155112672,0,"Transport, extracellular"
