Reaction,fc,pval,Truncating,WT,subSystem,rxnNames,geneRules,kegg,source
10FTHF7GLUtl,0.6882472151076084,0,14.3112946904853,2.6427326135942186,"Transport, lysosomal","7-Glutamyl-10Fthf Transport, Lysosomal",NA,NA,PMID:11375437
10FTHF7GLUtm,0.5951935544689395,0,4.716501913910778,1.1968894744852994,"Transport, mitochondrial","7-Glutamyl-10Fthf Transport, Mitochondrial",NA,NA,PMID:11375437
10FTHFtl,-0.6882472151076084,0,-14.3112946904853,-2.6427326135942186,"Transport, lysosomal",10-Formyltetrahydrofolate Lysosomal Transport via Diffusion,NA,NA,PMID:11375437
11DOCRTSLtm,0.5171937564783707,0,9.155963999612874,2.9136401106297223,"Transport, mitochondrial",11-Deoxycortisol Intracellular Transport,NA,NA,NA
11DOCRTSLtr,-0.3757762073576901,0,-3.0105050919531395,-1.3659408385010625,"Transport, endoplasmic reticular",11-Deoxycortisol Intracellular Transport,NA,NA,NA
11DOCRTSTRNtm,0.6749761646952137,0,11.656559237341071,2.261918509429913,"Transport, mitochondrial",11-Deoxycorticosterone Intracellular Transport,NA,NA,NA
2AMACHYD,0.9639816747338691,0,120.57712438344956,2.211317010524706,"Glycine, serine, alanine, and threonine metabolism",2-Aminoacrylate Hydrolysis,10993.1,NA,PMID:500639
2AMADPTm,-0.6446941037696529,0,19.695817271624133,91.17100188667774,Lysine metabolism,L-2-Aminoadipate Shuttle (Cytosol/Mitochondria),89874.1,NA,PMID:11083877
2HBO,0.8479089680560554,0,90.84792223307763,7.477183390114311,Propanoate metabolism,2-Hydroxybutyrate:NAD+ Oxidoreductase,92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1,NA,"PMID:10108,PMID:21765"
2OXOADPTm,1.0776886027005852,0,28.784780254643458,-769.8144616760254,Tryptophan metabolism,2-Oxoadipate Shuttle (Cytosol/Mitochondria),89874.1,NA,PMID:11083877
34DHPHAMT,0.6738347381758569,0,39.816544116727286,7.758695192882581,Tyrosine metabolism,"3, 4-Dihydroxyphenylacetate:Amet O-Methyltransferase",1312.1 or 1312.2,NA,PMID:1847521
34DHPLACOX_NADP_,0.5355731231652158,0,-233.03515691916942,-770.5034776550293,Tyrosine metabolism,"3, 4-Dihydroxyphenylacetaldehyde:NADP+ Oxidoreductase",222.1 or 221.1 or 218.1,NA,"PMID:11306106,PMID:2071588"
3AIBTm,-1,0,NA,6.228439187472258,"Valine, leucine, and isoleucine metabolism","L-3-Aminoisobutyrate Transaminase, Mitochondrial",18.1 or 18.2,NA,NA
3AIBtmi,-1,0,NA,6.228439187472258,"Transport, mitochondrial","3-Amino-Isobutyrate Transport, Mitochondrial",18.1 or 18.2,NA,"We show in this study that the product of Slc6a18 called XT2 is a Na+- and Cl dependent neutral amino acid transporter and displays, compared with B0AT1, a lower K0.5 and a different substrate selectivity. Because of its broad transport selectivity for neutral amino acids, we suggest that it be renamed B0AT3. Exclusive to kidney, responsible for re-absorption of neutral amino acids (gly, ala, val, leu, ile, met, ser, cys, asn, gln, phe, tyr, trp, arg, glu)."
3DSPHR,0.8263953560048451,0,56.602756318684854,5.380270666776551,Sphingolipid metabolism,3-Dehydrosphinganine Reductase,2531.1,NA,NA
