Reaction,fc,pval
10FTHF7GLUtl,0.5558010054104104,0
10FTHF7GLUtm,0.6251760744904653,0
10FTHFtl,-0.5558010054104104,0
10FTHFtm,-1.9382973369625498,0
11DOCRTSLtm,0.585456762835143,0
11DOCRTSLtr,-0.4041410746198382,0
11DOCRTSTRNtm,0.3524181412742846,0
11DOCRTSTRNtr,-0.32528209972883687,0
13DAMPPOX,0.34153800833197057,0
24_25DHVITD2t,0.12577215586490825,0
24_25DHVITD2tm,0.12577215586490825,0
24_25DHVITD3t,0.6987941077803543,0
24_25DHVITD3tm,0.6987941077803543,0
24_25VITD2Hm,0.12577215586490825,0
24_25VITD3Hm,0.6987941077803543,0
25HVITD2tin_m,0.12577215586490825,0
25HVITD3tin_m,0.6987941077803543,0
2AMACHYD,0.9680470683625292,0
2AMACSULT,0.5817653717934979,0
2AMADPTm,0.09849671919481261,0
2HBO,0.9431670242641483,0
2HBt2,0.13356454225833417,0
2OXOADOXm,0.1887907060238445,0
2OXOADPTm,0.8579985554085378,0
34DHOXPEGOX,-0.57864739187797,0
34DHOXPEGt,-0.57864739187797,0
34DHPHAMT,0.8294303555604792,0
34DHPHEt,NA,0
34DHPLACOX,NA,1
34DHPLACOX_NADP_,0.12804346925336188,0
34DHXMANDACOX,1,0.9992575577574787
34DHXMANDACOX_NADP_,0.6403752537667,0
34HPLFM,0.2909803682490422,0
34HPPOR,0.5928834939274861,0
3AIBTm,0.4507947036530714,0
3AIBtmi,0.4507947036530714,0
3DPHBH2,1,0
3DSPHR,0.7174820298839485,0
3HBCDm,0.05134201131430787,0
3HBCOAHLm,-0.21071565455648023,0
3HKYNAKGAT,NA,0
3HLYTCL,0.5572513817846598,0
3M4HDXPAC,-0.05364293322458399,0
3MLDAt,-0.1266487344573309,0
3MOX4HOXPGALDOX,0.2376259500223696,0
3MOX4HOXPGALDOX_NADP_,1,3.132675878347868e-4
3MOXTYROX,-0.05364293322458399,0
3SALAASPm,-0.13728606885137706,0
3SALATAi,0.5644066623893149,0
3SALATAim,-0.0589591429773527,0
3SPYRSP,0.5644066623893149,0
3SPYRSPm,-0.0589591429773527,0
41R1H2MAE12BOOX,-0.39962285551563853,0
41R2A1H12BOOX,0.7068585424663143,0
42A12BOOX,0.3136489428327971,0
4ABUTtm,-0.11791554492962522,0
4HBZCOAFm,0.3369485146127554,0
4HBZFm,0.3369485146127554,0
4HDEBRISOQUINEte,-0.0121660786229949,0
4HGLSDm,-0.5290723996821679,1
4HOXPACDOX_NADP_,1,0.002318458344197527
4MPTNLte,0.32237157287540474,0
4MPTNLtm,-0.32237157287540474,0
4MTOLBUTAMIDEte,-0.5855806110101899,0
4PYRDX,0.28595419606001754,0
5ADTSTSTERONEGLCte,0.5101021138981852,0
5ADTSTSTERONEGLCtr,-0.5101021138982281,0
5ADTSTSTERONESte,-0.02859057233168174,0
5ADTSTSTERONESULT,-0.09590076493774537,0
5AOPtm,1.0335084693577157,0
5FTHFt2,-0.09619036829762288,0
5HLTDL,0.7952126492929134,0
5HOMEPRAZOLEte,-0.23529630030726417,0
5HOXINDACTO2OX,-0.2543334012893412,0
5HOXINOXDA,0.5047410229921768,0
5HTRPVESSEC,-0.03325211465389672,0
5MTHFt,-1.1829733109800784,0
5MTHFt2,-0.40012733306834436,0
6HTSTSTERONEte,0.49870857693292336,0
6HTSTSTERONEtr,-0.4987085769329922,0
7DHFtl,0.14616812963807885,0
7DHFtm,-0.08475869683562434,0
7THFtl,0.8006808255552669,0
7THFtm,0.3693098535680054,0
A_MANASEly,0.19635672284644512,0
A4GALTc,-0.22776250357106567,0
A4GALTg,0.2665237858221201,0
A4GNT1g,0.08963234517010363,0
A4GNT2g,0.41019048225227694,0
AACTOOR,-0.7948403087158853,0
AATAi,-0.03172858951000895,0
ABO1g,0.26791697429316896,0
ABO2g,0.3656078612539305,0
ABO3g,-0.07894735190937491,0
ABO4g,0.29484232024214496,0
ABO5g,0.29484232024214496,0
ABO6g,0.11152435306141904,0
ABO7g,0.11152435306135977,0
ABO8g,0.27172146607275477,0
ABO9g,0.6039529063904853,0
ABTArm,-0.11791554492962522,0
ABTti,0.1389000732021014,0
ABUTt2rL,-0.24077837791626713,0
ACACT10m,-0.5209417553960943,0
ACACT1rm,-0.09375190639870955,0
ACACT1x,-0.13159046803838118,0
ACACt2m,-3.3096568816387095,0
ACACT4p,0.3979637085238185,0
ACACT5p,0.3052796958388977,0
ACACT6p,0.2569399857149838,0
ACACT7p,0.27961886896006105,0
ACACT8p,0.048511380710813186,0
ACACT9p,0.2330711441497159,0
ACACtx,-0.590997824375169,0
ACALDtm,-0.635719703355312,0
ACALDtr,0.1532167612442332,0
ACALDtx,0.07392711082998442,0
ACCOACm,0.08672089845854501,0
ACCOAgt,0.6690339907284738,0
ACCOALm,0.4568028601733013,0
ACCOAtn,-0.9727958282904227,0
ACCOAtr,-1.0596364817528805,0
ACETONEt2,-1.1743818702292401,0
ACETONEt2m,-1.1743818702292401,0
ACGAGBSIDEtg,-0.5004368091079956,0
ACGAGBSIDEtl,0.5004368091079956,0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.29484232024214496,0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,0.29484232024214496,0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.11152435306141904,0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,0.11152435306141904,0
ACGALK,1,0
ACGALtlg,-0.2762265799798021,0
ACGALtly,0.28343623754429087,0
ACGAM6PSi,0.0438369824221908,0
ACGAMK,0.3302683772909439,0
ACGAMPM,0.30095070333101615,0
ACGAMtly,0.25088222358010437,0
ACGBGBSIDEtg,-0.2762265799798021,0
ACGBGBSIDEtl,0.2762265799798021,0
ACGPID,0.6165840011155642,0
ACHEe,-0.3955089969165856,0
ACHtn,-0.9727958282904227,0
ACHVESSEC,0.3711921064138817,0
ACITL,0.4862112248060898,0
ACNACNGAL14ACGLCGALGLUSIDEte,-0.22761795942330687,0
ACNACNGAL14ACGLCGALGLUSIDEtg,0.22761795942330687,0
ACNACNGALGBSIDEte,1,0
ACNACNGALGBSIDEtg,-1,0
ACNAM9PL,0.21868841346595205,0
ACNAM9PL2,0.4498887794390435,0
ACNAMlt,-0.18446992329712583,0
ACNAMPH,0.21868841346595205,0
ACNAMtn,0.4848573742568855,0
ACOAD10m,0.48974233790208105,0
ACOAD1fm,0.0926191760419051,0
ACOAD8m,-0.303387201909231,0
ACOAD9m,-0.1955540143872826,0
ACOAHi,0.6646655062787126,0
ACOAO7p,0.27961886896006105,0
ACONTm,-0.15291875146253392,0
ACP1_FMN_,-0.1217616744656994,0
ACS2,-0.35120214979802306,0
ACSm,0.21712389791061118,0
ACSRTNMT,-0.6437174155186688,0
ACt2m,-0.15464406682981813,0
ACtg,-0.272838559387004,0
ADCim,1,0
ADEt,-1.004254191914787,0
ADK1m,0.2928542115722852,0
ADK3,0.03305987568689623,0
ADK3m,1.7227387148674083,2.388338415926228e-10
ADKd,-6.026094898095649,0
ADMDC,0.8016846174004373,0
ADNCYC,0.4216331883176928,0
ADNK1m,0.3026055385180937,0
ADNt,1.2923520844016878,0
ADNtl,0.49328250941097257,0
ADNtm,0.6424366568541773,0
ADPMAN,0.011111897766008485,0
ADRNCPT1,0.38901572170201276,0
ADRNCPT2,0.38901572170201276,0
ADRNCRNt,0.6999951020354509,0
ADRNLPVESSEC,0.23115978410968557,0
ADRNt,-0.13844519852140175,0
ADSK,0.1737635428718286,0
ADSL1,0.4269526918236119,0
ADSL2,-0.16771343015981385,0
AFLATOXINte,0.14026295627472485,0
AG13T16g,0.13459567934081612,0
AG13T17g,0.13459567934081612,0
AG13T18g,0.13459567934081612,0
AG13T1g,0.1174002759836881,0
AG13T2g,0.1174002759836881,0
AG13T3g,0.1174002759836881,0
AGMTm,0.5118317310052481,0
AGPAT1,0.39808344905283455,0
AGTim,-0.38527352645017837,0
AGTix,0.3380723781078074,0
AHANDROSTANGLCte,0.30979550789936783,0
AHANDROSTANGLCtr,-0.30979550789936783,0
AHCYStr,1,0
AHEXASE2ly,0.26288272822505354,0
AHEXASEly,0.10706638292710086,0
AIRCr,-0.16771343015981385,0
AKGDm,-0.54629746472314,0
AKGMALtm,-0.20974958193272786,0
AKGtp,-0.4007016014690867,0
AKR1C1,0.2121090485990387,0
AKR1C41,-0.544594632413124,0
AKR1C42,-0.5760145717852739,0
AKR1D,0.3040892203321962,0
AKR1D2,0.2018763433073334,0
ALAASNNaEx,0.36153338605460483,0
ALACYSNaEx,0.3358383189170733,0
ALADGLNexR,-0.9638760687139831,0
ALADGLYexR,0.3666771769739694,0
