Reaction,fc,pval
10FTHF7GLUtl,0.6882472151076084,0
10FTHF7GLUtm,0.5951935544689395,0
10FTHFtl,-0.6882472151076084,0
10FTHFtm,-0.20700815231680064,0
11DOCRTSLtm,0.5171937564783707,0
11DOCRTSLtr,-0.3757762073576901,0
11DOCRTSTRNtm,0.6749761646952137,0
11DOCRTSTRNtr,-0.30330181539367096,0
13DAMPPOX,-0.014670796726879248,0
24_25DHVITD2t,-0.25198927351471734,0
24_25DHVITD2tm,-0.25198927351471734,0
24_25DHVITD3t,0.08963716529974948,0
24_25DHVITD3tm,0.08963716529974948,0
24_25VITD2Hm,-0.25198927351471734,0
24_25VITD3Hm,0.08963716529974948,0
25HVITD2tin_m,-0.25198927351471734,0
25HVITD3tin_m,0.08963716529974948,0
2AMACHYD,0.9639816747338691,0
2AMACSULT,0.24892973128680715,0
2AMADPTm,-0.6446941037696529,0
2HBO,0.8479089680560554,0
2HBt2,-0.32822867114462595,0
2OXOADOXm,0.16050057418780622,0
2OXOADPTm,1.0776886027005852,0
34DHOXPEGOX,-0.19386759897640357,0
34DHOXPEGt,-0.19386759897640357,0
34DHPHAMT,0.6738347381758569,0
34DHPLACOX,NA,1
34DHPLACOX_NADP_,0.5355731231652158,0
34DHXMANDACOX,1,0.699374199935276
34DHXMANDACOX_NADP_,0.19602379800984102,0
34HPLFM,0.20789765451311348,0
34HPPOR,0.28890351845794077,0
3AIBTm,-1,0
3AIBtmi,-1,0
3DSPHR,0.8263953560048451,0
3HBCDm,0.1829172114786562,0
3HBCOAHLm,-0.9272991290292885,0
3HKYNAKGAT,NA,0
3HLYTCL,0.5732588434721926,0
3M4HDXPAC,-0.33172870234851354,0
3MLDAt,0.44779219643637286,0
3MOX4HOXPGALDOX,0.0676801193788528,0
3MOX4HOXPGALDOX_NADP_,NA,1
3MOXTYROX,-0.33172870234851354,0
3SALAASPm,-0.30470740469962193,0
3SALATAi,0.3027376958841112,0
3SALATAim,-0.05655355796383944,0
3SPYRSP,0.3027376958841112,0
3SPYRSPm,-0.05655355796383944,0
41R1H2MAE12BOOX,-0.3488916174293923,0
41R2A1H12BOOX,0.1879501391756158,0
42A12BOOX,-0.018802850285127307,0
4ABUTtm,1,0
4HBZCOAFm,0.4033014330295306,0
4HBZFm,0.4033014330295306,0
4HDEBRISOQUINEte,-0.18561923110021472,0
4HGLSDm,-1,1
4HOXPACDOX_NADP_,NA,1
4MPTNLte,0.24417225863433972,0
4MPTNLtm,-0.24417225863433972,0
4MTOLBUTAMIDEte,-0.28875468711495716,0
4PYRDX,0.45348632608213496,0
5ADTSTSTERONEGLCte,0.7287774694742142,0
5ADTSTSTERONEGLCtr,-0.72877746947371,0
5ADTSTSTERONESte,-1,0
5ADTSTSTERONESULT,0.12920987510681956,0
5AOPtm,1,0
5FTHFt2,0.4050342183581983,0
5HLTDL,0.35955396944344453,0
5HOMEPRAZOLEte,-0.23279726278687873,0
5HOXINDACTO2OX,0.07989572032232489,0
5HOXINOXDA,0.25476125438207264,0
5HTRPVESSEC,-0.056154076402527765,0
5MTHFt,0.3414844191103488,0
5MTHFt2,-0.5157981594882565,0
6HTSTSTERONEte,0.2295325660406727,0
6HTSTSTERONEtr,-0.22953256604067204,0
7DHFtl,0.4634246397512479,0
7DHFtm,0.4765704481607728,0
7THFtl,0.652754461771595,0
7THFtm,0.2750920191283534,0
A_MANASEly,0.3821834792189065,0
A4GALTc,-1,0
A4GALTg,0.3761647192675649,0
A4GNT1g,0.21718014070537422,0
A4GNT2g,0.2970525257998984,0
AACTOOR,-0.8546999531059171,0
AATAi,1,0
ABO1g,-0.07989609796487153,0
ABO2g,0.32706434128228756,0
ABO3g,-0.2386981872013731,0
ABO4g,0.19800488895872528,0
ABO5g,0.19800488895872528,0
ABO6g,0.4014054610595417,0
ABO7g,0.4014054610594914,0
ABO8g,0.35825576760783445,0
ABO9g,0.24943241400779836,0
ABTArm,1,0
ABTti,-1,0
ABUTt2rL,0.3245500950400722,0
ACACT10m,-0.38855953711079605,0
ACACT1rm,-0.06408378717967446,0
ACACT1x,-0.09076077026422393,0
ACACt2m,-1.5966583904237055,0
ACACT4p,0.35910872753799633,0
ACACT5p,0.38025925331346255,0
ACACT6p,0.5911725381527585,0
ACACT7p,0.5256796036043728,0
ACACT8p,0.40174080015469465,0
ACACT9p,0.24157880015966293,0
ACACtx,-0.27531022716931897,0
ACALDtm,-0.5017924488939385,0
ACALDtr,0.12288360400413333,0
ACALDtx,-0.10938969736591563,0
ACCOACm,0.17587629464285662,0
ACCOAgt,0.7373301897017592,0
ACCOALm,0.24827425945603065,0
ACCOAtn,0.855318406943107,0
ACCOAtr,-1.0331745478823833,0
ACETONEt2,-1.2047502732398871,0
ACETONEt2m,-1.2047502732398871,0
ACGAGBSIDEtg,-0.45346225032159165,0
ACGAGBSIDEtl,0.45346225032159165,0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.1980048889587252,0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,0.19800488895872528,0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.4014054610595453,0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,0.4014054610595417,0
ACGALK,1,0
ACGALtlg,-0.27603180706947317,0
ACGALtly,0.39296982524462054,0
ACGAM6PSi,0.5037982350753059,0
ACGAMK,0.2591050154675144,0
ACGAMPM,0.3069525577918055,0
ACGAMtly,0.24318209590190393,0
ACGBGBSIDEtg,-0.27603180706947317,0
ACGBGBSIDEtl,0.27603180706947317,0
ACGPID,0.26114347944576316,0
ACHEe,0.341203805552915,0
ACHtn,0.855318406943107,0
ACHVESSEC,0.2931210232096032,0
ACITL,0.5823198669248663,0
ACNACNGAL14ACGLCGALGLUSIDEte,-0.15591999580622176,0
ACNACNGAL14ACGLCGALGLUSIDEtg,0.15591999580622176,0
ACNAM9PL,0.25667016688288535,0
ACNAM9PL2,0.07806253830898241,0
ACNAMlt,-0.37313976874060767,0
ACNAMPH,0.25667016688288535,0
ACNAMtn,0.6751482885437803,0
ACOAD10m,0.39551139235027233,0
ACOAD1fm,0.23787046150073937,0
ACOAD8m,0.3632273170907185,0
ACOAD9m,-0.9075138791309065,0
ACOAHi,0.3963166075776484,0
ACOAO7p,0.5256796036043728,0
ACONTm,-0.7412533520260214,0
ACP1_FMN_,-0.22243019793617924,0
ACS2,0.1356669802988016,0
ACSm,0.48713271743532643,0
ACSRTNMT,-0.569295609662609,0
ACt2m,-0.09704118304687818,0
ACtg,-0.3470063979177587,0
ADCim,1,0
ADEt,-1.0024311060822102,0
ADK1m,0.1115917091510697,0
ADK3,-0.25347761997173746,0
ADK3m,0.3533938285248816,7.890368445284679e-7
ADKd,-1.1040413416121697,0
ADMDC,0.5752602544201035,0
ADNCYC,0.6830663408841186,0
ADNK1m,-0.07514892158661722,0
ADNt,1.0156755587291209,0
ADNtl,0.8246322199374532,0
ADNtm,-0.08258730392216726,0
ADPMAN,-0.030148305604327276,0
ADRNCPT1,0.11015866188224385,0
ADRNCPT2,0.11015866188224385,0
ADRNCRNt,0.8394658534582256,0
ADRNLPVESSEC,0.10848137999721288,0
