Reaction,fc,pval,Truncating,WT,rxnNames,subSystem,geneRules,kegg,source
10FTHFtm,-0.8162776688981558,0,95.96782765429616,948.7372670257569,10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion,"Transport, mitochondrial",NA,NA,PMID:11375437
11DOCRTSLtm,0.6611696809307664,0,12.179001711826212,2.4841622642971926,11-Deoxycortisol Intracellular Transport,"Transport, mitochondrial",NA,NA,NA
11DOCRTSLtr,-0.7945144318593883,0,-1.665331936397709,-0.19069318865204987,11-Deoxycortisol Intracellular Transport,"Transport, endoplasmic reticular",NA,NA,NA
11DOCRTSTRNtr,0.6532448376833322,0,-0.9175892471008119,-4.374843840097702,11-Deoxycorticosterone Intracellular Transport,"Transport, endoplasmic reticular",NA,NA,NA
13DAMPPOX,-0.44777889412367555,0,1.636015694082429,4.289204029224676,"1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)",Beta-Alanine metabolism,8639.1 or 26.1 or 314.2 or 314.1,NA,"PMID:15035803,PMID:8920635,PMID:9653080"
24_25DHVITD2t,0.45334434396621764,0,5.865636993658167,2.2062793667147345,"24, 25-Dihydroxyvitamin D2 Transport from Cytoplasm","Transport, extracellular",NA,NA,NA
24_25DHVITD2tm,0.45334434396621764,0,5.865636993658167,2.2062793667147345,"24, 25-Dihydroxyvitamin D2 Transport from Mitochondria","Transport, mitochondrial",NA,NA,NA
24_25DHVITD3t,0.6010072039413937,0,3.3836797279994206,0.8432590636180132,"24, 25-Dihydroxyvitamin D3 Transport from Cytoplasm","Transport, extracellular",NA,NA,NA
24_25DHVITD3tm,0.6010072039413937,0,3.3836797279994206,0.8432590636180132,"24, 25-Dihydroxyvitamin D3 Transport from Mitochondria","Transport, mitochondrial",NA,NA,NA
24_25VITD2Hm,0.45334434396621764,0,5.865636993658167,2.2062793667147345,24R-Vitamin D-25-Hydroxylase (D2),Vitamin D metabolism,1591.1,NA,"PMID:15358094,PMID:8266831"
24_25VITD3Hm,0.6010072039413937,0,3.3836797279994206,0.8432590636180132,24R-Vitamin D-25-Hydroxylase (D3),Vitamin D metabolism,1591.1,NA,"PMID:15358094,PMID:8266831"
25HVITD2tin_m,0.45334434396621764,0,5.865636993658167,2.2062793667147345,25-Hydroxyvitamin D2 Transport in Mitochondria,"Transport, mitochondrial",NA,NA,NA
25HVITD3tin_m,0.6010072039413937,0,3.3836797279994206,0.8432590636180132,25-Hydroxyvitamin D3 Transport in Mitochondria,"Transport, mitochondrial",NA,NA,NA
2AMACHYD,0.9067677935713769,0,81.78458434385061,3.998891357370504,2-Aminoacrylate Hydrolysis,"Glycine, serine, alanine, and threonine metabolism",10993.1,NA,PMID:500639
2AMADPTm,-0.9445677720806429,0,1.5583022847296997,54.66539079853296,L-2-Aminoadipate Shuttle (Cytosol/Mitochondria),Lysine metabolism,89874.1,NA,PMID:11083877
2HBO,3.303743092076703,0,252.41360973370075,-135.114038484478,2-Hydroxybutyrate:NAD+ Oxidoreductase,Propanoate metabolism,92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1,NA,"PMID:10108,PMID:21765"
2HBt2,0.6276904597559972,0,-34.240165956920386,-149.69369689537288,2-Hydroxybutyrate Symport with Proton,"Transport, extracellular",9123.1 or 9194.1 or 6566.1,NA,"PMID:10510291,PMID:11101640,PMID:12739169,PMID:7835905,PMID:8476015,PMID:9425115,PMID:9508842,PMID:9649795,PMID:9786900,PMID:9824713"
2OXOADOXm,0.6041186012426332,0,17.555982119631768,4.332651434061828,"2-Oxoadipate:Lipoamde 2-Oxidoreductase (Decarboxylating And Acceptor-Succinylating), Mitochondrial",Lysine metabolism,(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1),NA,NA
2OXOADPTm,1.0446331043312813,0,17.605617380006706,-806.5096223236084,2-Oxoadipate Shuttle (Cytosol/Mitochondria),Tryptophan metabolism,89874.1,NA,PMID:11083877
34DHPHAMT,0.8658436687892753,0,23.603348330055177,1.6971082139500546,"3, 4-Dihydroxyphenylacetate:Amet O-Methyltransferase",Tyrosine metabolism,1312.1 or 1312.2,NA,PMID:1847521
34HPPOR,0.6748440914103906,0,5.964890489575468,1.1580298110865692,4-Hydroxyphenylpyruvate:Oxygen Oxidoreductase,Tyrosine metabolism,3242.1,NA,NA
3AIBTm,-1,0,NA,1.861941148907205,"L-3-Aminoisobutyrate Transaminase, Mitochondrial","Valine, leucine, and isoleucine metabolism",18.1 or 18.2,NA,NA
3AIBtmi,-1,0,NA,1.861941148907205,"3-Amino-Isobutyrate Transport, Mitochondrial","Transport, mitochondrial",18.1 or 18.2,NA,"We show in this study that the product of Slc6a18 called XT2 is a Na+- and Cl dependent neutral amino acid transporter and displays, compared with B0AT1, a lower K0.5 and a different substrate selectivity. Because of its broad transport selectivity for neutral amino acids, we suggest that it be renamed B0AT3. Exclusive to kidney, responsible for re-absorption of neutral amino acids (gly, ala, val, leu, ile, met, ser, cys, asn, gln, phe, tyr, trp, arg, glu)."
