Reaction,fc,pval,Truncating,WT,subSystem
10FTHF7GLUtl,0.6882472151076084,0,14.3112946904853,2.6427326135942186,"Transport, lysosomal"
10FTHF7GLUtm,0.5951935544689395,0,4.716501913910778,1.1968894744852994,"Transport, mitochondrial"
10FTHFtl,-0.6882472151076084,0,-14.3112946904853,-2.6427326135942186,"Transport, lysosomal"
11DOCRTSLtm,0.5171937564783707,0,9.155963999612874,2.9136401106297223,"Transport, mitochondrial"
11DOCRTSLtr,-0.3757762073576901,0,-3.0105050919531395,-1.3659408385010625,"Transport, endoplasmic reticular"
11DOCRTSTRNtm,0.6749761646952137,0,11.656559237341071,2.261918509429913,"Transport, mitochondrial"
2AMACHYD,0.9639816747338691,0,120.57712438344956,2.211317010524706,"Glycine, serine, alanine, and threonine metabolism"
2AMADPTm,-0.6446941037696529,0,19.695817271624133,91.17100188667774,Lysine metabolism
2HBO,0.8479089680560554,0,90.84792223307763,7.477183390114311,Propanoate metabolism
2HBt2,-0.3561593811947691,0,-209.10382580223083,-99.27265074142069,"Transport, extracellular"
2OXOADPTm,1.0776886027005852,0,28.784780254643458,-769.8144616760254,Tryptophan metabolism
34DHPHAMT,0.6738347381758569,0,39.816544116727286,7.758695192882581,Tyrosine metabolism
34DHPLACOX_NADP_,0.5163739223588303,0,-265.1518287084475,-831.3640167633057,Tyrosine metabolism
34DHXMANDACOX,0.9369885260947164,0,248.63840208189487,8.088366024667211,Tyrosine metabolism
3AIBTm,-1,0,NA,6.228439187472258,"Valine, leucine, and isoleucine metabolism"
3AIBtmi,-1,0,NA,6.228439187472258,"Transport, mitochondrial"
3DSPHR,0.8263953560048451,0,56.602756318684854,5.380270666776551,Sphingolipid metabolism
3HBCOAHLm,-0.9272991290292885,0,14.166114877418126,375.5435182609558,"Valine, leucine, and isoleucine metabolism"
3HKYNAKGAT,1,0,391.82916852832733,NA,Tryptophan metabolism
3HLYTCL,0.5732588434721926,0,70.46268002518187,19.11276436853312,Tyrosine metabolism
3M4HDXPAC,-0.33172870234851354,0,2.8768655927935964,5.733007681440381,Tyrosine metabolism
3MLDAt,0.44779219643637286,0,22.848906371607924,8.71488631611165,"Transport, extracellular"
3MOXTYROX,-0.33172870234851354,0,2.8768655927935964,5.733007681440381,Tyrosine metabolism
41R1H2MAE12BOOX,-0.3488916174293923,0,4.292398882632043,8.892499354080693,Tyrosine metabolism
4ABUTtm,1,0,NA,-577.165106351471,"Transport, mitochondrial"
4HBZCOAFm,0.4033014330295306,0,0.8915769175365829,0.37910790690885876,Ubiquinone synthesis
4HBZFm,0.4033014330295306,0,0.8915769175365829,0.37910790690885876,Ubiquinone synthesis
4PYRDX,0.45348632608213496,0,10.029876748893201,3.771253084820038,"Transport, extracellular"
5ADTSTSTERONEGLCte,0.7287774694742142,0,10.490658452773914,1.645846838406813,"Transport, extracellular"
5ADTSTSTERONEGLCtr,-0.72877746947371,0,-10.490658452750143,-1.6458468384066223,"Transport, endoplasmic reticular"
5ADTSTSTERONESte,-1,0,NA,243.07639752726556,"Transport, extracellular"
5AOPtm,1,0,NA,-12.354887944227457,Heme synthesis
5FTHFt2,0.4050342183581983,0,268.0806749649048,113.51953300463595,"Transport, extracellular"
5HLTDL,0.35955396944344453,0,8.003084597083799,3.7700186072854867,Tryptophan metabolism
5MTHFt2,-0.45289638314221187,0,-970.975727557373,-365.63125807971954,"Transport, extracellular"
7DHFtl,0.4634246397512479,0,6.098473245819419,2.2360498723044278,"Transport, lysosomal"
7DHFtm,0.4765704481607728,0,3.155319083044934,1.1185292619158136,"Transport, mitochondrial"
7THFtl,0.652754461771595,0,7.102960480434098,1.4923398436326754,"Transport, lysosomal"
A_MANASEly,0.3821834792189065,0,7.0345624021899535,3.1443501777307596,N-glycan degradation
A4GALTc,-1,0,NA,12.01628797150341,Sphingolipid metabolism
A4GALTg,0.3761647192675649,0,12.106582832401385,5.4880883038342,Sphingolipid metabolism
AACTOOR,-0.8546999531059171,0,6.896155564969519,88.0268084998184,"Glycine, serine, alanine, and threonine metabolism"
AATAi,1,0,NA,-82.72931762542724,Lysine metabolism
ABO6g,0.4014054610595417,0,0.6809431050296204,0.29085716826857116,Blood group synthesis
ABO7g,0.4014054610594914,0,0.6809431050296204,0.2908571682686061,Blood group synthesis
ABO8g,0.35825576760783445,0,0.5867335194973339,0.27721792983932725,Blood group synthesis
ABTArm,1,0,NA,-577.165106351471,Glutamate metabolism
ABTti,-1,0,NA,447.4811171391487,"Transport, extracellular"
ACACT10m,-0.38855953711079605,0,-190.69381530902385,-83.97041076486036,"Valine, leucine, and isoleucine metabolism"
ACACt2m,-1.5966583904237055,0,-463.03789099121093,106.39653015694618,"Transport, mitochondrial"
ACACT4p,0.35910872753799633,0,14.95522121073678,7.052173646962241,Fatty acid oxidation
ACACT5p,0.38025925331346255,0,7.204540023967647,3.234861134434102,Fatty acid oxidation
ACACT6p,0.5911725381527585,0,11.393840168141224,2.927473070922952,Fatty acid oxidation
