Reaction,fc,pval,Ges1_A_D,Ges1_P_D,subSystem
2HBO,4.123053757098867,0,306.641398574879,-186.93100195841762,Propanoate metabolism
2HBt2,1.2149559850389489,0,57.56728275130305,-593.1865421161651,"Transport, extracellular"
34HPLFM,-0.9967780524097599,0,0.8462937437436397,524.4842524806976,Ubiquinone synthesis
ABUTt2rL,-1.2896286343972791,0,-3.596651036213408,28.432945580764116,"Transport, lysosomal"
ACETONEt2,1.4179702216759442,0,41.9009964980118,-242.39851677589417,"Transport, extracellular"
ACETONEt2m,1.4179702216759442,0,41.9009964980118,-242.39851677589417,"Transport, mitochondrial"
ACONTm,-1.074074415192409,0,-21.484402537363813,601.560599738729,Citric acid cycle
ADK3m,-16.60571448798972,0,-304.2455950858466,269.68345387954713,Nucleotide interconversion
ADNtm,1.4128087067122483,0,62.840489162811636,-10.751412239312293,"Transport, mitochondrial"
AKGMALtm,1.0118544173129138,0,293.8890325266838,-1.7316776031503456,"Transport, mitochondrial"
ARACHCPT1,0.9434692954757682,0,90.65537500282302,2.6369401511761166,Fatty acid oxidation
ARACHCPT2,0.9434692954757676,0,90.65537500282302,2.636940151176142,Fatty acid oxidation
ARACHDt2,-1.2687406717398804,0,-101.60965643960377,857.8007888183594,"Transport, extracellular"
ATPH2e,0.91087487670551,0,159.08393683943748,7.419834578301784,Nucleotide interconversion
C180CPT1,-1.5688066569617718,0,-37.243064004841635,8.246670754373756,Fatty acid oxidation
C180CPT2,-19.664339211065535,0,-13.438153638988652,14.878135358890267,Fatty acid oxidation
CDIPTr,-0.9998006101769781,0,-221.63710987067222,-0.022098295143688915,Glycerophospholipid metabolism
CDSm,0.9933771382557407,0,5.339975743266829,0.0177417109821482,Glycerophospholipid metabolism
COAtm,1.2163278142301273,0,6.744116008269975,-69.0950072449896,"Transport, mitochondrial"
CSNAT2m,-2.3967047467941627,0,-99.66338270900548,242.37555281906128,Fatty acid oxidation
CSNAT2x,2.4188627046341393,0,430.45003718910215,-178.64113207826315,Fatty acid oxidation
CYTK10,15.89316459691926,0,287.05176117954255,-253.0673931787843,Nucleotide interconversion
CYTK10n,2.3468274571509395,0,277.90612234210965,-690.588713369751,Nucleotide interconversion
CYTK11,-1.0422838783399653,0,-16.892803467501235,815.9114427551269,Nucleotide interconversion
CYTK11n,-3.1087834045716574,0,-252.57636914594994,129.63176765397563,Nucleotide interconversion
