Reaction,fc,pval,Ges1_A_D,Ges1_P_D,subSystem
2HBO,4.123053757098867,0,306.641398574879,-186.93100195841762,Propanoate metabolism
2HBt2,1.2149559850389489,0,57.56728275130305,-593.1865421161651,"Transport, extracellular"
2OXOADOXm,0.6732411682946461,0,111.06789013664722,21.689888289097254,Lysine metabolism
34HPLFM,-0.9967780524097599,0,0.8462937437436397,524.4842524806976,Ubiquinone synthesis
3DSPHR,-0.42376202708653743,0,23.01427962853472,56.86341226384226,Sphingolipid metabolism
3SALATAim,-0.3427449229313591,0,7.431072618144253,15.181373835025354,Methionine and cysteine metabolism
3SPYRSPm,-0.3427449229313591,0,7.431072618144253,15.181373835025354,Methionine and cysteine metabolism
4MPTNLte,-0.45068139055049844,0,10.897278432962159,28.778342401667278,"Transport, extracellular"
4MPTNLtm,0.45068139055049844,0,-10.897278432962159,-28.778342401667278,"Transport, mitochondrial"
5FTHFt2,-0.4472096527323498,0,23.64079627218603,61.891798097590915,"Transport, extracellular"
A4GALTg,-0.331384575764693,0,1.0650886921828555,2.120864409036709,Sphingolipid metabolism
ABUTt2rL,-1.2896286343972791,0,-3.596651036213408,28.432945580764116,"Transport, lysosomal"
ACACT1x,-0.6642476044900786,0,44.27519771916464,219.4619985675335,Cholesterol metabolism
ACACt2m,-0.5844037629841712,0,34.89100221417202,133.01716973996014,"Transport, mitochondrial"
ACACT4p,-0.6780927222512309,0,4.966469846615771,25.890054313685,Fatty acid oxidation
ACACT6p,-0.5632809600613046,0,1.683167566743576,6.025072344114678,Fatty acid oxidation
ACACT7p,-0.6579759095043913,0,1.683167566743576,8.159224320357643,Fatty acid oxidation
ACACtx,0.566093689040122,0,-36.69625599654592,-132.44742811059356,"Transport, peroxisomal"
ACCOAtr,0.5239513158431115,0,-197.56945743651391,-632.4694188873291,"Transport, endoplasmic reticular"
ACETONEt2,1.4179702216759442,0,41.9009964980118,-242.39851677589417,"Transport, extracellular"
ACETONEt2m,1.4179702216759442,0,41.9009964980118,-242.39851677589417,"Transport, mitochondrial"
ACGAM6PSi,-0.44589277993126747,0,113.21578880136013,295.4263826084137,Aminosugar metabolism
ACOAD10m,-0.4692951447875123,0,13.089741140321427,36.23990418610189,"Valine, leucine, and isoleucine metabolism"
ACOAD1fm,-0.798654737419866,0,7.680696951658121,68.61309663686752,Butanoate metabolism
ACONTm,-1.074074415192409,0,-21.484402537363813,601.560599738729,Citric acid cycle
