Reaction,fc,pval,MCF10A_KO,MCF10A_P,subSystem
2HBt2,1.3515828297797732,0,23.316806074080244,-155.9558549644118,"Transport, extracellular"
34DHOXPEGOX,-1.5379556944958022,0,-125.55927711667745,26.614069058881597,Tyrosine metabolism
34DHOXPEGt,-1.5379556944958022,0,-125.55927711667745,26.614069058881597,"Transport, extracellular"
5FTHFt2,-0.8443798018675818,0,20.933630679169205,248.10124950208663,"Transport, extracellular"
ACETONEt2,-3.8612564948050165,0,-154.69610472569093,91.05161080071208,"Transport, extracellular"
ACETONEt2m,-3.177110099304013,0,-174.69608135809898,91.05161080071208,"Transport, mitochondrial"
ACONTm,4.462674954259696,0,413.2778086109161,-261.96812532520295,Citric acid cycle
ADK3m,-1.5086508360935307,0,-27.351836955677346,134.8984485595867,Nucleotide interconversion
ADNtm,-1.1535309568684204,0,-6.618240300476836,92.83199725828469,"Transport, mitochondrial"
AKGMALtm,-1.0114372807514904,0,-343.6301504821777,1.9539234672399264,"Transport, mitochondrial"
ALATHRNaEx,-0.8806295251359981,0,11.395818913182033,179.53613350076677,"Transport, extracellular"
ALDD21,-0.994880252809995,0,1.9336143953826157,753.4218059494018,Fatty acid oxidation
AMACR2p,0.8831400828720702,0,82.46989289741516,5.117741870186667,Bile acid synthesis
AMETt2m,1.5030903604932213,0,141.8124443891585,-705.5777459152222,"Transport, mitochondrial"
ARACHCPT1,-1.3006763418917233,0,-1.832799625781052,14.023979112998981,Fatty acid oxidation
ARACHCPT2,-1.3006763418917233,0,-1.832799625781052,14.023979112998981,Fatty acid oxidation
ASPTAm,0.8257326262297504,0,61.08761741077518,5.830853052147799,Alanine and aspartate metabolism
ATPH2e,-0.8864469920310301,0,12.96274077526452,215.34897032985688,Nucleotide interconversion
BAAT3x,0.8539117547931565,0,84.73036992259026,6.676753100958117,Bile acid synthesis
BTNt2,-0.9074847745544202,0,2.827717706506501,58.30206267045108,"Transport, extracellular"
C160CPT1,2.5889056023630665,0,120.02839491818584,-271.1114985835969,Fatty acid oxidation
C161CPT2,1.0323099100534612,0,1.8197246586505613,-114.46161413711543,Fatty acid oxidation
C180CPT1,1.154021353045191,0,175.19905937452316,-12.527450639688572,Fatty acid oxidation
C204CPT2,-5.2385575263842314,0,-4.105292110792379,2.7891891195383285,Fatty acid oxidation
CDIPTr,1.3058656561394235,0,4.496344216608572,-33.89712280260967,Glycerophospholipid metabolism
CDSm,-0.9963812295953355,0,0.008176641526956137,4.510839826838264,Glycerophospholipid metabolism
CITtam,-1.5923344118218734,0,-483.480174520874,110.47260858644061,"Transport, mitochondrial"
CLI2tex,0.9392673923402126,0,388.0164688892365,12.15162595094671,"Transport, extracellular"
CSBPASEly,-0.8483427898264484,0,0.2843966878019065,3.4661231519927505,Chondroitin sulfate degradation
CSCPASEly,-0.9027580281434714,0,0.3779352974491838,7.3951546601833424,Chondroitin sulfate degradation
CSDPASEly,-0.915770155038201,0,0.35254580959780946,8.01849677649981,Chondroitin sulfate degradation
CSNAT2x,-1.147070900158369,0,-190.16884312200546,13.02625960696782,Fatty acid oxidation
CSPG_Btly,-0.8483427898264484,0,0.2843966878019065,3.4661231519927505,"Transport, lysosomal"
CSPG_Ctly,-0.9027580281434714,0,0.3779352974491838,7.3951546601833424,"Transport, lysosomal"
CSPG_Dtly,-0.915770155038201,0,0.35254580959780946,8.01849677649981,"Transport, lysosomal"
CYTK10,0.8903038439588752,0,574.5056905975342,33.33911957260575,Nucleotide interconversion
CYTK12,-1.5607931208316195,0,-92.94064780920982,424.40208824694156,Nucleotide interconversion
CYTK14,1.9350999743148263,0,28.617753597652666,-89.8256551776344,Nucleotide interconversion
CYTK1m,-0.9963812295953355,0,0.008176641526956137,4.510839826838264,Nucleotide interconversion
CYTK5,0.9277436773819905,0,334.8228748268127,12.549941129222884,Nucleotide interconversion
CYTK5n,1.269848572988137,0,459.08473055915834,-54.57780791911874,Nucleotide interconversion
CYTK6,-1.541232406408684,0,-65.16258572768402,13.878346188355168,Nucleotide interconversion
CYTK7,-39.08876710965419,0,-528.3893281215668,502.0283613861084,Nucleotide interconversion
CYTK7n,-1.8422194705932105,0,-288.2178334013641,85.40602637281744,Nucleotide interconversion
CYTK8,-1.449303934958565,0,-82.83783990737331,451.57638618791106,Nucleotide interconversion
CYTK9,1.6473656705242194,0,179.30385384105296,-733.2530729766846,Nucleotide interconversion
DGCHOLtx,0.8539117547931565,0,84.73036992259026,6.676753100958117,"Transport, peroxisomal"
DLNLCGt,1.8402846357417935,0,2.253154197006649,-7.615989839044993,"Transport, extracellular"
EICOSTETt,-0.9744270858218395,0,-4.897732720300913,-0.06343576798719297,"Transport, extracellular"
EX_34dhoxpeg[e],-1.5379556944958022,0,-125.55927711667745,26.614069058881597,Exchange/demand reaction
EX_5fthf[e],0.8443798018675818,0,-20.933630679169205,-248.10124950208663,Exchange/demand reaction
EX_amp[e],-2.310285505641944,0,-340.4872152309418,134.7725029194953,Exchange/demand reaction
EX_gsn[e],-1.3279606629148213,0,-370.1501006135225,52.14635896089468,Exchange/demand reaction
EX_lpchol_hs[e],-0.9376965197492928,0,14.506741601789715,451.17323465042114,Exchange/demand reaction
EX_tststerone[e],0.8577664779406253,0,-37.53606957650611,-490.2729733695984,Exchange/demand reaction
FRUt1r,0.8621744084676246,0,-37.46144687638721,-506.14509904708865,"Transport, extracellular"
FUMm,-1.8989637688293732,0,-128.82289089431913,39.947760905137564,Citric acid cycle
G6PDH1rer,3.227345149733588,0,94.00838831653105,-178.42133915872574,Pentose phosphate pathway
GHMT2rm,-0.9286230075165836,0,4.311395192553647,116.4949050604403,"Glycine, serine, alanine, and threonine metabolism"
GLCAASE5ly,-0.9027580281434714,0,0.3779352974491838,7.3951546601833424,Chondroitin sulfate degradation
