Reaction,fc,pval,MCF10A_KO,MCF10A_P,subSystem
13DAMPPOX,-0.34072204968592007,0,7.664250913549715,15.58618817636211,Beta-Alanine metabolism
2HBO,0.633751861739532,0,376.29096676733496,84.35544543222683,Propanoate metabolism
2HBt2,1.3515828297797732,0,23.316806074080244,-155.9558549644118,"Transport, extracellular"
2OXOADOXm,-0.41507725188499844,0,25.145744526375108,60.83396683691489,Lysine metabolism
34DHOXPEGOX,-1.5379556944958022,0,-125.55927711667745,26.614069058881597,Tyrosine metabolism
34DHOXPEGt,-1.5379556944958022,0,-125.55927711667745,26.614069058881597,"Transport, extracellular"
3DSPHR,-0.37515421322903936,0,35.78266801199838,78.75012958247316,Sphingolipid metabolism
3HBCOAHLm,0.3956716762092221,0,32.245977594332025,13.96256578159316,"Valine, leucine, and isoleucine metabolism"
3MOPt2im,-0.3876393801749472,0,124.15870569686685,281.3497534602165,"Transport, mitochondrial"
3SALAASPm,-0.692805313493029,0,-57.184168913295494,-10.377255259338378,"Transport, mitochondrial"
3SALATAi,-0.5353933799040385,0,9.45837152402068,31.257240845286987,Methionine and cysteine metabolism
3SPYRSP,-0.5353933799040385,0,9.45837152402068,31.257240845286987,Methionine and cysteine metabolism
5FTHFt2,-0.8443798018675818,0,20.933630679169205,248.10124950208663,"Transport, extracellular"
A_MANASEly,-0.7406988153265797,0,0.824576448695334,5.5354133811533455,N-glycan degradation
ABUTt2rL,-0.37905532491127003,0,37.306718935853894,82.85444978830964,"Transport, lysosomal"
ACACT10m,0.39674331148281505,0,-111.25261843206175,-257.5874476616025,"Valine, leucine, and isoleucine metabolism"
ACACT7p,-0.39305283184777806,0,9.124927383145842,20.94334828218296,Fatty acid oxidation
ACCOAgt,-0.5735728835448047,0,27.303198234337476,100.75243979029655,"Transport, extracellular"
ACCOAtr,0.34064800286394625,0,-250.26608870334624,-508.8613266693115,"Transport, endoplasmic reticular"
ACETONEt2,-3.8612564948050165,0,-154.69610472569093,91.05161080071208,"Transport, extracellular"
ACETONEt2m,-3.177110099304013,0,-174.69608135809898,91.05161080071208,"Transport, mitochondrial"
ACGALtly,-0.6003474794751689,0,17.905598048098387,71.7002326599598,"Transport, lysosomal"
ACGAMtly,-0.48113783541172883,0,28.617847588445247,81.69217130126952,"Transport, lysosomal"
ACNAM9PL2,-0.37812411826178616,0,7.990875049524655,17.7083851539399,Aminosugar metabolism
ACOAD9m,0.344008922418033,0,52.88467588226497,25.812236020848154,"Valine, leucine, and isoleucine metabolism"
ACONTm,4.462674954259696,0,413.2778086109161,-261.96812532520295,Citric acid cycle
ADK3m,-1.5086508360935307,0,-27.351836955677346,134.8984485595867,Nucleotide interconversion
ADNtm,-1.1535309568684204,0,-6.618240300476836,92.83199725828469,"Transport, mitochondrial"
