Reaction,fc,pval,MCF10A_KO,MCF10A_P,subSystem
10FTHF7GLUtl,1,-2.1607142857142856,5.861654711394967,NA,"Transport, lysosomal"
10FTHF7GLUtm,1,-2.162144275314361,2.4924393844561576,NA,"Transport, mitochondrial"
10FTHFtl,-1,-2.1635761589403972,-5.861654711394967,NA,"Transport, lysosomal"
10FTHFtm,1,-2.165009940357853,2.4924393844561576,NA,"Transport, mitochondrial"
13DAMPPOX,-0.34072204968592007,0,7.664250913549715,15.58618817636211,Beta-Alanine metabolism
2HBO,0.633751861739532,0,376.29096676733496,84.35544543222683,Propanoate metabolism
2HBt2,1.3515828297797732,0,23.316806074080244,-155.9558549644118,"Transport, extracellular"
2OXOADOXm,-0.41507725188499844,0,25.145744526375108,60.83396683691489,Lysine metabolism
2OXOADPTm,-0.5627021940123762,0,32.29334140672218,115.40162053706646,Tryptophan metabolism
34DHOXPEGOX,-1.5379556944958022,0,-125.55927711667745,26.614069058881597,Tyrosine metabolism
34DHOXPEGt,-1.5379556944958022,0,-125.55927711667745,26.614069058881597,"Transport, extracellular"
34DHPHAMT,1,-2.166445623342175,22.47213726700104,NA,Tyrosine metabolism
34DHXMANDACOX_NADP_,1,-2.167883211678832,NA,-86.3482032905303,Tyrosine metabolism
3DSPHR,-0.37515421322903936,0,35.78266801199838,78.75012958247316,Sphingolipid metabolism
3HBCOAHLm,0.3956716762092221,0,32.245977594332025,13.96256578159316,"Valine, leucine, and isoleucine metabolism"
3HKYNAKGAT,1,-2.1693227091633465,321.6467772022791,NA,Tryptophan metabolism
3MOBt2im,0.4217625964863575,0,250.46228066482544,101.86416438837828,"Transport, mitochondrial"
3MOPt2im,-0.3876393801749472,0,124.15870569686685,281.3497534602165,"Transport, mitochondrial"
3SALAASPm,-0.692805313493029,0,-57.184168913295494,-10.377255259338378,"Transport, mitochondrial"
3SALATAi,-0.5353933799040385,0,9.45837152402068,31.257240845286987,Methionine and cysteine metabolism
3SPYRSP,-0.5353933799040385,0,9.45837152402068,31.257240845286987,Methionine and cysteine metabolism
4NPHte,1,-2.170764119601329,9.05015684824975,NA,"Transport, extracellular"
5ADTSTSTERONEGLCte,1,-2.172207446808511,12.049475253637135,NA,"Transport, extracellular"
5ADTSTSTERONEGLCtr,-1,-2.1736526946107784,-12.049475253672869,NA,"Transport, endoplasmic reticular"
5FTHFt2,-0.8443798018675818,0,20.933630679169205,248.10124950208663,"Transport, extracellular"
7DHFtl,1,-2.175099866844208,5.860519582930697,NA,"Transport, lysosomal"
7DHFtm,1,-2.1765489673550964,2.343586336453084,NA,"Transport, mitochondrial"
7THFtm,1,-2.178,4.540228893585171,NA,"Transport, mitochondrial"
A_MANASEly,-0.7406988153265797,0,0.824576448695334,5.5354133811533455,N-glycan degradation
ABUTt2rL,-0.37905532491127003,0,37.306718935853894,82.85444978830964,"Transport, lysosomal"
ACACT10m,0.39674331148281505,0,-111.25261843206175,-257.5874476616025,"Valine, leucine, and isoleucine metabolism"
ACACT7p,-0.39305283184777806,0,9.124927383145842,20.94334828218296,Fatty acid oxidation
ACALDtx,1,-2.179452968645764,100.7535814385063,NA,"Transport, peroxisomal"
ACCOAgt,-0.5735728835448047,0,27.303198234337476,100.75243979029655,"Transport, extracellular"
ACCOAtr,0.34064800286394625,0,-250.26608870334624,-508.8613266693115,"Transport, endoplasmic reticular"
