Reaction,fc,pval,OVCAR3_A1AKO,OVCAR3_P,subSystem
2HBO,3.073354240143211,0,616.4190221775054,-313.759844587376,Propanoate metabolism
ACETONEt2,-3.7197923511975053,0,-256.3262210998058,147.70863709326758,"Transport, extracellular"
ACETONEt2m,-3.7197923511975053,0,-256.3262210998058,147.70863709326758,"Transport, mitochondrial"
ADK3m,-1.1100117639027478,0,-770.2611624984742,40.15986574193514,Nucleotide interconversion
ADNtm,0.9054502318048,0,42.03588568389332,2.085849937695563,"Transport, mitochondrial"
ADRNCRNt,0.9693669968698622,0,555.4517896153748,8.639911421777935,Fatty acid oxidation
ALASERNaEx,-0.8921426696613376,0,26.690513420648454,468.23205395317075,"Transport, extracellular"
AMACR2p,-0.8526792049438142,0,10.876334294901724,136.7787783557415,Bile acid synthesis
AMETt2m,-1.0931500606829083,0,-564.2180370483399,25.109018878606864,"Transport, mitochondrial"
ANDRSTRNtr,-1.0550182382442843,0,-15.343489002581522,573.103587915802,"Transport, endoplasmic reticular"
BAAT3x,-0.8349538086974668,0,12.503828967090277,139.0153168963909,Bile acid synthesis
C160CPT1,-31.862989136092054,0,-121.17583489954023,113.80122668007928,Fatty acid oxidation
C161CPT2,2.042064010091303,0,94.66805953157908,-276.36142695395944,Fatty acid oxidation
C180CPT2,-11.95358414026952,0,-16.149885363704453,19.098670922274522,Fatty acid oxidation
C204CPT2,-5.627994649022086,0,-5.0129407946039155,7.179296278901275,Fatty acid oxidation
CDIPTr,-0.9811630015188003,0,-167.45182362267076,-1.5921404472202456,Glycerophospholipid metabolism
CHSTEROLt1,0.9108523926621508,0,357.87182870407105,16.69590879185676,"Transport, mitochondrial"
CITtam,-3.7321843085064472,0,-168.61650642635598,292.0463247599006,"Transport, mitochondrial"
CO2tp,-1.1622542037124688,0,-56.79617904459983,4.261949769351817,"Transport, peroxisomal"
COAtm,-15.227399191991658,0,-145.65442889782312,166.1296298719842,"Transport, mitochondrial"
CSNAT2m,-1.0729883558052267,0,-3.1674449869449486,89.96060403268207,Fatty acid oxidation
CSNAT2x,13.551130284186483,0,219.81114206289053,-189.5988990590915,Fatty acid oxidation
CYSSERNaEx,-0.8327669180591581,0,28.558494343260186,312.98271283681987,"Transport, extracellular"
CYTK10,4.016190404962255,0,436.29812501745226,-262.34215851911307,Nucleotide interconversion
CYTK11,-0.9071427347415377,0,31.449621016474115,645.9259387512207,Nucleotide interconversion
CYTK12,2.6440800000056246,0,326.4881097448587,-147.29988679456412,Nucleotide interconversion
CYTK12n,0.9706445877825123,0,-6.52456162871292,-437.9973262176514,Nucleotide interconversion
CYTK13n,-25.37145942614806,0,-150.87476177640147,163.2560278416194,Nucleotide interconversion
CYTK14,36.19098906254257,0,129.27002835511365,-136.61679704782478,Nucleotide interconversion
CYTK14n,7.860145638300698,0,374.22684399909974,-483.3285639129639,Nucleotide interconversion
CYTK4n,-2.3562877994434075,0,-148.24502214654908,366.8491004364014,Nucleotide interconversion
CYTK5,0.8745088932420326,0,-37.984805805564854,-567.3936435028077,Nucleotide interconversion
CYTK5n,1.770638485404813,0,499.53590735206603,-138.94327862513214,Nucleotide interconversion
CYTK6n,2.2673513333770967,0,136.34786931955432,-52.88707468341291,Nucleotide interconversion
CYTK7,-1.4859044754303432,0,-79.48388633693288,406.6423726486206,Nucleotide interconversion
CYTK7n,-3.6203810587599685,0,-589.4029618463517,334.27120784139635,Nucleotide interconversion
CYTK8,-1.01489543292589,0,-2.5994254558711307,351.622574874115,Nucleotide interconversion
D3AIBTm,-7.154170350272526,0,-221.99827319774627,294.1439112163349,Pyrimidine catabolism
DGCHOLtx,-0.8349538086974668,0,12.503828967090277,139.0153168963909,"Transport, peroxisomal"
DHCR242r,-0.8877273697964303,0,38.5429907723669,648.0533898857117,Cholesterol metabolism
DUDPtn,-1.0194670879556267,0,-44.04788750588475,0.424609098831448,"Transport, nuclear"
EICOSTETt,-1.6102963725025936,0,-1.99026213245843,8.512542854190793,"Transport, extracellular"
ELAIDCPT2,-0.8940896102715551,0,11.497075754050888,205.61242187936307,Fatty acid oxidation
EX_2hb[e],-3.073354240143211,0,-616.4190221775054,313.759844587376,Exchange/demand reaction
EX_bilirub[e],8.224109744473443,0,96.3459394883573,-75.45591494239345,Exchange/demand reaction
EX_gsn[e],-2.5982098457857985,0,-72.24679750484675,162.65644889743328,Exchange/demand reaction
EX_i[e],-98.9842316058291,0,-256.72277094757186,251.58750577976704,Exchange/demand reaction
EX_thyox_L[e],98.9842316058291,0,256.72277094757186,-251.58750577976704,Exchange/demand reaction
EX_tststerone[e],43.187732552531394,0,306.35374138782026,-320.8770979586601,Exchange/demand reaction
FADH2tru,-0.8851472269729872,0,39.643150964126086,650.6867369316101,"Transport, endoplasmic reticular"
FADtru,-0.8851472269729872,0,39.643150964126086,650.6867369316101,"Transport, endoplasmic reticular"
FRUt1r,2.9201212360836126,0,69.10058691062629,-141.07582015326022,"Transport, extracellular"
FUMtm,0.8910150155981877,0,-18.073954920495957,-313.6039366661072,"Transport, mitochondrial"
G6PDH1rer,-2.5996062186557305,0,-321.71753667373656,142.96601935144363,Pentose phosphate pathway
HIBDm,0.8488005848368997,0,250.08402429029942,20.45248066473522,"Valine, leucine, and isoleucine metabolism"
HISTAtu,-1.6171586461753018,0,-306.34926805582046,72.24097775135823,"Transport, extracellular"
ILEt5m,-0.9658518740640881,0,4.039708623950142,232.55943192811011,"Transport, mitochondrial"
ILETAm,-0.965851874064187,0,4.039708623938212,232.55943192811011,"Valine, leucine, and isoleucine metabolism"
IPDPtx,0.8500713465447675,0,8.633195879629813,0.6996289281846024,"Transport, peroxisomal"
ITCOAL1m,0.8777887463189441,0,-20.915014168298967,-321.3613889996529,C5-branched dibasic acid metabolism
ITCOALm,-0.8800749415604661,0,20.91501416829899,327.88638631372453,C5-branched dibasic acid metabolism
KCC2t,0.8970141718506196,0,332.14997324192524,18.031884300971775,"Transport, extracellular"
LALDO,-2.738983904390439,0,-37.26270632711556,80.11842941119683,Pyruvate metabolism
LEUt4,-0.8458659639390795,0,16.78954168962173,201.06683992080687,"Transport, extracellular"
LEUt5m,-3.2688269923606623,0,-25.363502478387048,47.721754177426384,"Transport, mitochondrial"
LEUTAm,-3.2688269923583873,0,-25.36350247837513,47.721754177426384,"Valine, leucine, and isoleucine metabolism"
LNLNCACPT1,-1.1475792202754893,0,-20.015398509178144,291.2649480299711,Fatty acid oxidation
LNLNCACPT2,-1.1475792202754893,0,-20.015398509178144,291.2649480299711,Fatty acid oxidation
LNLNCACRNt,-1.147579220275492,0,-20.01539850917852,291.2649480299711,Fatty acid oxidation
LNLNCGt,1.7519809087303384,0,6.215860345783938,-22.74782352096331,"Transport, extracellular"
LTA4H,-0.9243700455546247,0,8.680358745690187,220.86780928764344,Eicosanoid metabolism
MANt1r,2.7285818410146785,0,84.33413674043733,-181.91023610630035,"Transport, extracellular"
MDHm,-0.8851871333909619,0,25.33929333664323,416.06233846702577,Citric acid cycle
MECOALm,-0.8636315805448135,0,39.92259378039129,545.588244284439,C5-branched dibasic acid metabolism
MECOAS1m,0.8636315805448135,0,-39.92259378039129,-545.588244284439,C5-branched dibasic acid metabolism
METtec,-2.6666169134963043,0,-327.4195295264244,148.82463551323264,"Transport, extracellular"
NDPK6n,-1.019467087955644,0,-44.04788750588475,0.4246090988318203,Nucleotide interconversion
NICRNS,0.9211567864633549,0,101.55661947522164,4.167827577511183,NAD metabolism
OIVD3m,-0.8510865826653801,0,25.477681116727016,316.70345437459946,"Valine, leucine, and isoleucine metabolism"
ORNt3m,-2.982966111097266,0,-60.46838207177091,121.456193949515,"Transport, mitochondrial"
PGPP_hs,0.8296128382281283,0,182.40437504675984,16.986852687964266,Glycerophospholipid metabolism
PGPPT,0.8296128382281215,0,182.40437504675984,16.986852687965012,Glycerophospholipid metabolism
PPDOy,0.8602710791174139,0,338.44104556393626,25.421027402876785,Pyruvate metabolism
PPItr,-8.353121382255,0,-75.06194966250695,59.01127596871387,"Transport, endoplasmic reticular"
PROSTGE2t,-1.0124050352928948,0,-570.4723973315239,3.516553625344017,"Transport, extracellular"
PTDCAt,-1.23271632447486,0,-3.760013190855348,0.39190668342457363,"Transport, extracellular"
SBTR,-0.866411712349527,0,22.399934797702574,312.9578303427696,Fructose and mannose metabolism
SCP2x,-0.8349538087266143,0,1.78626128102949,19.859330989205837,Bile acid synthesis
SERCYSNaEx,-0.951675785751656,0,8.662710419205103,349.86191554517745,"Transport, extracellular"
SQLSr,0.978769481011425,0,362.53306431896686,3.8896724352530203,Cholesterol metabolism
TETPENT3CPT1,-14.904496619265423,0,-118.33159229916453,135.35221455386878,Fatty acid oxidation
TETPENT3CPT2,-14.904496619265437,0,-118.33159229916454,135.35221455386878,Fatty acid oxidation
TETPENT3CRNt,-14.904496619265437,0,-118.33159229916454,135.35221455386878,Fatty acid oxidation
TMNDNCCPT2,0.9894029715524534,0,-2.4529130793710827,-460.4906548297882,Fatty acid oxidation
TSTSTERONEt,-43.187732552531394,0,-306.35374138782026,320.8770979586601,"Transport, extracellular"
TTDCPT2,-12.415646873034362,0,-56.59798861359413,66.51385045534187,Fatty acid oxidation
UDPACGALtl,0.9509311639953535,0,-1.0496201816748012,-41.73191967696017,"Transport, lysosomal"
UDPGLCAter,-2.1319722482583914,0,-11.061118022725987,3.997761679848563,"Transport, endoplasmic reticular"
UDPtl,-0.9509311639953535,0,1.0496201816748012,41.73191967696017,"Transport, lysosomal"
UMPK2,-5.107255442416195,0,-171.45459554113484,254.9432404257454,Nucleotide interconversion
UMPK4,-2.4872629745747603,0,-268.0561115777969,114.32172817616434,Nucleotide interconversion
UMPK6,1.9246513328856145,0,236.6626594688773,-74.82274589848019,Nucleotide interconversion
UMPKn,0.8560772068646714,0,380.89392626781466,29.535041728866382,Nucleotide interconversion
URIDK2m,-1.1481891830628437,0,-109.27765766470432,7.538333655169468,Nucleotide interconversion
VALt5m,-1.4665012811849518,0,-9.806877770443482,51.85125434978837,"Transport, mitochondrial"
VALTAm,-1.4665012811849518,0,-9.806877770443482,51.85125434978837,"Valine, leucine, and isoleucine metabolism"
EX_prpp[e],-1.2870464828567125,0,-273.9784166742325,34.38694467930347,Exchange/demand reaction
EX_pydx5p[e],-1.251086986245767,0,-4.814788925644289,43.1663498538679,Exchange/demand reaction
r0051,-1.2870464828567125,0,-273.9784166742325,34.38694467930347,Purine catabolism
r0276,-1.6397795008166187,0,-85.84734319579992,20.80604473186159,Purine catabolism
r0309,-1.3438421934123594,0,-156.4270606670618,22.94788608208485,Fatty acid oxidation
r0409,2.228364017962833,0,118.50314209330122,-311.44780729088893,Miscellaneous
r0483,7.154170350272526,0,221.99827319774627,-294.1439112163349,Pyrimidine catabolism
r0488,0.836961498849368,0,501.67957512015107,44.526293031568024,Cholesterol metabolism
r0643,1.2287282512655433,0,63.97861950752735,-623.4077162940979,"Valine, leucine, and isoleucine metabolism"
r0688,-1.0288063368714013,0,-470.6227048997879,6.682213048279099,Bile acid synthesis
r0739,-1.0288063368714013,0,-470.6227048997879,6.682213048279099,Bile acid synthesis
r0783,-0.885946468663609,0,39.26919727273732,649.3407354949951,Cholesterol metabolism
r0871,1.2510869862440166,0,4.814788925614464,-43.1663498538679,"Transport, extracellular"
r0899,0.872008986533301,0,373.1825913078308,25.51484443355718,"Transport, extracellular"
r0913,-2.8965432954882915,0,-271.9387704623222,558.7118392440796,"Transport, mitochondrial"
r0915,3.0409016270808724,0,336.6073807333231,-666.4688265441895,"Transport, mitochondrial"
r0987,0.8570145692490372,0,50.29487190761492,3.8725780849328437,"Transport, lysosomal"
r1090,0.8612766769955501,0,563.9629845367432,42.032880029813676,"Transport, extracellular"
r1147,472.85404279459823,0,64.24125113481786,-63.970107511114875,"Transport, peroxisomal"
r1167,-0.9165182763019499,0,9.721829148806414,223.18733271684647,Miscellaneous
r1177,-0.9165182763019499,0,9.721829148806414,223.18733271684647,Miscellaneous
r1459,1.2298911012474922,0,321.0378445842743,-33.097465428832486,"Transport, nuclear"
r1536,-0.972815891255074,0,4.498281718017033,326.4510799274445,"Transport, extracellular"
