Reaction,fc,pval,Ges1_A_D,Ges1_P_D,subSystem
25HVITD2tin_m,0.6266056624428146,0,20.372835774062786,4.676672222198746,"Transport, mitochondrial"
25HVITD3tin_m,0.42379053639293307,0,12.884098943525338,5.214207814667113,"Transport, mitochondrial"
25VITD2Hm,1,-3.00596421471173,9.932645161631589,NA,Vitamin D metabolism
25VITD3Hm,1,-3.008955223880597,6.927502870471312,NA,Vitamin D metabolism
2HBO,4.123053757098867,0,306.641398574879,-186.93100195841762,Propanoate metabolism
2HBt2,1.2149559850389489,0,57.56728275130305,-593.1865421161651,"Transport, extracellular"
2OXOADOXm,0.6732411682946461,0,111.06789013664722,21.689888289097254,Lysine metabolism
34DHPHAMT,0.44789926974967476,0,178.79450830707037,68.1764130029209,Tyrosine metabolism
34DHXMANDACOX_NADP_,1,-3.0119521912350598,NA,-8.382866876247048,Tyrosine metabolism
34HPLFM,-0.9967780524097599,0,0.8462937437436397,524.4842524806976,Ubiquinone synthesis
3DSPHR,-0.42376202708653743,0,23.01427962853472,56.86341226384226,Sphingolipid metabolism
3SALATAim,-0.3427449229313591,0,7.431072618144253,15.181373835025354,Methionine and cysteine metabolism
3SPYRSPm,-0.3427449229313591,0,7.431072618144253,15.181373835025354,Methionine and cysteine metabolism
42A12BOOX,1,-3.0149551345962116,6.234625840841868,NA,Tyrosine metabolism
4MPTNLte,-0.45068139055049844,0,10.897278432962159,28.778342401667278,"Transport, extracellular"
4MPTNLtm,0.45068139055049844,0,-10.897278432962159,-28.778342401667278,"Transport, mitochondrial"
4PYRDX,1,-3.0179640718562872,7.074037462936243,NA,"Transport, extracellular"
5AOPtm,1,-3.020979020979021,705.5401527420044,NA,Heme synthesis
5FTHFt2,-0.4472096527323498,0,23.64079627218603,61.891798097590915,"Transport, extracellular"
5HOXINDACTO2OX,1,-3.024,23.34251046736209,NA,Tryptophan metabolism
7DHCHSTEROLtr,1,-3.027027027027027,1.580274233192973,NA,"Transport, endoplasmic reticular"
A4GALTg,-0.331384575764693,0,1.0650886921828555,2.120864409036709,Sphingolipid metabolism
AACTtm,0.5105328754290589,0,597.4236282920838,193.58679989523887,"Transport, mitochondrial"
AATAi,-0.5111227151537969,0,-65.6617108192157,-21.242827324177743,Lysine metabolism
ABTD,0.5538316045358448,0,861.663605708313,247.41874683619739,Pentose phosphate pathway
ABUTt2rL,-1.2896286343972791,0,-3.596651036213408,28.432945580764116,"Transport, lysosomal"
ACACT1x,-0.6642476044900786,0,44.27519771916464,219.4619985675335,Cholesterol metabolism
ACACt2m,-0.5844037629841712,0,34.89100221417202,133.01716973996014,"Transport, mitochondrial"
ACACT4p,-0.6780927222512309,0,4.966469846615771,25.890054313685,Fatty acid oxidation
ACACT6p,-0.5632809600613046,0,1.683167566743576,6.025072344114678,Fatty acid oxidation
ACACT7p,-0.6579759095043913,0,1.683167566743576,8.159224320357643,Fatty acid oxidation
ACACtx,0.566093689040122,0,-36.69625599654592,-132.44742811059356,"Transport, peroxisomal"
ACALDtm,-0.4676776684670668,0,-119.55292361096834,-43.36149033638946,"Transport, mitochondrial"
ACALDtx,-0.6058982569037028,0,44.61509835246448,181.79901492671968,"Transport, peroxisomal"
ACCOAtr,0.5239513158431115,0,-197.56945743651391,-632.4694188873291,"Transport, endoplasmic reticular"
ACETONEt2,1.4179702216759442,0,41.9009964980118,-242.39851677589417,"Transport, extracellular"
ACETONEt2m,1.4179702216759442,0,41.9009964980118,-242.39851677589417,"Transport, mitochondrial"
ACGAGBSIDEtg,0.33138457576501057,0,-1.0650886921828555,-2.120864409038222,"Transport, golgi apparatus"
ACGAGBSIDEtl,-0.331384575764693,0,1.0650886921828555,2.1208644090367086,"Transport, lysosomal"
ACGAM6PSi,-0.44589277993126747,0,113.21578880136013,295.4263826084137,Aminosugar metabolism
ACHVESSEC,1,-3.030060120240481,5.012136811773289,NA,"Transport, extracellular"
ACITL,-0.46219832875704275,0,7.646096545620856,20.788536347762832,Citric acid cycle
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,0.33485918055844416,0,-1.6588487303125408,-3.329113763720798,"Transport, extracellular"
ACOAD10m,-0.4692951447875123,0,13.089741140321427,36.23990418610189,"Valine, leucine, and isoleucine metabolism"
ACOAD1fm,-0.798654737419866,0,7.680696951658121,68.61309663686752,Butanoate metabolism
ACOAO7p,-1,-3.033099297893681,NA,8.159224320357643,Fatty acid oxidation
ACONTm,-1.074074415192409,0,-21.484402537363813,601.560599738729,Citric acid cycle
ACRNtm,1,-3.036144578313253,NA,-180.99319319847822,"Transport, mitochondrial"
ACt2m,-0.4676776684670668,0,-119.55292361096834,-43.36149033638946,"Transport, mitochondrial"
ADA,-0.8673024967587786,0,7.203790719387244,101.37083266733885,Purine catabolism
ADAe,-0.6275707644963119,0,18.040586481418973,78.84002739960552,Purine catabolism
ADEt,-1,-3.0391959798994974,-294.3909277718544,NA,"Transport, extracellular"
ADK1m,4.188427748911088,0,413.82718838982584,-254.30788565821237,Nucleotide interconversion
ADK3m,-16.60571448798972,0,-304.2455950858466,269.68345387954713,Nucleotide interconversion
ADMDC,0.35089022826446614,0,264.27486636999845,126.98544603824392,Arginine and proline metabolism
ADNK1m,1,-3.0422535211267605,80.25476274053455,NA,Nucleotide interconversion
ADNt,0.6753778895109258,0,883.4019987182617,171.16844088106154,"Transport, extracellular"
ADNtm,1.4128087067122483,0,62.840489162811636,-10.751412239312293,"Transport, mitochondrial"
ADRNt,1,-3.0453172205438066,72.50208892677314,NA,"Transport, extracellular"
ADSL1,-0.4033308397334555,0,5.936135720091003,13.961442755187349,Nucleotide interconversion
AGMTm,0.42517843573904424,0,41.072222718134896,16.56578482979208,Arginine and proline metabolism
AGPAT1,0.6963664451122419,0,95.38590932016373,17.073175914633424,Triacylglycerol synthesis
AHCYStr,-1,-3.0483870967741935,NA,32.64722189925359,"Transport, endoplasmic reticular"
AKGMALtm,1.0118544173129138,0,293.8890325266838,-1.7316776031503456,"Transport, mitochondrial"
AKR1D,1,-3.05146316851665,14.75860237725838,NA,Bile acid synthesis
AKR1D2,1,-3.0545454545454547,28.86832944584042,NA,Bile acid synthesis
ALAASNNaEx,-0.38120925649505516,0,50.97893381862303,113.79060856292247,"Transport, extracellular"
ALADGLNexR,0.42121430735757276,0,-258.991784696579,-635.9570296535492,"Transport, extracellular"
ALASERNaEx,-0.3425493484563332,0,78.93361053653564,161.1866489877429,"Transport, extracellular"
ALASm,-0.4681604761071061,0,106.4952968021961,293.98376508731843,"Glycine, serine, alanine, and threonine metabolism"
ALAt4,0.4244479385642444,0,125.82736784841754,50.84088999643393,"Transport, extracellular"
ALATA_L,0.6069620925852535,0,-116.89993694811236,-477.9533061756134,Glutamate metabolism
ALATHRNaEx,0.3453683519083827,0,68.1730829170663,33.1717760137446,"Transport, extracellular"
ALDD20xm,-0.4742104643473727,0,3.8240107945262527,10.721774297144558,Tryptophan metabolism
ALDD2xm,0.4676776684670668,0,119.55292361096834,43.36149033638946,Glycolysis/gluconeogenesis
AMETr,1,-3.057633973710819,NA,-32.64722189925359,"Transport, endoplasmic reticular"
AMETt2m,0.6756483319290005,0,12.380842069198936,2.3965331512283177,"Transport, mitochondrial"
AMPDA,0.6918321975052645,0,390.10037741737364,71.0569146504879,Nucleotide interconversion
AMY1e,-0.5567805320549956,0,9.565648751876875,33.59874019623585,Starch and sucrose metabolism
ANDRSTRNte,-0.5804836319111784,0,-193.79156890678405,-51.439150341404854,"Transport, extracellular"
ANDRSTRNtr,0.5804836319111686,0,193.79156890678405,51.43915034140636,"Transport, endoplasmic reticular"
AOBUTDsm,0.5105328754290589,0,597.4236282920838,193.58679989523887,"Glycine, serine, alanine, and threonine metabolism"
APRTO2,-0.5815238572122702,0,6.271467188356226,23.701410818872972,Arginine and proline metabolism
ARAB_Lt,0.5538316045358448,0,861.663605708313,247.41874683619739,"Transport, extracellular"
ARABR,0.5538316045358448,0,861.663605708313,247.41874683619739,Pentose phosphate pathway
ARACHCPT1,0.9434692954757682,0,90.65537500282302,2.6369401511761166,Fatty acid oxidation
ARACHCPT2,0.9434692954757676,0,90.65537500282302,2.636940151176142,Fatty acid oxidation
ARACHCRNt,1,-3.0607287449392713,281.6528978717804,NA,Fatty acid oxidation
ARACHDCOAtx,0.49914381988604173,0,-11.100922615563933,-33.22686271010849,"Transport, peroxisomal"
ARACHDt2,-1.2687406717398804,0,-101.60965643960377,857.8007888183594,"Transport, extracellular"
ARGDCm,0.683375534843414,0,183.53328959821462,34.52059772442216,Arginine and proline metabolism
ARGtm,0.5847424416343885,0,272.51167913742063,71.4075243596118,"Transport, mitochondrial"
R_group_phosphotase_1,0.6342962328715652,0,100.63582659959793,22.51911260352832,Miscellaneous
R_group_phosphotase_2,-0.6509595701557674,0,3.6095545692179467,17.073175914633424,Miscellaneous
ASAH1,-0.3612672943741264,0,2.5627437945628215,5.461720185410371,Sphingolipid metabolism
ASCBOX,-0.36405539897370537,0,21.505679087988835,46.128133836227285,Vitamin C metabolism
ASCBt4,0.722567051564734,0,-139.55553210146428,-866.4931934631347,"Transport, extracellular"
ASPDxt,0.397324606033424,0,-9.373289671258943,-21.732309678226958,"Transport, peroxisomal"
ASPTAm,0.67129573158063,0,167.44493556308745,32.93245115437419,Alanine and aspartate metabolism
ATPH1e,-0.40605562196608735,0,2.174699736728413,5.14820731368311,Nucleotide interconversion
ATPH2e,0.91087487670551,0,159.08393683943748,7.419834578301784,Nucleotide interconversion
B3GALT3g,-0.331384575764693,0,1.0650886921828555,2.120864409036709,Sphingolipid metabolism
B3GNT11g,-0.5551183886608501,0,0.6892434193062861,2.4093041571223104,Blood group synthesis
B3GNT310g,-0.6761029098686641,0,0.6892434193062861,3.5666973736585845,Blood group synthesis
B3GNT312g,-0.5551183886608501,0,0.6892434193062861,2.4093041571223104,Blood group synthesis
B3GNT51g,-0.6761029098686641,0,0.6892434193062861,3.5666973736585845,Blood group synthesis
BDHm,1,-3.0638297872340425,NA,-205.98533589081765,Butanoate metabolism
BHBtm,1,-3.0669371196754565,NA,-205.98533589081765,"Transport, mitochondrial"
BILDGLCURt,1,-3.07005076142132,9.935764462607136,NA,"Transport, extracellular"
BILDGLCURte,-0.4355245378671355,0,2.2110393856610013,5.622921641826758,"Transport, extracellular"
BILGLCURt,-1,-3.073170731707317,NA,9.754082355854006,"Transport, extracellular"
BILGLCURtr,-0.338028055065207,0,212.58886627864837,429.70078936405184,"Transport, endoplasmic reticular"
BILIRUBtr,0.34782271146958144,0,-205.01048031358718,-423.6850720125198,"Transport, endoplasmic reticular"
C160CPT2,-1.0288090057121322,0,-526.7437748260498,7.479740268831829,Fatty acid oxidation
C160CRNt,-1.0288090057121322,0,-526.7437748260498,7.479740268831829,Fatty acid oxidation
C161CRN2t,1,-3.076297049847406,273.19822694159745,NA,Fatty acid oxidation
