Reaction,fc,pval,OVCAR3_A1AKO,OVCAR3_P,subSystem
13DAMPPOX,0.4554759521111351,0,5.602567477453967,14.975283947750407,Beta-Alanine metabolism
2HBO,-3.073354240143211,0,616.4190221775054,-313.759844587376,Propanoate metabolism
2OXOADOXm,0.5486624635721722,0,14.40668423082505,49.43327175798416,Lysine metabolism
34DHOXPEGOX,-0.7497983986644772,0,-45.18020800871467,-315.9702224246025,Tyrosine metabolism
34DHOXPEGt,-0.7497983986644772,0,-45.18020800871467,-315.9702224246025,"Transport, extracellular"
34DHPHAMT,-0.34233689443166515,0,193.59564619611874,94.85004429961275,Tyrosine metabolism
34HPPOR,0.42832738756275013,0,7.367127490281354,18.406811404123925,Tyrosine metabolism
3HBCDm,-0.3678819180507555,0,422.79654698598387,195.38041903235913,Butanoate metabolism
3HBCOAHLm,-0.7298859702247362,0,184.81313521687986,28.857752226493137,"Valine, leucine, and isoleucine metabolism"
3MOBt2im,-1,-3.032258064516129,251.4953608935356,NA,"Transport, mitochondrial"
3SALAASPm,0.6343544573175456,0,-256.28552492603063,-57.337415040946006,"Transport, mitochondrial"
3SALATAi,0.5186357381899737,0,10.626727778102758,33.525813742716124,Methionine and cysteine metabolism
3SPYRSP,0.5186357381899737,0,10.626727778102758,33.525813742716124,Methionine and cysteine metabolism
42A12BOOX,-1,-3.035634743875278,11.967844507256569,NA,Tyrosine metabolism
4ABUTtm,-0.6461682953265306,0,-191.36046966553332,-890.2863536010742,"Transport, mitochondrial"
4HBZCOAFm,0.49011471673761625,0,0.5185343198822816,1.5153911017912325,Ubiquinone synthesis
4HBZFm,0.49011471673761625,0,0.5185343198822816,1.5153911017912325,Ubiquinone synthesis
5AOPtm,1,-3.0390189520624302,NA,408.2528926658362,Heme synthesis
5HOXINDACTO2OX,-1,-3.0424107142857144,22.898722472368974,NA,Tryptophan metabolism
7THFtl,0.501894201845419,0,1.6372337345335415,4.936605560649473,"Transport, lysosomal"
7THFtm,0.4635566702735673,0,2.739006191576546,7.4727199677303195,"Transport, mitochondrial"
AACTtm,0.7263126446272467,0,49.08355901027368,309.5998660491228,"Transport, mitochondrial"
AATAi,-0.6008732849701227,0,-9.814347704355697,-39.364759254801506,Lysine metabolism
ABTArm,-0.6461682953265306,0,-191.36046966553332,-890.2863536010742,Glutamate metabolism
ABUTt2rL,-0.7657826055633782,0,455.30760123672485,60.393028956602514,"Transport, lysosomal"
ACACT6p,0.41509657239904474,0,9.04459433088142,21.882201116287707,Fatty acid oxidation
ACACT7p,0.41509657239904474,0,9.04459433088142,21.882201116287707,Fatty acid oxidation
ACACT8p,0.6596365732349967,0,14.36115549566201,70.0260281224966,Fatty acid oxidation
ACACtx,0.47616913369938957,0,-269.2403226765156,-95.5421626499176,"Transport, peroxisomal"
ACALDtm,-0.817112103549543,0,-3.74684123980976,-37.227343630043045,"Transport, mitochondrial"
ACALDtx,0.6641624548748591,0,44.38971016366594,219.96256853778362,"Transport, peroxisomal"
ACCOALm,-0.37914071338551625,0,6.029358173810315,2.71428649607901,Propanoate metabolism
ACETONEt2,3.7197923511975053,0,-256.3262210998058,147.70863709326758,"Transport, extracellular"
ACETONEt2m,3.7197923511975053,0,-256.3262210998058,147.70863709326758,"Transport, mitochondrial"
ACGAM6PSi,-0.5863515583906281,0,194.14419120583534,50.62398792691231,Aminosugar metabolism
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,-1,-3.0458100558659216,NA,-4.0858552948524824,"Transport, extracellular"
ACNMLr,-1,-3.0492170022371363,NA,-49.09209356353581,Aminosugar metabolism
ACOAD10m,0.35779887280993616,0,36.55917213841276,77.29666084144068,"Valine, leucine, and isoleucine metabolism"
ACOAD9m,-0.6556993591132512,0,160.34358184454888,33.3432502025743,"Valine, leucine, and isoleucine metabolism"
ACOAO7p,0.41509657239904474,0,9.04459433088142,21.882201116287707,Fatty acid oxidation
ACONTm,-0.7635833135111044,0,353.92830617329327,47.44576383722424,Citric acid cycle
ACS2,-0.3738761045384945,0,6.305034009074382,2.8734268262894256,Propanoate metabolism
ACt2m,-1,-3.0526315789473686,NA,-37.227343630043045,"Transport, mitochondrial"
ADA,-0.4746775980059061,0,83.58793650233206,29.776417327090236,Purine catabolism
ADEt,1.2870464828567125,0,-273.9784166742325,34.38694467930347,"Transport, extracellular"
ADK1m,-0.9794161282635757,0,847.4881134155273,8.81299610304404,Nucleotide interconversion
ADK3,0.43491872926139424,0,299.0476228976727,759.3757876209378,Nucleotide interconversion
ADK3m,1.1100117639027478,0,-770.2611624984742,40.15986574193514,Nucleotide interconversion
ADNK1m,-0.821762083525127,0,70.8274387211455,6.929628858275988,Nucleotide interconversion
ADNtm,-0.9054502318048,0,42.03588568389332,2.085849937695563,"Transport, mitochondrial"
ADRNCPT1,-0.40922103441387336,0,20.609306729400018,8.639911421777935,Fatty acid oxidation
ADRNCPT2,-0.40922103441387336,0,20.609306729400018,8.639911421777935,Fatty acid oxidation
ADRNCRNt,-0.9693669968698622,0,555.4517896153748,8.639911421777935,Fatty acid oxidation
ADSL1,0.6937726209616745,0,6.0670023746611434,33.557164437032306,Nucleotide interconversion
AG13T16g,0.3608788919372863,0,0.34458215385186813,0.7337178725589512,Keratan sulfate synthesis
AG13T17g,0.3608788919372863,0,0.34458215385186813,0.7337178725589512,Keratan sulfate synthesis
AG13T18g,0.3608788919372863,0,0.34458215385186813,0.7337178725589512,Keratan sulfate synthesis
AGMTm,1,-3.0560538116591927,NA,7.096592079894922,Arginine and proline metabolism
AGTix,1,-3.059483726150393,NA,14.675484453710693,Alanine and aspartate metabolism
AHANDROSTANGLCte,0.3938600878603345,0,5.087819068062304,11.699787113825218,"Transport, extracellular"
AHANDROSTANGLCtr,-0.3938600878533889,0,-5.08781906811745,-11.699787113759664,"Transport, endoplasmic reticular"
AHCYStr,-1,-3.0629213483146067,632.0812916934967,NA,"Transport, endoplasmic reticular"
AKR1D,-1,-3.0663667041619798,11.931320193089368,NA,Bile acid synthesis
AKR1D2,-1,-3.06981981981982,32.76618690568209,NA,Bile acid synthesis
ALADGLNexR,1,-3.073280721533258,-405.7084678127289,NA,"Transport, extracellular"
ALAGLNNaEx,0.708982814938024,0,48.37092180174673,284.05564463243485,"Transport, extracellular"
ALASERNaEx,0.8921426696613376,0,26.690513420648454,468.23205395317075,"Transport, extracellular"
ALATA_L,1.6155462879524045,0,-73.51991410717908,17.302278467677883,Glutamate metabolism
ALCD22_L,-0.682503582507457,0,423.96462170567514,80.00413784232549,Pyruvate metabolism
ALDD2xm,0.817112103549542,0,3.7468412398097835,37.227343630043045,Glycolysis/gluconeogenesis
AMACR2p,0.8526792049438142,0,10.876334294901724,136.7787783557415,Bile acid synthesis
