Reaction,fc,pval,MCF10A_KO,MCF10A_P,subSystem
10FTHF7GLUtl,1,-2.141732283464567,8.576008864342503,NA,"Transport, lysosomal"
10FTHF7GLUtm,1,-2.143138542350624,4.350100875272776,NA,"Transport, mitochondrial"
10FTHFtl,-1,-2.1445466491458607,-8.576008864342503,NA,"Transport, lysosomal"
10FTHFtm,1,-2.145956607495069,4.350100875272776,NA,"Transport, mitochondrial"
13DAMPPOX,-0.5730462528097636,0,4.877043426476248,17.968725973941734,Beta-Alanine metabolism
2AMACSULT,0.4429965275855447,0,23.55776381840765,9.09340805630926,Methionine and cysteine metabolism
2HBO,-10.136575820612338,0,-102.22053107864261,83.8629079231578,Propanoate metabolism
2HBt2,1.6886869026754137,0,83.60138647915555,-326.38627509655356,"Transport, extracellular"
2OXOADOXm,0.4363683120604178,0,31.76593638923513,12.464970297460088,Lysine metabolism
2OXOADPTm,0.6315249744851922,0,30.56515345533875,6.903048298646917,Tryptophan metabolism
34DHOXPEGOX,-1.1549982466585476,0,-14.136267014114152,196.54177570680977,Tyrosine metabolism
34DHOXPEGt,-1.1549982466585476,0,-14.136267014114152,196.54177570680977,"Transport, extracellular"
34DHPHAMT,1,-2.1473684210526316,20.238159651018133,NA,Tyrosine metabolism
34DHXMANDACOX_NADP_,1,-2.1487820934825543,NA,-293.0639604859352,Tyrosine metabolism
3HBCOAHLm,-0.44113278093437197,0,21.52945584865514,55.51730987380147,"Valine, leucine, and isoleucine metabolism"
3HKYNAKGAT,1,-2.150197628458498,397.1373126337685,NA,Tryptophan metabolism
3MOPt2im,-0.3561977399168241,0,56.4588323809844,118.93301036803052,"Transport, mitochondrial"
3SALAASPm,-0.7922174669824241,0,-134.96150363378524,-15.646897545365606,"Transport, mitochondrial"
3SALATAi,0.6644780539042251,0,92.71916964284182,18.690133021567995,Methionine and cysteine metabolism
3SPYRSP,0.6644780539042251,0,92.71916964284182,18.690133021567995,Methionine and cysteine metabolism
42A12BOOX,-0.4602894587699773,0,5.135236337337486,13.894358028687199,Tyrosine metabolism
4NPHte,1,-2.15161502966381,4.9578367495474795,NA,"Transport, extracellular"
5ADTSTSTERONEGLCte,1,-2.153034300791557,6.538855245581921,NA,"Transport, extracellular"
5ADTSTSTERONEGLCtr,-1,-2.1544554455445546,-6.538855245582134,NA,"Transport, endoplasmic reticular"
5FTHFt2,-0.5402754095137777,0,25.27634811475985,84.68665424727007,"Transport, extracellular"
5HOXINDACTO2OX,0.3566794959787279,0,18.20509659250283,8.632629851309035,Tryptophan metabolism
7DHFtl,1,-2.155878467635403,8.911622531627584,NA,"Transport, lysosomal"
7DHFtm,1,-2.157303370786517,5.2983829370770374,NA,"Transport, mitochondrial"
7THFtm,1,-2.1587301587301586,8.003320283541566,NA,"Transport, mitochondrial"
A_MANASEly,-0.9109187126983959,0,0.931541501821691,19.9828734115541,N-glycan degradation
ABTD,0.39299171922692333,0,657.831954797554,286.65600692936107,Pentose phosphate pathway
ABUTt2rL,3.9884796747941857,0,37.533636485806745,-62.652520045482724,"Transport, lysosomal"
ACACT10m,1.1117291750886789,0,3.3050493686840916,-62.46684602673495,"Valine, leucine, and isoleucine metabolism"
ACACt2m,-0.33483463027692956,0,-319.6487023311615,-159.28508479248546,"Transport, mitochondrial"
ACACT4p,-0.37969523181046727,0,20.04352392163761,44.581237806820866,Fatty acid oxidation
ACACT7p,-0.4244269188200689,0,7.55064234670297,18.686312068274432,Fatty acid oxidation
ACALDtx,1,-2.1601588352084713,62.30406388018127,NA,"Transport, peroxisomal"
ACCOACm,-0.6999598501533686,0,11.814319288203556,66.9372697524136,Fatty acid oxidation
