Reaction,fc,pval,MCF10A_KO,MCF10A_P,subSystem
10FTHF7GLUtl,1,0,0.961395827860909,NA,"Transport, lysosomal"
10FTHF7GLUtm,1,0,0.4660921541863583,NA,"Transport, mitochondrial"
10FTHFtl,-1,0,-0.961395827860909,NA,"Transport, lysosomal"
10FTHFtm,1,0,0.4660921541863583,NA,"Transport, mitochondrial"
25HVITD3tin_m,-0.6062283149946677,0,2.1036721009017465,8.581058066394357,"Transport, mitochondrial"
25VITD3Hm,-0.6062283149946677,0,2.1036721009017465,8.581058066394357,Vitamin D metabolism
2AMACSULT,0.6320238728602062,0,2.578793255900778,0.5814463690028817,Methionine and cysteine metabolism
2HBO,-4.608759799043619,0,-177.71160773830414,114.34230182914156,Propanoate metabolism
2OXOADOXm,0.4305071407200357,0,11.33720307992576,4.513403683517949,Lysine metabolism
34DHOXPEGOX,-1.692482003542827,0,-57.15190816236064,222.21586035162807,Tyrosine metabolism
34DHOXPEGt,-1.692482003542827,0,-57.15190816236064,222.21586035162807,"Transport, extracellular"
34DHPHAMT,1,0,9.949747555264587,NA,Tyrosine metabolism
34DHXMANDACOX_NADP_,1,0,NA,-269.74923398736047,Tyrosine metabolism
3DSPHR,-0.7916296610770115,0,11.809682045672458,101.54313109187484,Sphingolipid metabolism
3HBCDm,-0.507805247258686,0,72.47652817219347,222.02692912201883,Butanoate metabolism
3HKYNAKGAT,1,0,348.2213524110794,NA,Tryptophan metabolism
3MOPt2im,-0.7031291754128446,0,31.875380290080678,182.8670440246582,"Transport, mitochondrial"
3SALAASPm,-0.9323309596471396,0,-125.71508862097264,-4.402464993061783,"Transport, mitochondrial"
42A12BOOX,-0.4917740518097849,0,7.735799951914535,22.70656521838659,Tyrosine metabolism
4NPHte,1,0,7.232058848436977,NA,"Transport, extracellular"
5ADTSTSTERONEGLCte,1,0,3.5261903883466377,NA,"Transport, extracellular"
5ADTSTSTERONEGLCtr,-1,0,-3.5261903883466377,NA,"Transport, endoplasmic reticular"
5FTHFt2,-0.9589737689363349,0,2.4244470381315653,115.76564623996019,"Transport, extracellular"
7DHFtl,1,0,0.5545418665438192,NA,"Transport, lysosomal"
7DHFtm,1,0,0.38539074115171024,NA,"Transport, mitochondrial"
7THFtm,1,0,0.705285766271675,NA,"Transport, mitochondrial"
A_MANASEly,-0.9953067574484287,0,0.11638045567559312,49.47852302385271,N-glycan degradation
A4GALTc,0.8645025120633841,0,5.936204628590448,0.4313970133306924,Sphingolipid metabolism
ABUTt2rL,-0.8140125309248191,0,3.4070076445173183,33.22995140932216,"Transport, lysosomal"
ACACT10m,108.70353103481051,0,15.96338486206618,-16.25981683061337,"Valine, leucine, and isoleucine metabolism"
ACACt2m,-0.9307413474966296,0,-465.112100951767,-16.684284208600957,"Transport, mitochondrial"
ACACT4p,-0.4402330660766572,0,19.91071166435033,51.22858027202189,Fatty acid oxidation
ACACT6p,-0.33093949373962067,0,15.67935016387394,31.19040232386887,Fatty acid oxidation
ACACT8p,0.6910694602858618,0,6.723581921829859,1.228287684630056,Fatty acid oxidation
ACALDtx,1,0,139.29595728299617,NA,"Transport, peroxisomal"
ACCOAtr,1.0083865302119224,0,2.6029858075642727,-623.3569190286994,"Transport, endoplasmic reticular"
ACETONEt2,0.6482244386888923,0,-17.965577633843438,-84.17669493838233,"Transport, extracellular"
ACGALtly,-0.9065316199691403,0,3.3722849660173058,68.78655559383631,"Transport, lysosomal"
ACGAM6PSi,0.45047462882254596,0,299.0591219302654,113.3012406539917,Aminosugar metabolism
ACGAMPM,-0.7307934960116769,0,18.552964992704986,119.28148341653348,Aminosugar metabolism
ACGAMtly,-0.9413206603553851,0,9.787534913582727,323.80636620595453,"Transport, lysosomal"
ACGPID,-0.9229826068358818,0,4.189880064375326,104.61359645545483,Phosphatidylinositol phosphate metabolism
ACNAM9PL,0.37670911791231726,0,0.6753346475267558,0.3057508101636144,Aminosugar metabolism
ACNAMlt,0.8227024186399361,0,-0.686079357847292,-7.0532180717546495,"Transport, lysosomal"
ACNAMPH,0.37670911791231726,0,0.6753346475267558,0.3057508101636144,Aminosugar metabolism
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,0.5583251067789637,0,-0.45148064310044284,-1.592921925530504,"Transport, extracellular"
ACNMLr,1,0,NA,-438.38815196943284,Aminosugar metabolism
ACOAD10m,-0.5385953614201214,0,8.404777204620872,28.02648725119076,"Valine, leucine, and isoleucine metabolism"
ACRNtm,-1,0,-217.61080290654115,NA,"Transport, mitochondrial"
ACS2,1,0,0.40333236972653974,NA,Propanoate metabolism
ADA,-1,0,NA,101.83459302411676,Purine catabolism
ADAe,0.7518412637288218,0,378.0527529211998,53.5534213922292,Purine catabolism
ADK3,1,0,NA,-152.81510036771706,Nucleotide interconversion
ADNCYC,-0.37827254865944154,0,0.7185544776857554,1.5929229265575995,Nucleotide interconversion
ADNK1m,-1,0,NA,4.054908589372458,Nucleotide interconversion
ADNt,-1,0,NA,403.32400253911356,"Transport, extracellular"
ADNtm,-1.2889288238513859,0,-2.8211311709940077,0.3561081072823711,"Transport, mitochondrial"
ADPMAN,0.4189040674754893,0,1.6286991963822914,0.6670151280964157,Nucleotide interconversion
ADRNCRNt,0.44502591524577917,0,676.7318010198951,259.9044127393471,Fatty acid oxidation
ADSL2,-0.48423887634777485,2.3730722837847237e-5,0.6855091930608644,1.9727337865829428,Purine synthesis
AHANDROSTANGLCte,1,0,0.7921778750633959,NA,"Transport, extracellular"
AHANDROSTANGLCtr,-1,0,-0.7921778750633959,NA,"Transport, endoplasmic reticular"
AHCYStr,1,0,16.742197618630733,NA,"Transport, endoplasmic reticular"
AHEXASE2ly,-1,0,NA,47.01968980868459,N-glycan degradation
