Reaction,fc,pval,Ges1_A_D,Ges1_P_D,subSystem
10FTHF7GLUtl,-0.3309898975676857,0,4.503925556452666,8.96052151266567,"Transport, lysosomal"
10FTHFtl,0.3309898975676857,0,-4.503925556452666,-8.96052151266567,"Transport, lysosomal"
25HVITD2tin_m,0.3783638079661367,0,7.488776724458096,3.3774063270372294,"Transport, mitochondrial"
25VITD2Hm,1,-2.956603773584906,3.8219610067307292,NA,Vitamin D metabolism
25VITD3Hm,1,-2.959395656279509,2.2522636853928235,NA,Vitamin D metabolism
2HBO,0.7016553313217567,0,-26.355398781644922,-150.32212589749395,Propanoate metabolism
2HBt2,-0.4321375963489013,0,61.94615374113824,156.22695771280712,"Transport, extracellular"
2OXOADOXm,0.5665667395384318,0,76.16159451010041,21.072174837690568,Lysine metabolism
2OXOADPTm,-1,-2.9621928166351608,-114.51955059337867,NA,Tryptophan metabolism
34DHOXPEGOX,0.9415732765247672,0,433.5448287525177,13.04643205070269,Tyrosine metabolism
34DHOXPEGt,0.9415732765247672,0,433.5448287525177,13.04643205070269,"Transport, extracellular"
34DHPHAMT,0.3868434977181726,0,384.8632118025303,170.15718153782953,Tyrosine metabolism
34DHXMANDACOX_NADP_,-0.9415732765247672,0,-433.5448287525177,-13.04643205070269,Tyrosine metabolism
34HPLFM,-0.9975671173373397,0,0.5780710157955338,474.6368044631958,Ubiquinone synthesis
34HPPOR,-0.3591047791786099,0,4.223206806144776,8.955879786924807,Tyrosine metabolism
3DSPHR,0.5222234261655909,0,81.8201856076099,25.680703159699497,Sphingolipid metabolism
3HBCOAHLm,-0.3326463556973956,0,27.736767291068006,55.387877424263955,"Valine, leucine, and isoleucine metabolism"
3MOPt2im,-0.45115047772699657,0,78.40582886645812,207.30391737418174,"Transport, mitochondrial"
3SALATAim,-0.6329359629998451,0,6.739885845701856,29.983329540822165,Methionine and cysteine metabolism
3SPYRSPm,-0.6329359629998449,0,6.739885845701858,29.983329540822165,Methionine and cysteine metabolism
42A12BOOX,1,-2.9649952696310313,9.497381174526069,NA,Tyrosine metabolism
4ABUTtm,1,-2.9678030303030303,NA,-861.9202288818359,"Transport, mitochondrial"
4MPTNLte,-0.5665894747470924,0,8.562220148175909,30.948680715062725,"Transport, extracellular"
4MPTNLtm,0.5665894747470924,0,-8.562220148175909,-30.948680715062725,"Transport, mitochondrial"
4PYRDX,1,-2.9706161137440756,5.299350781106968,NA,"Transport, extracellular"
5AOPtm,-1,-2.9734345351043645,-374.491243270874,NA,Heme synthesis
5FTHFt2,0.7437556417586163,0,477.5662556224823,70.17821520354022,"Transport, extracellular"
5HOXINDACTO2OX,-0.5471980690179153,0,9.782422806696664,33.42597423118483,Tryptophan metabolism
7DHCHSTEROLtr,1,-2.976258309591643,1.5364672780590227,NA,"Transport, endoplasmic reticular"
AACTtm,-0.860622635586711,0,18.904737454637072,252.36940428590773,"Transport, mitochondrial"
AATAi,-0.885775532875178,0,-406.35822098560334,-24.613773190228116,Lysine metabolism
ABTArm,1,-2.9790874524714828,NA,-861.9202288818359,Glutamate metabolism
ABTD,-1,-2.981921979067555,NA,323.1885780770659,Pentose phosphate pathway
ABUTt2rL,0.46827000784298756,0,107.86695712455511,39.06372530901276,"Transport, lysosomal"
ACACT10m,-0.3889900924237728,0,-246.37596499614716,-108.37957478775978,"Valine, leucine, and isoleucine metabolism"
ACACT1x,-0.5755114195732044,0,73.18226791191101,271.6197893699646,Cholesterol metabolism
ACACt2m,-0.6696818247313053,0,32.16161602001074,162.56951552519797,"Transport, mitochondrial"
ACACT4p,-0.8319204912805485,0,2.992742161986653,32.618287222707274,Fatty acid oxidation
ACACT5p,-0.6241436036399752,0,1.8064403268911862,7.8059560265333054,Fatty acid oxidation
ACACT6p,-0.8725178091085029,0,1.1870171266360774,17.435460543933207,Fatty acid oxidation
ACACT7p,-0.6126478295439544,0,1.1870171266360774,4.9418610218382355,Fatty acid oxidation
ACACT8p,-0.6845265495493034,0,3.9931273521417854,21.322013091132046,Fatty acid oxidation
ACACtx,0.6355116148138322,0,-36.18456116716997,-162.36531113500595,"Transport, peroxisomal"
ACALDtx,-0.7155277637527544,0,24.625871618339698,148.5078720692968,"Transport, peroxisomal"
ACCOACm,0.576633243524137,0,278.14368305358886,74.68876443670243,Fatty acid oxidation
ACETONEt2,1.2493982118223046,0,25.77753408062993,-232.49540821676328,"Transport, extracellular"
ACETONEt2m,1.2493982118223046,0,25.77753408062993,-232.49540821676328,"Transport, mitochondrial"
ACGAM6PSi,-0.39268716071497406,0,80.25538661489486,184.04130340528488,Aminosugar metabolism
ACGAMK,0.3448823160198584,0,47.01662357597928,22.90268908941982,Aminosugar metabolism
ACHVESSEC,1,-2.9847619047619047,7.38344923542754,NA,"Transport, extracellular"
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,0.33272385343438693,0,-2.1420963788134504,-4.278323082719988,"Transport, extracellular"
