Reaction,fc,pval,Ges1_A_D,Ges1_P_D,subSystem
13DAMPPOX,-0.6991564101294335,0,3.322809304054186,18.767136541119218,Beta-Alanine metabolism
25HVITD3tin_m,-0.4450309312612411,0,1.0485553110208188,2.7302329857893093,"Transport, mitochondrial"
25VITD2Hm,1,0,1.0139635831507257,NA,Vitamin D metabolism
25VITD3Hm,1,0,0.45555570650792804,NA,Vitamin D metabolism
2HBO,2.7830120484134966,0,370.153430578427,-174.46098982415535,Propanoate metabolism
2HBt2,5.251820261857342,0,204.10357157040238,-300.1111913662791,"Transport, extracellular"
2OXOADOXm,-0.4063977765492474,0,6.711175497891568,15.900517089369613,Lysine metabolism
2OXOADPTm,-1,0,-13.93587301877276,NA,Tryptophan metabolism
34DHOXPEGOX,0.9880350742453915,0,773.3796090798378,4.654560537007047,Tyrosine metabolism
34DHOXPEGt,0.9880350742453915,0,773.3796090798378,4.654560537007047,"Transport, extracellular"
34DHPHAMT,0.8656817233282577,0,360.30415210564735,25.939811803574674,Tyrosine metabolism
34DHXMANDACOX_NADP_,-0.9880350742453915,0,-773.3796090798378,-4.654560537007047,Tyrosine metabolism
34HPLFM,-0.9990794037540913,0,0.1042962877610114,226.47991633424758,Ubiquinone synthesis
34HPPOR,-0.639221826902037,0,3.351484786986145,15.227714493321244,Tyrosine metabolism
3DPHBH1,0.6655028828600706,0,0.26308063251923414,0.052836722204837136,Ubiquinone synthesis
3DSPHR,0.49434046688526745,0,59.09968624330163,19.99833399098436,Sphingolipid metabolism
3HBCOAHLm,-0.7192749207504527,0,8.762810742848652,53.66702820331156,"Valine, leucine, and isoleucine metabolism"
3MOBt2im,-0.39529693619626294,0,150.6928223190546,347.70988585033416,"Transport, mitochondrial"
42A12BOOX,1,0,3.458005926592002,NA,Tyrosine metabolism
4ABUTtm,1,0,NA,-827.6421995025635,"Transport, mitochondrial"
4HBZCOAFm,0.6655028828600706,0,0.26308063251923414,0.052836722204837136,Ubiquinone synthesis
4HBZFm,0.6655028828600706,0,0.26308063251923414,0.052836722204837136,Ubiquinone synthesis
4MPTNLte,-0.45237434428299267,0,3.4490057354216463,9.147211039359867,"Transport, extracellular"
4MPTNLtm,0.45237434428299267,0,-3.4490057354216463,-9.147211039359867,"Transport, mitochondrial"
4PYRDX,1,0,0.6752200783534769,NA,"Transport, extracellular"
5AOPtm,-1,0,-26.94284248583168,NA,Heme synthesis
5FTHFt2,0.5867931509414929,0,381.49028628344536,99.34149201997816,"Transport, extracellular"
5HOXINDACTO2OX,-0.9565958375097574,0,2.873897550082489,129.5510767011106,Tryptophan metabolism
7DHCHSTEROLtr,1,0,0.23662668113898544,NA,"Transport, endoplasmic reticular"
AACTtm,-0.4778180510815488,0,18.938168549903853,53.596581412743404,"Transport, mitochondrial"
AATAi,1.400789947203878,0,95.27621058725566,-15.905492879760452,Lysine metabolism
ABTArm,1,0,NA,-827.6421995025635,Glutamate metabolism
ABTD,-1,0,NA,311.7086534610033,Pentose phosphate pathway
ACACT10m,-1.2940637801875767,0,-112.82151492719053,14.461987261429162,"Valine, leucine, and isoleucine metabolism"
ACACT1x,-0.6220787811420779,0,54.79337767489255,235.17910833940505,Cholesterol metabolism
ACACt2m,-0.9483303623010931,0,4.8564153916659505,183.12304829126597,"Transport, mitochondrial"
ACACT4p,-0.694684940772255,0,3.153030142116471,17.501241875069006,Fatty acid oxidation
ACACT5p,-0.50504296473278,0,2.858264334973716,8.691280903556256,Fatty acid oxidation
ACACT6p,-0.9495923035936936,0,0.30156244571742574,11.663374149944918,Fatty acid oxidation
ACACT7p,-0.9414865832439331,0,0.30156244571742574,10.0059007801814,Fatty acid oxidation
ACACT8p,-0.8101460915603657,0,1.6312918889765722,15.553415051046782,Fatty acid oxidation
ACACT9p,-0.7127526236439845,0,0.5840173817039351,3.482285253416408,Fatty acid oxidation
ACACtx,0.9579832623679795,0,-3.647903535379427,-169.99259027580024,"Transport, peroxisomal"
ACALDtx,-0.9209196830355266,0,8.814719307664589,214.11608436183928,"Transport, peroxisomal"
ACCOACm,0.8735192011801525,0,22.629453517817705,1.5277085796544096,Fatty acid oxidation
ACCOAtr,0.36776515985251507,0,-346.9830785736561,-750.6567746578216,"Transport, endoplasmic reticular"
ACETONEt2,1.063813618186989,0,5.193214709392794,-167.955172327137,"Transport, extracellular"
ACETONEt2m,1.063813618186989,0,5.193214709392794,-167.955172327137,"Transport, mitochondrial"
ACGAM6PSi,-0.9171497085274689,0,2.3965804790176217,55.456697679024934,Aminosugar metabolism
ACHVESSEC,1,0,0.64050500520305,NA,"Transport, extracellular"
ACOAD10m,-0.7201223321265973,0,7.645597158327745,46.989681293299796,"Valine, leucine, and isoleucine metabolism"
ACOAD1fm,-0.8279634576922443,0,2.4984573153746235,26.54720102975927,Butanoate metabolism
ACOAD8m,-0.5403567186644239,0,7.85680558977509,26.329729529135953,"Valine, leucine, and isoleucine metabolism"
ACOAD9m,-0.453029596927382,0,13.350214592397586,35.46491148170978,"Valine, leucine, and isoleucine metabolism"
ACOAO7p,-1,0,NA,10.0059007801814,Fatty acid oxidation
ACRNtm,1,0,NA,-164.55634831602845,"Transport, mitochondrial"
ADA,-0.49877604300678385,0,19.66836780696849,58.812987812809645,Purine catabolism
ADEt,-1,0,-406.93794187021257,NA,"Transport, extracellular"
ADK1m,-8.014407055356381,0,-66.04336624283083,84.87414287772783,Nucleotide interconversion
ADK3,1,0,711.5779012702942,NA,Nucleotide interconversion
ADK3m,11.353025283466309,0,69.1052939276379,-82.45507180135728,Nucleotide interconversion
ADMDC,-0.43192581684035575,0,103.7136366948247,261.42753595261576,Arginine and proline metabolism
ADNK1m,1,0,1.0328997937279418,NA,Nucleotide interconversion
ADNt,1,0,404.5776850721359,NA,"Transport, extracellular"
ADNtm,1.8276883113320264,0,0.317017105651288,-1.0830472677568803,"Transport, mitochondrial"
ADPRIBt,1,0,4.3504817550032175,NA,"Transport, extracellular"
ADRNt,1,0,862.6867141700744,NA,"Transport, extracellular"
AGPAT1,0.7868165568992985,0,10.465913304076064,1.2486785085695387,Triacylglycerol synthesis
AGTix,-0.46227573588894055,0,8.856886298219715,24.08522507501915,Alanine and aspartate metabolism
AHANDROSTANGLCte,0.4476767064520834,0,2.170520027265478,0.8281053116541683,"Transport, extracellular"
AHANDROSTANGLCtr,-0.4476767064520834,0,-2.170520027265478,-0.8281053116541683,"Transport, endoplasmic reticular"
AHCYStr,-1,0,NA,61.764259672659634,"Transport, endoplasmic reticular"
AKGMALtm,-2.4371089000923933,0,-350.89682734021994,146.71544261261505,"Transport, mitochondrial"
AKR1D,1,0,5.765234413184961,NA,Bile acid synthesis
AKR1D2,1,0,5.256356836342672,NA,Bile acid synthesis
ALAASNNaEx,0.550091861141421,0,35.64756464551799,10.346567107768756,"Transport, extracellular"
ALACYSNaEx,0.4241302629590549,0,164.96828157993556,66.70755014793575,"Transport, extracellular"
ALADGLNexR,1,0,NA,-677.7996590034127,"Transport, extracellular"
ALASERNaEx,-0.6542936693841763,0,10.483473133373645,50.16611413162621,"Transport, extracellular"
ALAt4,0.33181417788685974,0,219.06530021662712,109.90747069081273,"Transport, extracellular"
ALCD2yf,0.5175386318194098,0,434.7572371600628,138.21959261437655,Glycolysis/gluconeogenesis
ALDD20xm,-0.5457989806797062,0,1.8860925856560264,6.419008043481887,Tryptophan metabolism
ALDD21,0.3993415770592235,0,0.45137888939533327,0.1937515016331752,Fatty acid oxidation
ALOX52,-1,0,NA,649.4744467974663,Eicosanoid metabolism
AMACR2p,-0.9687623686953666,0,1.3418959674489424,84.5734510934472,Bile acid synthesis
AMETr,1,0,NA,-61.764259672659634,"Transport, endoplasmic reticular"
AMETt2m,0.9001637905002391,0,3.0168941755953127,0.1585101665757189,"Transport, mitochondrial"
AMPDA,1,0,13.02641274579532,NA,Nucleotide interconversion
AMY1e,0.4400526708440948,0,21.806448663774134,8.479177834862424,Starch and sucrose metabolism
AMY2e,-0.3846380927553384,0,2.241178404216311,5.042920198023757,Starch and sucrose metabolism
ANDRSTRNte,-0.5309555845568218,0,-113.5665309763968,-34.79379001785573,"Transport, extracellular"
ANDRSTRNtr,0.5309555845568218,0,113.5665309763968,34.79379001785573,"Transport, endoplasmic reticular"
AOBUTDsm,-0.4778180510815488,0,18.938168549903853,53.596581412743404,"Glycine, serine, alanine, and threonine metabolism"
ARACHCRNt,1,0,113.64099799428955,NA,Fatty acid oxidation
ARGDCm,0.6973684098528009,0,201.0007918231249,35.83735204283297,Arginine and proline metabolism
ARGLYSex,0.5271370115990855,0,870.5759769901275,269.56530748903754,"Transport, extracellular"
ARGNm,-0.7853742777199091,0,8.052359823174937,66.98393813431262,Urea cycle
ARGtm,0.4443550598408464,0,209.05315153396128,80.42297154203206,"Transport, mitochondrial"
R_group_phosphotase_1,0.7434359703828334,0,10.82503851371482,1.5930126193449134,Miscellaneous
R_group_phosphotase_2,-0.4990885563251976,0,0.4172384291602728,1.2486785085695387,Miscellaneous
R_group_phosphotase_3,0.4960037762945537,0,1.2257487040288193,0.41294863544564614,Miscellaneous
ARTPLM3m,0.3508728508013656,1.2579471300927399e-11,0.8593710817482588,0.41294863544564614,R group synthesis
ASAH1,0.9497436033524072,0,17.19301249881415,0.44316537529434935,Sphingolipid metabolism
