Reaction,fc,pval
10FTHF7GLUtl,-0.3309898975676857,0
10FTHF7GLUtm,-0.31949248610269,0
10FTHFtl,0.3309898975676857,0
10FTHFtm,-0.008366361578563736,0
13DAMPPOX,0.0495676962842522,0
25HVITD2tin_m,0.3783638079661367,0
25HVITD3tin_m,-0.016352903116657276,0
25VITD2Hm,1,0
25VITD3Hm,1,0
2AMACSULT,0.09772303305656811,0
2HBO,0.7016553313217567,0
2HBt2,0.10423348870603213,0
2OXOADOXm,0.5665667395384318,0
2OXOADPTm,-1,0
34DHOXPEGOX,0.9415732765247672,0
34DHOXPEGt,0.9415732765247672,0
34DHPHAMT,0.3868434977181726,0
34DHXMANDACOX_NADP_,-0.9415732765247672,0
34HPLFM,-0.9975671173373397,0
34HPPOR,-0.3591047791786099,0
3DPHBH1,0.3061414236333149,0
3DSPHR,0.5222234261655909,0
3HBCDm,-0.09306588627132643,0
3HBCOAHLm,-0.3326463556973956,0
3HKYNAKGAT,-1,0
3MOBt2im,-0.1390764945502627,0
3MOPt2im,-0.45115047772699657,0
3SALAASPm,0.09191312333386302,0
3SALATAi,0.04660538761968473,2.220446049250313e-16
3SALATAim,-0.6329359629998451,0
3SPYRSP,0.04660538761968473,2.220446049250313e-16
3SPYRSPm,-0.6329359629998449,0
42A12BOOX,1,0
4ABUTtm,1,0
4HBZCOAFm,0.3061414236333149,0
4HBZFm,0.3061414236333149,0
4MPTNLte,-0.5665894747470924,0
4MPTNLtm,0.5665894747470924,0
4NPHSFte,-0.11067396633807974,0
4NPHSULT,0.11067396634520604,0
4NPHte,0.11067396634520604,0
4PYRDX,1,0
5ADTSTSTERONEGLCte,-0.280700614891812,0
5ADTSTSTERONEGLCtr,0.2807006148918112,0
5AOPtm,-1,0
5FTHFt2,0.7437556417586163,0
5HOXINDACTO2OX,-0.5471980690179153,0
7DHCHSTEROLtr,1,0
7DHFtl,-0.14503439944738827,0
7DHFtm,0.05989228932501139,0
7THFtl,-0.13753033162240186,0
7THFtm,0.23820945957036552,0
A_MANASEly,0.062019947310304156,0
A4GALTg,-0.007608355873945296,5.520523239332942e-5
AACTtm,-0.860622635586711,0
AATAi,-0.8806593234588007,0
ABTArm,1,0
ABTD,-1,0
ABUTt2rL,0.46827000784298756,0
ACACT10m,-0.3889900924237728,0
ACACT1rm,-0.017551509002675467,0
ACACT1x,-0.5755114195732044,0
ACACt2m,-0.6696818247313053,0
ACACT4p,-0.8319204912805485,0
ACACT5p,-0.6241436036399752,0
ACACT6p,-0.8725178091085029,0
ACACT7p,-0.6126478295439544,0
ACACT8p,-0.6845265495493034,0
ACACT9p,-0.31639703298855815,0
ACACtx,0.6355116148138322,0
ACALDtm,0.20309769901084718,0
ACALDtx,-0.7155277637527544,0
ACCOACm,0.576633243524137,0
ACCOAgt,-0.10310251328453943,0
ACCOALm,-0.15049553286706374,0
ACCOAtr,0.20377219696878088,0
ACETONEt2,1.0000011311974104,0
ACETONEt2m,1.0000011311974104,0
ACGAGBSIDEtg,0.007608355873945296,5.520523239332942e-5
ACGAGBSIDEtl,-0.007608355873945296,5.520523239332942e-5
ACGALtly,0.09022376139936403,0
ACGAM6PSi,-0.39268716071497406,0
ACGAMK,0.3448823160198584,0
ACGAMPM,0.013385231589991487,0
ACGAMtly,-0.20288274393814,0
ACGPID,-0.23765850091796029,0
ACHVESSEC,1,0
ACITL,-0.02385784896439694,0
ACNAM9PL,0.14476042246237988,0
ACNAM9PL2,-0.12987359838930893,0
ACNAMlt,-0.034992409608965276,0
ACNAMPH,0.14476042246237988,0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,0.33272385343438693,0
ACNMLr,0.257229219253933,0
ACOAD10m,-0.6466872163276193,0
ACOAD1fm,-0.6589638854146952,0
ACOAD8m,-0.5838297193947569,0
ACOAD9m,-0.2385622366725181,0
