Reaction,fc,pval,MCF10A_KO,MCF10A_P,subSystem,rxnNames,geneRules,kegg,source
10FTHF7GLUtl,1,0,8.576008864342503,NA,"Transport, lysosomal","7-Glutamyl-10Fthf Transport, Lysosomal",NA,NA,PMID:11375437
10FTHF7GLUtm,1,0,4.350100875272776,NA,"Transport, mitochondrial","7-Glutamyl-10Fthf Transport, Mitochondrial",NA,NA,PMID:11375437
10FTHFtl,-1,0,-8.576008864342503,NA,"Transport, lysosomal",10-Formyltetrahydrofolate Lysosomal Transport via Diffusion,NA,NA,PMID:11375437
10FTHFtm,1,0,4.350100875272776,NA,"Transport, mitochondrial",10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion,NA,NA,PMID:11375437
13DAMPPOX,-0.5730462528097636,0,4.877043426476248,17.968725973941734,Beta-Alanine metabolism,"1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)",8639.1 or 26.1 or 314.2 or 314.1,NA,"PMID:15035803,PMID:8920635,PMID:9653080"
2AMACSULT,0.4429965275855447,0,23.55776381840765,9.09340805630926,Methionine and cysteine metabolism,2-Aminoacrylate Sulfotransferase,6818.1,NA,"PMID:3346220,PMID:6351723"
2HBO,-10.136575820612338,0,-102.22053107864261,83.8629079231578,Propanoate metabolism,2-Hydroxybutyrate:NAD+ Oxidoreductase,92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1,NA,"PMID:10108,PMID:21765"
2HBt2,0.9625908089762655,0,-3.8194921909402937,-200.38124492294043,"Transport, extracellular",2-Hydroxybutyrate Symport with Proton,9123.1 or 9194.1 or 6566.1,NA,"PMID:10510291,PMID:11101640,PMID:12739169,PMID:7835905,PMID:8476015,PMID:9425115,PMID:9508842,PMID:9649795,PMID:9786900,PMID:9824713"
2OXOADOXm,0.4363683120604178,0,31.76593638923513,12.464970297460088,Lysine metabolism,"2-Oxoadipate:Lipoamde 2-Oxidoreductase (Decarboxylating And Acceptor-Succinylating), Mitochondrial",(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1),NA,NA
2OXOADPTm,0.6315249744851922,0,30.56515345533875,6.903048298646917,Tryptophan metabolism,2-Oxoadipate Shuttle (Cytosol/Mitochondria),89874.1,NA,PMID:11083877
34DHOXPEGOX,-1.1549982466585476,0,-14.136267014114152,196.54177570680977,Tyrosine metabolism,"3, 4-Dihydroxyphenylethyleneglycol:NAD+ Oxidoreductase",130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1),NA,PMID:3466164
34DHOXPEGt,-1.1549982466585476,0,-14.136267014114152,196.54177570680977,"Transport, extracellular","3, 4-Dihydroxyphenylethyleneglycol Transport (Diffusion)",NA,NA,PMID:7473774
34DHPHAMT,1,0,20.238159651018133,NA,Tyrosine metabolism,"3, 4-Dihydroxyphenylacetate:Amet O-Methyltransferase",1312.1 or 1312.2,NA,PMID:1847521
34DHXMANDACOX_NADP_,1,0,NA,-186.06013250169755,Tyrosine metabolism,"3, 4-Dihydroxymandelaldehyde:NADP+ Oxidoreductase",221.1 or 222.1,NA,"PMID:10424772,PMID:12616643"
3HBCOAHLm,-0.44113278093437197,0,21.52945584865514,55.51730987380147,"Valine, leucine, and isoleucine metabolism","3-Hydroxyisobutyryl Coenzyme A Hydrolase, Mitochondrial",NA,NA,PMID:8824301
3MOPt2im,-0.3561977399168241,0,56.4588323809844,118.93301036803052,"Transport, mitochondrial",3-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport,NA,NA,PMID:8428987
3SALAASPm,-0.7922174669824241,0,-134.96150363378524,-15.646897545365606,"Transport, mitochondrial",Cysteinesulfinate-Aspartate Mitochondrial Shuttle,10165.1 or 8604.1,NA,PMID:14598172
