Reaction,fc,pval
10FTHF7GLUtl,1,0
10FTHF7GLUtm,1,0
10FTHFtl,-1,0
10FTHFtm,1,0
13DAMPPOX,-0.5730462528097636,0
25HVITD2tin_m,0.18514818532573438,0
25HVITD3tin_m,-0.11125557835657131,0
25VITD2Hm,0.18514818532573438,0
25VITD3Hm,-0.11125557835657131,0
2AMACSULT,0.4429965275855447,0
2HBO,-10.136575820612338,0
2HBt2,0.9625908089762655,0
2OXOADOXm,0.4363683120604178,0
2OXOADPTm,0.6315249744851922,0
34DHOXPEGOX,-1.1549982466585476,0
34DHOXPEGt,-1.1549982466585476,0
34DHPHAMT,1,0
34DHXMANDACOX_NADP_,1,0
34HPLFM,0.14559697285486142,1.264241889298301e-5
3DSPHR,-0.11266769538517786,0
3HBCDm,0.25392520696707277,0
3HBCOAHLm,-0.44113278093437197,0
3HKYNAKGAT,NA,0
3MOBt2im,-0.014635987357817263,6.994405055138486e-15
3MOPt2im,-0.3561977399168241,0
3SALAASPm,-0.7922174669824241,0
3SALATAi,0.6644780539042251,0
3SALATAim,-0.017645153787419578,4.3659155957165297e-8
3SPYRSP,0.6644780539042251,0
3SPYRSPm,-0.017645153787419578,4.3659155957165297e-8
42A12BOOX,-0.4602894587699773,0
4ABUTtm,-0.02095148998493711,0
4HBZCOAFm,0.14559697285486142,1.264241889298301e-5
4HBZFm,0.14559697285486142,1.264241889298301e-5
4MPTNLte,-0.04959188891513948,0
4MPTNLtm,0.04959188891513948,0
4NPHte,1,0
4PYRDX,0.10121729886383983,0
5ADTSTSTERONEGLCte,1,0
5ADTSTSTERONEGLCtr,-1,0
5FTHFt2,-0.5402754095137777,0
5HOXINDACTO2OX,0.3566794959787279,0
7DHCHSTEROLtr,0.004277996639664044,0
7DHFtl,1,0
7DHFtm,1,0
7THFtm,1,0
A_MANASEly,-0.9109187126983959,0
A4GALTc,0.3030062843172679,0
A4GALTg,-0.17533516660639448,0
ABTArm,-0.02095148998493711,0
ABTD,0.39299171922692333,0
ABUTt2rL,3.9884796747941857,0
ACACT10m,1.1117291750886789,0
ACACT1rm,0.17686996423613577,0
ACACT1x,-0.17949900276885147,0
ACACt2m,-0.33483463027692956,0
ACACT4p,-0.37969523181046727,0
ACACT5p,0.19546723107731911,0
ACACT6p,-0.2431326959851028,0
ACACT7p,-0.4244269188200689,0
ACACT8p,-0.07038984321310925,0
ACACT9p,-0.25054172023868415,0
ACACtx,0.072837377418897,0
ACALDtx,1,0
ACCOACm,-0.6999598501533686,0
ACCOAgt,0.03811998436414999,0
ACCOALm,-0.1716784119467129,0
ACCOAtr,0.4424414011986259,0
ACETONEt2,0.45126339874856597,0
ACETONEt2m,0.3066501417828228,0
ACGALtly,-0.45174311102463455,0
ACGAM6PSi,0.3810071567696582,0
ACGAMK,0.09857942238057027,0
ACGAMPM,-0.18703408608731883,0
ACGAMtly,-0.8408024766903599,0
ACGPID,-0.27381871857125106,0
ACNAM9PL,0.10609890359237005,0
ACNAM9PL2,-0.07137782818572921,3.842076656823679e-9
ACNAMlt,0.3471058537541391,0
ACNAMPH,0.10609890359237005,0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,-0.3236632737650643,0
ACNMLr,1,0
ACOAD10m,0.23629478527364156,0
ACOAD1fm,-0.14439006610839059,0
ACOAD9m,-0.2343634005997878,0
ACOAO7p,-0.424426918820069,0
ACONTm,-1.013848635695911,0
ACP1_FMN_,0.33824225190709895,0
ACRNtm,-1,0
ACS2,1,0
ACtg,0.03988279594027007,0
ADA,-1,0
ADAe,0.6798283426629669,0
ADK3,-1,0
ADK3m,-0.11370570602523118,0
ADMDC,0.5028841722036796,0
ADNCYC,-0.2689803588804011,0
ADNK1m,-1,0
ADNt,-1,0
ADNtl,0.6796002672664364,0
ADNtm,-2.518153755015286,0
ADPMAN,-0.08325121734086104,0
ADRNCPT1,0.3575685107125171,0
ADRNCPT2,0.3575685107125171,0
ADRNCRNt,1.0168919736887048,0
ADSK,-0.08497459868025689,0
ADSL1,-0.42861998518072597,0
ADSL2,0.10953447301933249,0
AG13T16g,0.04049454849251551,0
AG13T17g,0.04049454849251551,0
AG13T18g,0.04049454849251551,0
AG13T1g,-0.3763463269135873,0
AG13T2g,-0.3763463269135873,0
AG13T3g,-0.3763463269135873,0
AGPAT1,0.07429552947830215,0
AGTix,-0.1319427788778089,0
AHANDROSTANGLCte,1,0
AHANDROSTANGLCtr,-1,0
AHCYStr,1,0
AHEXASE2ly,-1,0
AHEXASEly,-1,0
AIRCr,0.10953447301933249,0
AKGMALtm,-1.0041421341963854,0
ALAASNNaEx,0.19823932922019832,0
ALACYSNaEx,-0.04798275280712366,0
ALAGLNNaEx,-0.10656216007764678,0
ALASERNaEx,-0.1733579276824701,0
ALASm,NA,0
ALAt4,-0.952292499771771,0
ALATHRNaEx,0.7107869836052613,0
ALCD21_D,0.06251611007235545,0
ALCD21_L,-0.22766477345714659,0
ALCD22_D,0.23024872434845517,0
ALCD22_L,1,0.9999999999997281
ALCD2if,-0.7618987904157093,0
ALCD2yf,1,0
ALDD20x,-0.14914576036117114,0
ALDD21,-0.3465790683946111,0
ALDD2y,0.2476869654422757,0
ALOX52,1,0
ALR2,-0.1222029419088507,0
ALR3,-0.22766477345714659,0
AMACR2p,0.7320964893717644,0
AMETr,-1,0
AMETt2m,1,0
AMPDA,0.20590625045173336,0
AMY1e,-0.41423780190982884,0
AMY2e,0.07871985224615481,0
ANDRSTRNGLCte,1,0
ANDRSTRNGLCtr,-1,0
ANDRSTRNtr,1.0616220971815942,0
APOCF,-1,0
APOCFm,-1,0
APOC_LYS_BTNP,-1,0
APOC_LYS_BTNPm,-1,0
APRTO2,-0.1646089481506043,0
AQCOBALt,0.08731892179810744,0
ARAB_Lt,0.39299171922692333,0
ARABR,0.39299171922692333,0
ARACHCPT1,0.4888672011044189,0
ARACHCPT2,0.4888672011347266,0
ARACHDCOAtx,1,0
ARACHDt2,-0.02459902147128017,0
ARGDCm,0.13100437802958007,0
ARGNm,-1,0
ARGtm,-1,0
R_group_phosphotase_1,1,0
R_group_phosphotase_2,1,0
R_group_phosphotase_3,0.059132143419825374,0
ARTPLM3m,0.3467748886424717,0
ASAH1,0.233474859146248,0
ASCBt4,1,0
ASNALANaEx,0.1143054304141152,0
ASNCYSNaEx,-0.8969976241559112,0
ASNGLNNaEx,-0.569276528809079,0
ASNSERNaEx,-0.8036196139676821,0
ASNt4,-0.3977327362241845,0
ASNTHRNaEx,-0.5773942595974069,0
ASPCTr,-1,0
ASPGLUm,1,0
ASPTAm,-1.266368779834071,0
ATP1ter,-0.37271011370513984,0
ATP2ter,-0.1067444569487822,0
ATPH1e,-0.9164848735094301,0
ATPH2e,-0.10231181560803534,0
ATPtm,-0.14811732774322836,0
ATPtn,0.8639864795428507,0
B_MANNASEly,-0.9109187126983959,0
B3GALT3g,-0.17533516660639448,0
B3GALT41g,0.021316970204067656,0
B3GALT42g,-0.2631726649083456,0
B3GALT43g,-0.08474433598596838,0
B3GALT44g,-0.1985699505746503,0
B3GNT11g,-0.11928395021423367,0
B3GNT310g,-0.16269256317752182,0
B3GNT312g,-0.11928395021423367,0
B3GNT51g,-0.12040399019850377,0
BAAT3x,0.7161750502302122,0
BACCL,-1,0
BACCLm,-1,0
BAMPPALDOX,-0.3148067815937977,0
BDHm,1,0
BHBtm,1,0
BILDGLCURt,1,0
BILDGLCURte,1,0
BILDGLCURtr,1,0
BILGLCURt,1,0
BILGLCURte,1,0
BILGLCURtr,0.32876017208211,0
