Reaction,fc,pval,OVCAR3_A1AKO,OVCAR3_P,subSystem,rxnNames,geneRules,kegg,source
10FTHF7GLUtl,-0.5719271333641173,0,3.7629301782544995,13.817862586427946,"Transport, lysosomal","7-Glutamyl-10Fthf Transport, Lysosomal",NA,NA,PMID:11375437
10FTHFtl,0.5719271333641173,0,-3.7629301782544995,-13.817862586427946,"Transport, lysosomal",10-Formyltetrahydrofolate Lysosomal Transport via Diffusion,NA,NA,PMID:11375437
10FTHFtm,-0.5828979087292189,0,32.88694150943197,124.80558604052887,"Transport, mitochondrial",10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion,NA,NA,PMID:11375437
2HBO,5.441622798174184,0,86.6711874645732,-125.69799879137072,Propanoate metabolism,2-Hydroxybutyrate:NAD+ Oxidoreductase,92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1,NA,"PMID:10108,PMID:21765"
2HBt2,0.9440011224748427,0,-7.739692494370043,-268.68343726900815,"Transport, extracellular",2-Hydroxybutyrate Symport with Proton,9123.1 or 9194.1 or 6566.1,NA,"PMID:10510291,PMID:11101640,PMID:12739169,PMID:7835905,PMID:8476015,PMID:9425115,PMID:9508842,PMID:9649795,PMID:9786900,PMID:9824713"
34DHOXPEGOX,-1.0813270153950845,0,-9.013028299285494,230.6620893277876,Tyrosine metabolism,"3, 4-Dihydroxyphenylethyleneglycol:NAD+ Oxidoreductase",130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1),NA,PMID:3466164
34DHOXPEGt,-1.081327015395086,0,-9.013028299285681,230.6620893277876,"Transport, extracellular","3, 4-Dihydroxyphenylethyleneglycol Transport (Diffusion)",NA,NA,PMID:7473774
34DHXMANDACOX_NADP_,1.081079478253686,0,9.013028299285494,-231.33878799608647,Tyrosine metabolism,"3, 4-Dihydroxymandelaldehyde:NADP+ Oxidoreductase",221.1 or 222.1,NA,"PMID:10424772,PMID:12616643"
34HPLFM,-0.5950435728350237,0,0.47241554477070263,1.8607517447473079,Ubiquinone synthesis,3- (4-Hydroxyphenyl-)Lactate Formation,NA,NA,"PMID:11583838,PMID:12232327"
3DPHBH1,-0.4326412385549657,0,1.0157852972216612,2.5649659531318436,Ubiquinone synthesis,Hydroxylation of 3-Decaprenyl-4-Hydroxybenzoate (NADH),NA,NA,PMID:11051212
3DSPHR,-0.5601669242525246,0,10.771673971934506,38.209062429613084,Sphingolipid metabolism,3-Dehydrosphinganine Reductase,2531.1,NA,NA
3HBCDm,0.35389485061778614,0,193.9977657441616,92.57953478348256,Butanoate metabolism,"3-Hydroxybutyryl Coenzyme A Dehydratase, Mitochondrial",55268.1,NA,PMID:9073515
3HBCOAHLm,0.6579966367878285,0,142.97268771715164,29.49170038214419,"Valine, leucine, and isoleucine metabolism","3-Hydroxyisobutyryl Coenzyme A Hydrolase, Mitochondrial",NA,NA,PMID:8824301
3HKYNAKGAT,-1,0,0,301.07290804231167,Tryptophan metabolism,3-Hydroxy-L-Kynurenine:2-Oxoglutarate Aminotransferase,51166.1 or 883.1 or 51166.2,NA,PMID:13357462
3MOBt2im,1,0,180.04647821197509,NA,"Transport, mitochondrial",3-Methyl-2-Oxobutanoate Mitochondrial Transport via Proton Symport,NA,NA,PMID:8428987
3MOPt2im,-0.3573138026935911,0,200.50943966121673,423.46362993816433,"Transport, mitochondrial",3-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport,NA,NA,PMID:8428987
3SALATAim,-0.41063303569490234,0,8.436797489974065,20.19323439490297,Methionine and cysteine metabolism,"3-Sulfino-Alanine Transaminase (Irreversible), Mitochondrial",2806.1,NA,PMID:3346220
3SPYRSPm,-0.41063303569490234,0,8.436797489974065,20.19323439490297,Methionine and cysteine metabolism,"3-Sulfinopyruvate Hydrolase (Spotaneous Reaction), Mitochondrial",NA,NA,PMID:3346220
42A12BOOX,1,0,7.835275733826356,NA,Tyrosine metabolism,"4- (2-Aminoethyl)-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",4129.1 or 8639.1 or 26.1 or 314.2 or 314.1 or 4128.1,NA,"PMID:15035803,PMID:8920635,PMID:9653080"
4ABUTtm,1,0,NA,-886.9878784606933,"Transport, mitochondrial",4-Aminobutanoate Mitochondrial Transport via Diffusion,NA,NA,PMID:10407778
4HBZCOAFm,-0.6889323615768669,0,0.47241554477144765,2.5649659531318436,Ubiquinone synthesis,4-Hydroxybenzoyl Coenzyme A Formation,NA,NA,"PMID:11583838,PMID:12232327"
4HBZFm,-0.6889323615768669,0,0.47241554477144765,2.5649659531318436,Ubiquinone synthesis,4-Hydroxybenzoate Formation,NA,NA,"PMID:11583838,PMID:12232327"
5FTHFt2,-0.5690269293712427,0,51.710129402744165,188.25906091025138,"Transport, extracellular",5-Formyltetrahydrofolate Transport via Anion Exchange,6573.1 or 6573.2,NA,"PMID:11375437,PMID:14770311"
5HOXINDACTO2OX,1,0,23.52049428101919,NA,Tryptophan metabolism,5-Hydroxyindoleacetaldehyde:Oxygen Oxidoreductase,316.1,NA,PMID:11306106
7DHFtl,-0.37723964708944885,0,4.221362939739751,9.335578891931661,"Transport, lysosomal","7-Glutamyl-Dhf Transport, Lysosomal",NA,NA,PMID:11375437
7DHFtm,-0.37844824262777643,0,2.0854656794575424,4.625047659847962,"Transport, mitochondrial","7-Glutamyl-Dhf Transport, M Mitochondrial",NA,NA,PMID:11375437
ABTArm,1,0,NA,-886.9878784606933,Glutamate metabolism,"4-Aminobutyrate Transaminase, Reversible, Mitochondrial",18.1 or 18.2,NA,"PMID:10407778,PMID:7721088"
ABUTt2rL,0.7167679941506098,0,315.30237142848966,52.01851584665906,"Transport, lysosomal","4-Aminobutyrate Reversible Transport in via Proton Symport, Lysosomal",206358.1,NA,"PMID:11390972,PMID:11959859"
ACACT1x,0.4516808129190957,0,291.7916805688858,110.21360595431328,Cholesterol metabolism,Acetyl Coenzyme A C-Acetyltransferase,39.1,NA,PMID:11108725
ACACT5p,-0.3435310649999239,0,5.023706727480402,10.281531524135632,Fatty acid oxidation,"Acetyl Coenzyme A C-Acyltransferase (Decanoyl Coenzyme A), Peroxisomal",30.1,NA,PMID:1679347
ACALDtm,0.8797651253841207,0,-5.786642806266042,-90.46900389778614,"Transport, mitochondrial",Acetaldehyde Mitochondrial Diffusion,NA,NA,PMID:9028626
ACALDtx,-0.6177035048199824,0,19.79260762459453,83.75324160049185,"Transport, peroxisomal",Acetaldehyde Peroxisomal Diffusion,NA,NA,NA
ACCOAgt,-0.5040216708065397,0,130.85466503649968,396.8081675283432,"Transport, extracellular",Acetyl Coenzyme A Transport,9197.1,NA,PMID:12739170
ACETONEt2,-1.9999533540508312,0,-155.4929817486763,51.829382087225284,"Transport, extracellular",Acetone Transport via Proton Symport,6566.1 or 9123.1 or 9194.1,NA,"PMID:10510291,PMID:11101640,PMID:12739169,PMID:7835905,PMID:8476015,PMID:9425115,PMID:9508842,PMID:9649795,PMID:9786900,PMID:9824713"
ACETONEt2m,-1.9999533540508312,0,-155.4929817486763,51.829382087225284,"Transport, mitochondrial",Acetone Mitochondrial Transport via Proton Symport,6566.1,NA,NA
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,1,0,NA,-4.360286251765238,"Transport, extracellular",Blood Group Intracellular Transport,NA,NA,NA
ACNMLr,2.3452927013306253,0,14.781924604238617,-36.75769922877625,Aminosugar metabolism,N-Acetylneuraminate Lyase (Reversible),NA,NA,NA
ACOAD10m,0.7477631309708468,0,140.72947384930868,20.310053024262935,"Valine, leucine, and isoleucine metabolism","Acyl Coenzyme A Dehydrogenase (2-Methylbutanoyl Coenzyme A), Mitochondrial",36.1 or 34.1,NA,PMID:11013134
