Reaction,fc,pval
10FTHF7GLUtl,-0.5719271333641173,0
10FTHF7GLUtm,-0.12216449163190321,0
10FTHFtl,0.5719271333641173,0
10FTHFtm,-0.5828979087292189,0
13DAMPPOX,-0.06540380764838091,0
25HVITD2tin_m,-0.19257718970665258,0
25HVITD3tin_m,-0.274422377139816,0
2AMACSULT,0.14638878844715034,0
2HBO,5.441622798174184,0
2HBt2,0.9440011224748427,0
2OXOADOXm,0.15753774596440237,0
34DHOXPEGOX,-1.0813270153950845,0
34DHOXPEGt,-1.081327015395086,0
34DHPHAMT,0.26211114943739333,0
34DHXMANDACOX_NADP_,1.081079478253686,0
34HPLFM,-0.5950435728350237,0
34HPPOR,0.1066454938910816,0
3DPHBH1,-0.4326412385549657,0
3DSPHR,-0.5601669242525246,0
3HBCDm,0.35389485061778614,0
3HBCOAHLm,0.6579966367878285,0
3HKYNAKGAT,-1,0
3MOBt2im,1,0
3MOPt2im,-0.3573138026935911,0
3SALAASPm,-0.013400208462295888,0
3SALATAi,0.3142653094524326,0
3SALATAim,-0.41063303569490234,0
3SPYRSP,0.3142653094524326,0
3SPYRSPm,-0.41063303569490234,0
42A12BOOX,1,0
4ABUTtm,1,0
4HBZCOAFm,-0.6889323615768669,0
4HBZFm,-0.6889323615768669,0
4MPTNLte,-0.26888495484125263,0
4MPTNLtm,0.26888495484125263,0
4NPHSFte,0.1475746505889845,0
4NPHSULT,-0.14757465058949815,0
4NPHte,-0.14757465058949815,0
5ADTSTSTERONEGLCte,-0.051946856398475245,0
5ADTSTSTERONEGLCtr,0.051946856398475245,0
5AOPtm,-0.21118620324635157,0
5FTHFt2,-0.5690269293712427,0
5HOXINDACTO2OX,1,0
7DHCHSTEROLtr,-0.26988789668259805,0
7DHFtl,-0.37723964708944885,0
7DHFtm,-0.37844824262777643,0
7THFtl,-0.09018031092846844,0
7THFtm,-0.2523659477843555,0
A_MANASEly,-0.20138717145453625,0
A4GALTc,-0.046712083826541476,1.887379141862766e-15
A4GALTg,0.18796347666769592,0
AACTtm,-0.313027950150425,0
AATAi,-0.0570042160293223,0
ABTArm,1,0
ABTD,-0.1581570887306906,0
ABUTt2rL,0.7167679941506098,0
ACACT10m,-0.1984903990609325,0
ACACT1rm,-0.16026995973816424,0
ACACT1x,0.4516808129190957,0
ACACt2m,0.16492153555938047,0
ACACT4p,0.06638095452316733,0
ACACT5p,-0.3435310649999239,0
ACACT6p,-0.23967570517800604,0
ACACT7p,-0.23967570517800604,0
ACACT8p,-0.004214704001348889,0
ACACT9p,-0.09104762378262238,0
ACACtx,-0.0883717946166358,0
ACALDtm,0.8797651253841207,0
ACALDtx,-0.6177035048199824,0
ACCOACm,-0.04665031301109649,0
ACCOAgt,-0.5040216708065397,0
ACCOALm,-0.21277653808301977,0
ACCOAtr,-0.3169504300763775,0
ACETONEt2,-1.9999533540508312,0
ACETONEt2m,-1.9999533540508312,0
ACGAGBSIDEtg,-0.25315263724414505,0
ACGAGBSIDEtl,0.25315263724414505,0
ACGALtly,6.240658724259354e-4,0
ACGAM6PSi,0.16336239826183074,0
ACGAMK,-0.026222889837100364,0
ACGAMPM,-0.04053056750753991,0
ACGAMtly,-0.2160322191419355,0
ACGPID,8.47691616394329e-4,0
ACITL,0.07606837897403627,0
ACNAM9PL,-0.2758208082514878,0
ACNAM9PL2,0.06826831011407503,0
ACNAMlt,0.1436538031545788,0
ACNAMPH,-0.2758208082514878,0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,1,0
ACNMLr,2.3452927013306253,0
ACOAD10m,0.7477631309708468,0
ACOAD1fm,-0.039898863509913556,0
ACOAD8m,0.04368577302279934,0
ACOAD9m,0.5785784001292584,0
ACOAO7p,-0.23967570517800604,0
ACONTm,0.6344449067152212,0
ACP1_FMN_,0.07536701047897836,0
ACRNtm,-0.17233472304395914,0
ACS2,-0.3360973601095358,0
ACt2m,1,0
ACtg,-0.02175165029955263,6.217248937900877e-15
ADA,-0.03771262319022153,0
ADAe,0.00803876996805774,0
ADEt,-0.8780050586054766,0
ADK1m,0.32866981532892164,0
ADK3,0.197032473307337,0
ADK3m,-0.9980484287958269,0
ADMDC,0.26449594040621405,0
ADNCYC,-0.0037767151957441205,0
ADNK1m,0.3504973623234842,0
ADNt,0.2950939663273965,0
ADNtl,0.025561362659940683,0
ADNtm,-0.056155867014124464,0
ADPMAN,-0.0751659815173134,8.243983273814592e-11
ADRNCPT1,0.0766880411280379,0
ADRNCPT2,0.07668804112803819,0
ADRNCRNt,-0.7687585607801282,0
ADSK,-0.10304610369464609,0
ADSL1,0.12534828598362413,0
ADSL2,-0.42582332698818476,0
AG13T16g,-0.5673398995879839,0
AG13T17g,-0.5673398995879839,0
AG13T18g,-0.5673398995879839,0
AG13T1g,-0.14322281678919901,0
AG13T2g,-0.14322281678919901,0
AG13T3g,-0.14322281678919901,0
AGMTm,-1,0
AGPAT1,0.1504938282508888,0
AGTix,-1,0
AHANDROSTANGLCte,0.18788952011822102,0
AHANDROSTANGLCtr,-0.18788952011490065,0
AHCYStr,1,0
AHEXASE2ly,-0.33608031356195617,0
AHEXASEly,-0.11621547120086442,0
AIRCr,-0.42582332698818476,0
AKGMALtm,1.661644209066369,0
AKR1D,1,0
AKR1D2,1,0
ALAASNNaEx,0.4189633925576245,0
ALACYSNaEx,-0.8697600905732005,0
ALADGLNexR,-1,0
ALAGLNNaEx,0.002496281274788666,0
ALASERNaEx,-0.9234690649500037,0
ALASm,0.13008359694127924,0.9999996460708509
ALAt4,-0.9688030352611319,0
ALATA_L,-0.03458701417807283,0
ALATHRNaEx,0.029534056743089614,0
ALCD21_D,-0.7356856203327297,0
ALCD21_L,-0.3188557578758563,0
ALCD22_D,-0.7005811716447696,0
ALCD22_L,NA,1
ALCD2if,-0.44822055522290455,0
ALCD2yf,-0.8103096088470706,0
ALDD20x,-0.06787880711728071,0
ALDD20xm,0.0827661312654208,0
ALDD21,-0.3570075460610574,0
ALDD2xm,-0.8797651253843558,0
ALDD2y,0.2334298277128555,0
ALOX52,-0.14541125927260445,0
ALR2,-0.3188557578758563,0
ALR3,-0.3188557578758563,0
AMACR2p,0.5697470020259819,0
AMETr,-1,0
AMETt2m,-1,0
AMPDA,-0.8859997488232247,0
AMY1e,1,0
AMY2e,1,0
ANDRSTRNGLCte,-0.3340217500296979,0
ANDRSTRNGLCtr,0.3340217500297115,0
ANDRSTRNte,1,0
ANDRSTRNtr,-1.056595384167108,0
AOBUTDsm,-0.313027950150425,0
APOCF,0.04921059092104083,0
APOCFm,0.3075624179033377,0
APOC_LYS_BTNP,0.04921059092104083,0
APOC_LYS_BTNPm,0.3075624179033377,0
APRTO2,-0.1081455402459574,0
AQCOBALt,0.009062700464437315,0
ARAB_Lt,-0.1581570887306906,0
ARABR,-0.1581570887306906,0
ARACHCPT1,0.6314930393704344,0
ARACHCPT2,0.6314930393704344,0
ARACHCRNt,-1,0
ARACHDCOAtx,-1,0
ARACHDt2,-0.12944722217715365,0
ARGDCm,0.6304978159324724,0
ARGLYSex,1,0
ARGNm,-0.4487347100371722,0
ARGtm,2.7232623430390936,0
