Reaction,fc,pval,Ges1_A_D,Ges1_P_D,rxnNames,subSystem,geneRules,kegg,source
13DAMPPOX,-0.6991564101294335,0,3.322809304054186,18.767136541119218,"1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)",Beta-Alanine metabolism,8639.1 or 26.1 or 314.2 or 314.1,NA,"PMID:15035803,PMID:8920635,PMID:9653080"
25HVITD3tin_m,-0.4450309312612411,0,1.0485553110208188,2.7302329857893093,25-Hydroxyvitamin D3 Transport in Mitochondria,"Transport, mitochondrial",NA,NA,NA
25VITD2Hm,1,0,1.0139635831507257,NA,1-Alpha-Vitamin D-25-Hydroxylase (D2),Vitamin D metabolism,1594.1,NA,"PMID:14671156,PMID:9333115"
25VITD3Hm,1,0,0.45555570650792804,NA,1-Alpha-Vitamin D-25-Hydroxylase (D3),Vitamin D metabolism,1594.1,NA,"PMID:14671156,PMID:9333115"
2HBO,2.7830120484134966,0,370.153430578427,-174.46098982415535,2-Hydroxybutyrate:NAD+ Oxidoreductase,Propanoate metabolism,92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1,NA,"PMID:10108,PMID:21765"
2HBt2,0.9398020838857336,0,-9.344191968721896,-301.1048259336561,2-Hydroxybutyrate Symport with Proton,"Transport, extracellular",9123.1 or 9194.1 or 6566.1,NA,"PMID:10510291,PMID:11101640,PMID:12739169,PMID:7835905,PMID:8476015,PMID:9425115,PMID:9508842,PMID:9649795,PMID:9786900,PMID:9824713"
2OXOADOXm,-0.4063977765492474,0,6.711175497891568,15.900517089369613,"2-Oxoadipate:Lipoamde 2-Oxidoreductase (Decarboxylating And Acceptor-Succinylating), Mitochondrial",Lysine metabolism,(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1),NA,NA
2OXOADPTm,-1,0,-13.489525646405621,NA,2-Oxoadipate Shuttle (Cytosol/Mitochondria),Tryptophan metabolism,89874.1,NA,PMID:11083877
34DHOXPEGOX,0.9880350742453915,0,773.3796090798378,4.654560537007047,"3, 4-Dihydroxyphenylethyleneglycol:NAD+ Oxidoreductase",Tyrosine metabolism,130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1),NA,PMID:3466164
34DHOXPEGt,0.9880350742453915,0,773.3796090798378,4.654560537007047,"3, 4-Dihydroxyphenylethyleneglycol Transport (Diffusion)","Transport, extracellular",NA,NA,PMID:7473774
34DHPHAMT,0.8656817233282577,0,360.30415210564735,25.939811803574674,"3, 4-Dihydroxyphenylacetate:Amet O-Methyltransferase",Tyrosine metabolism,1312.1 or 1312.2,NA,PMID:1847521
34DHXMANDACOX_NADP_,-0.9880350742453915,0,-773.3796090798378,-4.654560537007047,"3, 4-Dihydroxymandelaldehyde:NADP+ Oxidoreductase",Tyrosine metabolism,221.1 or 222.1,NA,"PMID:10424772,PMID:12616643"
34HPLFM,-0.9990794037540913,0,0.1042962877610114,226.47991633424758,3- (4-Hydroxyphenyl-)Lactate Formation,Ubiquinone synthesis,NA,NA,"PMID:11583838,PMID:12232327"
34HPPOR,-0.639221826902037,0,3.351484786986145,15.227714493321244,4-Hydroxyphenylpyruvate:Oxygen Oxidoreductase,Tyrosine metabolism,3242.1,NA,NA
3DPHBH1,0.6655028828600706,0,0.26308063251923414,0.052836722204837136,Hydroxylation of 3-Decaprenyl-4-Hydroxybenzoate (NADH),Ubiquinone synthesis,NA,NA,PMID:11051212
3DSPHR,0.49434046688526745,0,59.09968624330163,19.99833399098436,3-Dehydrosphinganine Reductase,Sphingolipid metabolism,2531.1,NA,NA
3HBCOAHLm,-0.7192749207504527,0,8.762810742848652,53.66702820331156,"3-Hydroxyisobutyryl Coenzyme A Hydrolase, Mitochondrial","Valine, leucine, and isoleucine metabolism",NA,NA,PMID:8824301
3HKYNAKGAT,-1,0,0,359.6181767348051,3-Hydroxy-L-Kynurenine:2-Oxoglutarate Aminotransferase,Tryptophan metabolism,51166.1 or 883.1 or 51166.2,NA,PMID:13357462
3MOBt2im,-0.3956255444978084,0,150.57547044909,347.70988585033416,3-Methyl-2-Oxobutanoate Mitochondrial Transport via Proton Symport,"Transport, mitochondrial",NA,NA,PMID:8428987
42A12BOOX,1,0,3.458005926592002,NA,"4- (2-Aminoethyl)-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",Tyrosine metabolism,4129.1 or 8639.1 or 26.1 or 314.2 or 314.1 or 4128.1,NA,"PMID:15035803,PMID:8920635,PMID:9653080"
4ABUTtm,1,0,NA,-827.6421995025635,4-Aminobutanoate Mitochondrial Transport via Diffusion,"Transport, mitochondrial",NA,NA,PMID:10407778
4HBZCOAFm,0.6655028828600706,0,0.26308063251923414,0.052836722204837136,4-Hydroxybenzoyl Coenzyme A Formation,Ubiquinone synthesis,NA,NA,"PMID:11583838,PMID:12232327"
4HBZFm,0.6655028828600706,0,0.26308063251923414,0.052836722204837136,4-Hydroxybenzoate Formation,Ubiquinone synthesis,NA,NA,"PMID:11583838,PMID:12232327"
4MPTNLte,-0.45237434428299267,0,3.4490057354216463,9.147211039359867,4-Methylpentanal Transport,"Transport, extracellular",NA,NA,PMID:8428987
4MPTNLtm,0.45237434428299267,0,-3.4490057354216463,-9.147211039359867,"4-Methylpentanal Transport, Mitochondrial","Transport, mitochondrial",NA,NA,PMID:8428987
4PYRDX,1,0,0.6752200783534769,NA,4-Pyridoxal Secretion,"Transport, extracellular",NA,NA,PMID:6380540
5AOPtm,-1,0,-26.94284248583168,NA,5-Aminolevulinate Mitochondrial Transport,Heme synthesis,NA,NA,PMID:10558864
5FTHFt2,0.5867931509414929,0,381.49028628344536,99.34149201997816,5-Formyltetrahydrofolate Transport via Anion Exchange,"Transport, extracellular",6573.1 or 6573.2,NA,"PMID:11375437,PMID:14770311"
5HOXINDACTO2OX,-0.9565958375097574,0,2.873897550082489,129.5510767011106,5-Hydroxyindoleacetaldehyde:Oxygen Oxidoreductase,Tryptophan metabolism,316.1,NA,PMID:11306106
7DHCHSTEROLtr,1,0,0.23662668113898544,NA,Cholesterol Precursor Intracellular Transport,"Transport, endoplasmic reticular",NA,NA,NA
AACTtm,-0.4778180510815488,0,18.938168549903853,53.596581412743404,"Aminoacetone Transport, Mitochondrial","Transport, mitochondrial",NA,NA,NA
AATAi,1.398548677901833,0,95.72255795444697,-15.905492879760452,"2-Aminoadipate Transaminase, Irreversible",Lysine metabolism,51166.1 or 51166.2,NA,PMID:12126930
ABTArm,1,0,NA,-827.6421995025635,"4-Aminobutyrate Transaminase, Reversible, Mitochondrial",Glutamate metabolism,18.1 or 18.2,NA,"PMID:10407778,PMID:7721088"
