Reaction,fc,pval,MCF10A_KO,MCF10A_P,rxnNames,subSystem,geneRules,kegg,source
10FTHF7GLUtl,1,0,0.961395827860909,NA,"7-Glutamyl-10Fthf Transport, Lysosomal","Transport, lysosomal",NA,NA,PMID:11375437
10FTHF7GLUtm,1,0,0.4660921541863583,NA,"7-Glutamyl-10Fthf Transport, Mitochondrial","Transport, mitochondrial",NA,NA,PMID:11375437
10FTHFtl,-1,0,-0.961395827860909,NA,10-Formyltetrahydrofolate Lysosomal Transport via Diffusion,"Transport, lysosomal",NA,NA,PMID:11375437
10FTHFtm,1,0,0.4660921541863583,NA,10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion,"Transport, mitochondrial",NA,NA,PMID:11375437
25HVITD3tin_m,-0.6062283149946677,0,2.1036721009017465,8.581058066394357,25-Hydroxyvitamin D3 Transport in Mitochondria,"Transport, mitochondrial",NA,NA,NA
25VITD3Hm,-0.6062283149946677,0,2.1036721009017465,8.581058066394357,1-Alpha-Vitamin D-25-Hydroxylase (D3),Vitamin D metabolism,1594.1,NA,"PMID:14671156,PMID:9333115"
2AMACSULT,0.6320238728602062,0,2.578793255900778,0.5814463690028817,2-Aminoacrylate Sulfotransferase,Methionine and cysteine metabolism,6818.1,NA,"PMID:3346220,PMID:6351723"
2HBO,-4.608759799043619,0,-177.71160773830414,114.34230182914156,2-Hydroxybutyrate:NAD+ Oxidoreductase,Propanoate metabolism,92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1,NA,"PMID:10108,PMID:21765"
2OXOADOXm,0.4305071407200357,0,11.33720307992576,4.513403683517949,"2-Oxoadipate:Lipoamde 2-Oxidoreductase (Decarboxylating And Acceptor-Succinylating), Mitochondrial",Lysine metabolism,(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1),NA,NA
34DHOXPEGOX,-1.692482003542827,0,-57.15190816236064,222.21586035162807,"3, 4-Dihydroxyphenylethyleneglycol:NAD+ Oxidoreductase",Tyrosine metabolism,130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1),NA,PMID:3466164
34DHOXPEGt,-1.692482003542827,0,-57.15190816236064,222.21586035162807,"3, 4-Dihydroxyphenylethyleneglycol Transport (Diffusion)","Transport, extracellular",NA,NA,PMID:7473774
34DHPHAMT,1,0,9.949747555264587,NA,"3, 4-Dihydroxyphenylacetate:Amet O-Methyltransferase",Tyrosine metabolism,1312.1 or 1312.2,NA,PMID:1847521
34DHXMANDACOX_NADP_,1,0,NA,-214.06587172391414,"3, 4-Dihydroxymandelaldehyde:NADP+ Oxidoreductase",Tyrosine metabolism,221.1 or 222.1,NA,"PMID:10424772,PMID:12616643"
3DSPHR,-0.7916296610770115,0,11.809682045672458,101.54313109187484,3-Dehydrosphinganine Reductase,Sphingolipid metabolism,2531.1,NA,NA
3HBCDm,-0.507805247258686,0,72.47652817219347,222.02692912201883,"3-Hydroxybutyryl Coenzyme A Dehydratase, Mitochondrial",Butanoate metabolism,55268.1,NA,PMID:9073515
3MOPt2im,-0.7031291754128446,0,31.875380290080678,182.8670440246582,3-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport,"Transport, mitochondrial",NA,NA,PMID:8428987
3SALAASPm,-0.9323309596471396,0,-125.71508862097264,-4.402464993061783,Cysteinesulfinate-Aspartate Mitochondrial Shuttle,"Transport, mitochondrial",10165.1 or 8604.1,NA,PMID:14598172
42A12BOOX,-0.4917740518097849,0,7.735799951914535,22.70656521838659,"4- (2-Aminoethyl)-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",Tyrosine metabolism,4129.1 or 8639.1 or 26.1 or 314.2 or 314.1 or 4128.1,NA,"PMID:15035803,PMID:8920635,PMID:9653080"
4NPHte,1,0,7.232058848436977,NA,Transport of Xenobiotic,"Transport, extracellular",NA,NA,"PMID:8385949,PMID:9219629"
5ADTSTSTERONEGLCte,1,0,3.5261903883466377,NA,Glucuronidated Compound Transport,"Transport, extracellular",4363.1,NA,NA
5ADTSTSTERONEGLCtr,-1,0,-3.5261903883466377,NA,Glucuronidated Compound Transport,"Transport, endoplasmic reticular",NA,NA,NA
5FTHFt2,-0.9589737689363349,0,2.4244470381315653,115.76564623996019,5-Formyltetrahydrofolate Transport via Anion Exchange,"Transport, extracellular",6573.1 or 6573.2,NA,"PMID:11375437,PMID:14770311"
7DHFtl,1,0,0.5545418665438192,NA,"7-Glutamyl-Dhf Transport, Lysosomal","Transport, lysosomal",NA,NA,PMID:11375437
7DHFtm,1,0,0.38539074115171024,NA,"7-Glutamyl-Dhf Transport, M Mitochondrial","Transport, mitochondrial",NA,NA,PMID:11375437
7THFtm,1,0,0.705285766271675,NA,"7-Glutamyl-Thf Transport, M Mitochondrial","Transport, mitochondrial",NA,NA,PMID:11375437
A_MANASEly,-0.9953067574484287,0,0.11638045567559312,49.47852302385271,"Alpha-Mannosidase, Lysosomal",N-glycan degradation,4125.1,NA,PMID:8910458
A4GALTc,0.8645025120633841,0,5.936204628590448,0.4313970133306924,Lactosylceramide 4-Alpha-Galactosyltransferase,Sphingolipid metabolism,53947.1,NA,PMID:10748143
ABUTt2rL,-0.8140125309248191,0,3.4070076445173183,33.22995140932216,"4-Aminobutyrate Reversible Transport in via Proton Symport, Lysosomal","Transport, lysosomal",206358.1,NA,"PMID:11390972,PMID:11959859"
ACACT10m,108.70353103481051,0,15.96338486206618,-16.25981683061337,"Acetyl Coenzyme A C-Acetyltransferase, Mitochondrial","Valine, leucine, and isoleucine metabolism",38.1 or 3032.1 or 10449.1,NA,PMID:676035
ACACt2m,-0.9307413474966296,0,-465.112100951767,-16.684284208600957,Acetoacetate Mitochondrial Transport via H+ Symport,"Transport, mitochondrial",6566.1,NA,"PMID:28726,PMID:627555"
ACACT4p,-0.4402330660766572,0,19.91071166435033,51.22858027202189,"Acetyl Coenzyme A C-Acetyltransferase (Octanoyl Coenzyme A), Peroxisomal",Fatty acid oxidation,30.1,NA,PMID:1679347
ACACT6p,-0.33093949373962067,0,15.67935016387394,31.19040232386887,"Acetyl Coenzyme A C-Acetyltransferase (Dodecanoyl), Peroxisomal",Fatty acid oxidation,30.1,NA,PMID:1679347
ACACT8p,0.6910694602858618,0,6.723581921829859,1.228287684630056,"Acetyl Coenzyme A Acyltransferase (Hexadecanoyl Coenzyme A), Peroxisomal",Fatty acid oxidation,30.1,NA,PMID:1679347
ACALDtx,1,0,139.29595728299617,NA,Acetaldehyde Peroxisomal Diffusion,"Transport, peroxisomal",NA,NA,NA
ACCOAtr,0.8907637738240168,0,-35.60382602743646,-616.2646478994727,Acetyl Coenzyme A Transport,"Transport, endoplasmic reticular",9197.1,NA,NA
ACETONEt2,0.6482244386888923,0,-17.965577633843438,-84.17669493838233,Acetone Transport via Proton Symport,"Transport, extracellular",6566.1 or 9123.1 or 9194.1,NA,"PMID:10510291,PMID:11101640,PMID:12739169,PMID:7835905,PMID:8476015,PMID:9425115,PMID:9508842,PMID:9649795,PMID:9786900,PMID:9824713"
ACGALtly,-0.9065316199691403,0,3.3722849660173058,68.78655559383631,N-Acetyl-Galactosamine Lysosomal Efflux,"Transport, lysosomal",NA,NA,"PMID:2784441,PMID:3753439"
ACGAM6PSi,0.45047462882254596,0,299.0591219302654,113.3012406539917,N-Acetylglucosamine-6-Phosphate Synthase,Aminosugar metabolism,64841.1,NA,NA
ACGAMPM,-0.7307934960116769,0,18.552964992704986,119.28148341653348,Phosphoacetylglucosamine Mutase,Aminosugar metabolism,5238.1,NA,PMID:11004509
ACGAMtly,-0.9413206603553851,0,9.787534913582727,323.80636620595453,N-Acetyl-Glucosamine Lysosomal Efflux,"Transport, lysosomal",NA,NA,"PMID:2784441,PMID:3753439"
ACGPID,-0.9229826068358818,0,4.189880064375326,104.61359645545483,N-Acetylglucosaminylphosphatidylinositol Deacetylase,Phosphatidylinositol phosphate metabolism,9487.1,NA,"PMID:10085243,PMID:14742432"
ACNAM9PL,0.37670911791231726,0,0.6753346475267558,0.3057508101636144,N-Acetylneuraminate 9-Phosphate Pyruvate-Lyase (Pyruvate-Phosphorylating),Aminosugar metabolism,54187.1,NA,PMID:10749855
ACNAMlt,0.8227024186399361,0,-0.686079357847292,-7.0532180717546495,N-Acetylneuraminate Transport into Lysososme,"Transport, lysosomal",26503.1,NA,"PMID:10581036,PMID:2768261"
ACNAMPH,0.37670911791231726,0,0.6753346475267558,0.3057508101636144,N-Acetylneuraminate 9-Phosphate Phosphohydrolase,Aminosugar metabolism,140838.1 or 54.1 or 51205.1,NA,NA
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,0.5583251067789637,0,-0.45148064310044284,-1.592921925530504,Blood Group Intracellular Transport,"Transport, extracellular",NA,NA,NA
ACNMLr,1,0,NA,-438.38815196943284,N-Acetylneuraminate Lyase (Reversible),Aminosugar metabolism,NA,NA,NA
ACOAD10m,-0.5385953614201214,0,8.404777204620872,28.02648725119076,"Acyl Coenzyme A Dehydrogenase (2-Methylbutanoyl Coenzyme A), Mitochondrial","Valine, leucine, and isoleucine metabolism",36.1 or 34.1,NA,PMID:11013134
ACONTm,-1.0285441521596403,0,-1.9238568979263306,136.72252859548925,Aconitate Hydratase,Citric acid cycle,50.1 or 48.1,NA,"PMID:10419470,PMID:17244191,PMID:17244192"
ACRNtm,-1,0,-189.7500089357417,NA,O-Acetylcarnintine Transport into Mitochondria via Diffusion,"Transport, mitochondrial",788.1,NA,"PMID:14598172,PMID:977593"
ACS2,1,0,0.40333236972653974,NA,Acetyl Coenzyme A Synthase (Propionate),Propanoate metabolism,55902.1 or 65985.1 or 55902.2,NA,"PMID:10843999,PMID:12623130"
ADA,-1,0,NA,101.83459302411676,Adenosine Deaminase,Purine catabolism,100.1,NA,"PMID:12381379,PMID:15016824"
ADAe,0.7518412637288218,0,378.0527529211998,53.5534213922292,"Adenosine Deaminase, Extracellular",Purine catabolism,100.1,NA,"PMID:12381379,PMID:15016824"
ADK3,1,0,NA,-153.13113914627732,Adentylate Kinase (GTP),Nucleotide interconversion,26289.1 or 26289.2,NA,PMID:9434148
ADNCYC,-0.37827254865944154,0,0.7185544776857554,1.5929229265575995,Adenylate Cyclase,Nucleotide interconversion,112.1 or 55811.1 or 109.1 or 112.2 or 114.1 or 108.1 or 113.1 or 107.1 or 196883.1 or 115.1 or 111.1,NA,"PMID:10481931,PMID:11299302,PMID:11423534,PMID:11840511,PMID:12503609,PMID:12609998,PMID:12623444,PMID:1427768,PMID:14996950,PMID:15547246,PMID:7860067,PMID:7959689,PMID:8076676"
ADNK1m,-1,0,NA,4.054908589372458,"Adenosine Kinase, Mitochondrial",Nucleotide interconversion,NA,NA,NA
ADNt,-1,0,NA,116.10373670982457,Adenosine Faciliated Transport in Cytosol,"Transport, extracellular",3177.1 or 2030.1,NA,"PMID:10722669,PMID:12838422"
ADNtm,-1.2889288238513859,0,-2.8211311709940077,0.3561081072823711,Adenosine Faciliated Transport in Mitochondria,"Transport, mitochondrial",2030.1,NA,"PMID:10722669,PMID:12838422,PMID:14607828"
ADPMAN,0.4189040674754893,0,1.6286991963822914,0.6670151280964157,ADPmannose Diphosphatase,Nucleotide interconversion,11164.1,NA,"PMID:10567213,PMID:10722730,PMID:12717453"
ADRNCRNt,0.3678323869783774,0,81.43782654891014,37.63791302881855,Transport into the Mitochondria (Carnitine),Fatty acid oxidation,788.1 or 788.1,NA,NA
ADSL2,-0.48423887634777485,2.383129596984608e-5,0.6855091930608644,1.9727337865829428,Adenylosuccinate Lyase,Purine synthesis,158.1 or 158.2,NA,"PMID:1302001,PMID:2004782"
AHANDROSTANGLCte,1,0,0.7921778750633959,NA,Glucuronidated Compound Transport,"Transport, extracellular",4363.1,NA,NA
AHANDROSTANGLCtr,-1,0,-0.7921778750633959,NA,Glucuronidated Compound Transport,"Transport, endoplasmic reticular",NA,NA,NA
AHCYStr,1,0,16.742197618630733,NA,S-Adenosyl-L-Homocysteine Intracellular Diffusion,"Transport, endoplasmic reticular",NA,NA,NA
AHEXASE2ly,-1,0,NA,47.01968980868459,"Beta-N-Acetylhexosaminidase, Lysosomal",N-glycan degradation,3073.1 or 3074.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724"
