Reaction,fc,pval,OVCAR3_A1AKO,OVCAR3_P,rxnNames,subSystem,geneRules,kegg,source
10FTHF7GLUtm,0.3835059673462221,0,1.730428474890406,0.7710836482696187,"7-Glutamyl-10Fthf Transport, Mitochondrial","Transport, mitochondrial",NA,NA,PMID:11375437
10FTHFtm,0.37513430344023235,0,114.19940270525217,51.892596337393535,10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion,"Transport, mitochondrial",NA,NA,PMID:11375437
13DAMPPOX,-0.5758407068746195,0,1.1528867546799855,4.283216017865871,"1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)",Beta-Alanine metabolism,8639.1 or 26.1 or 314.2 or 314.1,NA,"PMID:15035803,PMID:8920635,PMID:9653080"
25HVITD2tin_m,-0.5150787217872878,0,2.6586982448022254,8.306785697669687,25-Hydroxyvitamin D2 Transport in Mitochondria,"Transport, mitochondrial",NA,NA,NA
2AMACSULT,-0.358445747269476,0,0.27407573711402367,0.580335985503441,2-Aminoacrylate Sulfotransferase,Methionine and cysteine metabolism,6818.1,NA,"PMID:3346220,PMID:6351723"
2HBO,-1.4306754189376387,0,-292.0768908002496,51.751186656743684,2-Hydroxybutyrate:NAD+ Oxidoreductase,Propanoate metabolism,92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1,NA,"PMID:10108,PMID:21765"
2HBt2,-0.5716484410005244,0,-298.51071640921197,-81.35886335403025,2-Hydroxybutyrate Symport with Proton,"Transport, extracellular",9123.1 or 9194.1 or 6566.1,NA,"PMID:10510291,PMID:11101640,PMID:12739169,PMID:7835905,PMID:8476015,PMID:9425115,PMID:9508842,PMID:9649795,PMID:9786900,PMID:9824713"
34DHOXPEGOX,-1.1803160994493944,0,-16.225477089839615,196.1925143026568,"3, 4-Dihydroxyphenylethyleneglycol:NAD+ Oxidoreductase",Tyrosine metabolism,130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1),NA,PMID:3466164
34DHOXPEGt,-1.1803160994493944,0,-16.225477089839615,196.1925143026568,"3, 4-Dihydroxyphenylethyleneglycol Transport (Diffusion)","Transport, extracellular",NA,NA,PMID:7473774
34DHPHAMT,0.8477669986524898,0,279.77285373774765,23.04980078717453,"3, 4-Dihydroxyphenylacetate:Amet O-Methyltransferase",Tyrosine metabolism,1312.1 or 1312.2,NA,PMID:1847521
34DHXMANDACOX_NADP_,1.1800323711596952,0,16.225477089839615,-196.47613962704557,"3, 4-Dihydroxymandelaldehyde:NADP+ Oxidoreductase",Tyrosine metabolism,221.1 or 222.1,NA,"PMID:10424772,PMID:12616643"
34HPPOR,-0.4675984826904431,0,7.450441548703454,20.537613730904273,4-Hydroxyphenylpyruvate:Oxygen Oxidoreductase,Tyrosine metabolism,3242.1,NA,NA
3DPHBH1,-0.41347674442804194,0,0.05876735495832509,0.14162488661108072,Hydroxylation of 3-Decaprenyl-4-Hydroxybenzoate (NADH),Ubiquinone synthesis,NA,NA,PMID:11051212
3DSPHR,-0.7110864968690682,0,3.578115295508728,21.191341699287204,3-Dehydrosphinganine Reductase,Sphingolipid metabolism,2531.1,NA,NA
3HBCOAHLm,0.8963733528090142,0,269.2740621765077,14.714385327929026,"3-Hydroxyisobutyryl Coenzyme A Hydrolase, Mitochondrial","Valine, leucine, and isoleucine metabolism",NA,NA,PMID:8824301
3HKYNAKGAT,-1,0,0,186.41189475364686,3-Hydroxy-L-Kynurenine:2-Oxoglutarate Aminotransferase,Tryptophan metabolism,51166.1 or 883.1 or 51166.2,NA,PMID:13357462
3MOBt2im,1,0,653.0928168834686,NA,3-Methyl-2-Oxobutanoate Mitochondrial Transport via Proton Symport,"Transport, mitochondrial",NA,NA,PMID:8428987
3MOPt2im,-0.48466194030881765,0,329.8886448286772,950.391895779419,3-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport,"Transport, mitochondrial",NA,NA,PMID:8428987
3SALAASPm,0.5191011883116963,0,-23.93076791519765,-75.59440176107287,Cysteinesulfinate-Aspartate Mitochondrial Shuttle,"Transport, mitochondrial",10165.1 or 8604.1,NA,PMID:14598172
3SALATAi,0.6499515600205786,0,22.78559110033894,4.8341180504615275,3-Sulfino-Alanine Transaminase (Irreversible),Methionine and cysteine metabolism,2805.1,NA,PMID:3346220
3SPYRSP,0.6499515600205786,0,22.78559110033894,4.8341180504615275,3-Sulfinopyruvate Hydrolase (Spotaneous Reaction),Methionine and cysteine metabolism,NA,NA,PMID:3346220
42A12BOOX,1,0,1.1402082001181115,NA,"4- (2-Aminoethyl)-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",Tyrosine metabolism,4129.1 or 8639.1 or 26.1 or 314.2 or 314.1 or 4128.1,NA,"PMID:15035803,PMID:8920635,PMID:9653080"
4ABUTtm,1,0,NA,-804.32976506958,4-Aminobutanoate Mitochondrial Transport via Diffusion,"Transport, mitochondrial",NA,NA,PMID:10407778
4HBZCOAFm,-0.5421240168927691,0,0.042050207038574226,0.14162488661108072,4-Hydroxybenzoyl Coenzyme A Formation,Ubiquinone synthesis,NA,NA,"PMID:11583838,PMID:12232327"
4HBZFm,-0.5421240168927691,0,0.042050207038574226,0.14162488661108072,4-Hydroxybenzoate Formation,Ubiquinone synthesis,NA,NA,"PMID:11583838,PMID:12232327"
4MPTNLte,-0.4829007570149989,0,1.3053343249956146,3.7433457599353046,4-Methylpentanal Transport,"Transport, extracellular",NA,NA,PMID:8428987
4MPTNLtm,0.4829007570149989,0,-1.3053343249956146,-3.7433457599353046,"4-Methylpentanal Transport, Mitochondrial","Transport, mitochondrial",NA,NA,PMID:8428987
4NPHSFte,0.3710936733914574,0,-0.19317947590479834,-0.42115518008934066,Transport of Xenobiotic,"Transport, extracellular",NA,NA,PMID:9344226
4NPHSULT,-0.3710936733914574,0,0.19317947590479834,0.42115518008934066,4-Nitrophenol Sulfotransferase,Cytochrome metabolism,6799.1 or 6817.3 or 6799.2 or 6818.2 or 6817.2 or 6818.1 or 6817.1 or 6817.4 or 6818.3 or 6817.5,NA,"PMID:11535246,PMID:15293241"
4NPHte,-0.3710936733914574,0,0.19317947590479834,0.42115518008934066,Transport of Xenobiotic,"Transport, extracellular",NA,NA,"PMID:8385949,PMID:9219629"
5FTHFt2,-0.8432235362966499,0,6.244968856432138,73.42220450510979,5-Formyltetrahydrofolate Transport via Anion Exchange,"Transport, extracellular",6573.1 or 6573.2,NA,"PMID:11375437,PMID:14770311"
5HOXINDACTO2OX,1,0,67.17540911035296,NA,5-Hydroxyindoleacetaldehyde:Oxygen Oxidoreductase,Tryptophan metabolism,316.1,NA,PMID:11306106
7DHFtl,-0.37779889513890114,0,0.41950611958697265,0.9289521724651567,"7-Glutamyl-Dhf Transport, Lysosomal","Transport, lysosomal",NA,NA,PMID:11375437
7THFtl,-0.37658634516225875,0,0.28436039227621884,0.6279083399517611,"7-Glutamyl-Thf Transport, Lysosomal","Transport, lysosomal",NA,NA,PMID:11375437
A4GALTc,-0.9123512932563821,0,3.0383133463149163,66.29102325650156,Lactosylceramide 4-Alpha-Galactosyltransferase,Sphingolipid metabolism,53947.1,NA,PMID:10748143
A4GALTg,-0.42361669386123085,0,0.5235574963028193,1.2931415327171796,Lactosylceramide 4-Alpha-Galactosyltransferase,Sphingolipid metabolism,53947.1,NA,"PMID:10747952,PMID:10748143"
ABTArm,1,0,NA,-804.32976506958,"4-Aminobutyrate Transaminase, Reversible, Mitochondrial",Glutamate metabolism,18.1 or 18.2,NA,"PMID:10407778,PMID:7721088"
ABUTt2rL,0.7921840173229788,0,513.8669938678264,59.58638915631175,"4-Aminobutyrate Reversible Transport in via Proton Symport, Lysosomal","Transport, lysosomal",206358.1,NA,"PMID:11390972,PMID:11959859"
ACACT1x,0.4109956943084266,0,340.26761593170164,142.04089472392798,Acetyl Coenzyme A C-Acetyltransferase,Cholesterol metabolism,39.1,NA,PMID:11108725
ACACT4p,-0.41684221074357003,0,13.480416347061842,32.75206685186922,"Acetyl Coenzyme A C-Acetyltransferase (Octanoyl Coenzyme A), Peroxisomal",Fatty acid oxidation,30.1,NA,PMID:1679347
ACACtx,0.7891316069793456,0,-7.990888952894468,-67.79940696036518,Acetoacetate Intracellular Transport Unknown Mechanism,"Transport, peroxisomal",NA,NA,NA
ACALDtm,0.9970300556409929,0,-0.4464568763773219,-300.20353680000306,Acetaldehyde Mitochondrial Diffusion,"Transport, mitochondrial",NA,NA,PMID:9028626
ACALDtx,-0.7687070201220139,0,20.832537953029014,159.30728266771604,Acetaldehyde Peroxisomal Diffusion,"Transport, peroxisomal",NA,NA,NA
ACCOAgt,-0.8412804832525278,0,7.279621353662177,84.44975765199959,Acetyl Coenzyme A Transport,"Transport, extracellular",9197.1,NA,PMID:12739170
ACCOALm,-0.6145644477598124,0,0.20054384557465765,0.8400651195769898,Acetate Coenzyme A Ligase (AMP-Forming),Propanoate metabolism,84532.1 or 79611.1,NA,PMID:11150295
ACCOAtr,-0.531393742665837,0,-639.3336169232368,-195.63599162471294,Acetyl Coenzyme A Transport,"Transport, endoplasmic reticular",9197.1,NA,NA
ACETONEt2,-2.164775090782385,0,-13.363286401935468,36.30898039502951,Acetone Transport via Proton Symport,"Transport, extracellular",6566.1 or 9123.1 or 9194.1,NA,"PMID:10510291,PMID:11101640,PMID:12739169,PMID:7835905,PMID:8476015,PMID:9425115,PMID:9508842,PMID:9649795,PMID:9786900,PMID:9824713"
ACETONEt2m,-2.164775090782385,0,-13.363286401935468,36.30898039502951,Acetone Mitochondrial Transport via Proton Symport,"Transport, mitochondrial",6566.1,NA,NA
ACGAMPM,0.3574717944661907,0,127.84387248928547,60.51197108764649,Phosphoacetylglucosamine Mutase,Aminosugar metabolism,5238.1,NA,PMID:11004509
ACGAMtly,-0.38552134269137744,0,11.790043523283304,26.584091633576154,N-Acetyl-Glucosamine Lysosomal Efflux,"Transport, lysosomal",NA,NA,"PMID:2784441,PMID:3753439"
ACGPID,0.8944552624026433,0,94.24617433198691,5.250684952469543,N-Acetylglucosaminylphosphatidylinositol Deacetylase,Phosphatidylinositol phosphate metabolism,9487.1,NA,"PMID:10085243,PMID:14742432"
ACNAM9PL2,-0.3781864353160464,0,1.1761803145499252,2.6068838749478935,N-Acetylneuraminate 9-Phosphate Pyruvate-Lyase (Pyruvate-Phosphorylating),Aminosugar metabolism,54187.1,NA,PMID:10749855
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,1,0,NA,-0.6765472104988941,Blood Group Intracellular Transport,"Transport, extracellular",NA,NA,NA
ACNMLr,2.7098678878700633,0,3.853559289373293,-8.360994415456126,N-Acetylneuraminate Lyase (Reversible),Aminosugar metabolism,NA,NA,NA
ACOAD10m,0.4899020511263705,0,48.35300667906776,16.5546248561902,"Acyl Coenzyme A Dehydrogenase (2-Methylbutanoyl Coenzyme A), Mitochondrial","Valine, leucine, and isoleucine metabolism",36.1 or 34.1,NA,PMID:11013134
ACOAD1fm,-0.689317179920571,0,7.834643835779245,42.600355008226636,"Acyl Coenzyme A Dehydrogenase (Butanoyl Coenzyme A), Mitochondrial",Butanoate metabolism,80724.1 or 36.1 or 35.1 or 34.1 or 84129.1 or 27034.1 or 28976.1,NA,PMID:2565344
ACOAD9m,0.9512522771430514,0,570.8844177732468,14.262284639947861,"Acyl Coenzyme A Dehydrogenase (Isobutyryl Coenzyme A), Mitochondrial","Valine, leucine, and isoleucine metabolism",34.1 or 27034.1,NA,PMID:11013134
ACONTm,-0.675203301762964,0,3.8122240599919106,19.662300654602053,Aconitate Hydratase,Citric acid cycle,50.1 or 48.1,NA,"PMID:10419470,PMID:17244191,PMID:17244192"
ACS2,-0.6998573216198158,0,0.17960213444388357,1.0171762471789094,Acetyl Coenzyme A Synthase (Propionate),Propanoate metabolism,55902.1 or 65985.1 or 55902.2,NA,"PMID:10843999,PMID:12623130"
ACt2m,1,0,NA,-300.20353680000306,Acetate Mitochondrial Transport via Proton Symport,"Transport, mitochondrial",NA,NA,"PMID:10198029,PMID:15755952"
