Reaction,fc,pval,OVCAR3_A1AKO,OVCAR3_P,subSystem
10FTHF7GLUtl,-0.5719271333641173,0,3.7629301782544995,13.817862586427946,"Transport, lysosomal"
10FTHFtl,0.5719271333641173,0,-3.7629301782544995,-13.817862586427946,"Transport, lysosomal"
10FTHFtm,-0.5828979087292189,0,32.88694150943197,124.80558604052887,"Transport, mitochondrial"
2HBO,5.441622798174184,0,86.6711874645732,-125.69799879137072,Propanoate metabolism
2HBt2,2.5372298033622105,0,117.38179895863234,-270.10040837135165,"Transport, extracellular"
34DHOXPEGOX,-1.0813270153950845,0,-9.013028299285494,230.6620893277876,Tyrosine metabolism
34DHOXPEGt,-1.081327015395086,0,-9.013028299285681,230.6620893277876,"Transport, extracellular"
34DHXMANDACOX_NADP_,1.0440491332293762,0,9.013028299285494,-418.2391645935982,Tyrosine metabolism
34HPLFM,-0.5950435728350237,0,0.47241554477070263,1.8607517447473079,Ubiquinone synthesis
3DPHBH1,-0.4326412385549657,0,1.0157852972216612,2.5649659531318436,Ubiquinone synthesis
3DSPHR,-0.5601669242525246,0,10.771673971934506,38.209062429613084,Sphingolipid metabolism
3HBCDm,0.35389485061778614,0,193.9977657441616,92.57953478348256,Butanoate metabolism
3HBCOAHLm,0.6579966367878285,0,142.97268771715164,29.49170038214419,"Valine, leucine, and isoleucine metabolism"
3MOBt2im,1,-3.0671892497200446,205.67437482147216,NA,"Transport, mitochondrial"
3SALATAim,-0.41063303569490234,0,8.436797489974065,20.19323439490297,Methionine and cysteine metabolism
3SPYRSPm,-0.41063303569490234,0,8.436797489974065,20.19323439490297,Methionine and cysteine metabolism
42A12BOOX,1,-3.070627802690583,7.835275733826356,NA,Tyrosine metabolism
4ABUTtm,1,-3.074074074074074,NA,-886.9878784606933,"Transport, mitochondrial"
4HBZCOAFm,-0.6889323615768669,0,0.47241554477144765,2.5649659531318436,Ubiquinone synthesis
4HBZFm,-0.6889323615768669,0,0.47241554477144765,2.5649659531318436,Ubiquinone synthesis
5FTHFt2,-0.5690269293712427,0,51.710129402744165,188.25906091025138,"Transport, extracellular"
5HOXINDACTO2OX,1,-3.0775280898876405,23.52049428101919,NA,Tryptophan metabolism
7DHFtl,-0.37723964708944885,0,4.221362939739751,9.335578891931661,"Transport, lysosomal"
7DHFtm,-0.37844824262777643,0,2.0854656794575424,4.625047659847962,"Transport, mitochondrial"
ABTArm,1,-3.0809898762654666,NA,-886.9878784606933,Glutamate metabolism
ABUTt2rL,0.7167679941506098,0,315.30237142848966,52.01851584665906,"Transport, lysosomal"
ACACT1x,0.4516808129190957,0,291.7916805688858,110.21360595431328,Cholesterol metabolism
ACACT5p,-0.3435310649999239,0,5.023706727480402,10.281531524135632,Fatty acid oxidation
ACALDtm,0.8797651253841207,0,-5.786642806266042,-90.46900389778614,"Transport, mitochondrial"
ACALDtx,-0.6177035048199824,0,19.79260762459453,83.75324160049185,"Transport, peroxisomal"
ACCOAgt,-0.5040216708065397,0,130.85466503649968,396.8081675283432,"Transport, extracellular"
ACETONEt2,-3.699599116943465,0,-155.4929817486763,89.32011130614113,"Transport, extracellular"
ACETONEt2m,-3.699599116943465,0,-155.4929817486763,89.32011130614113,"Transport, mitochondrial"
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,1,-3.0844594594594597,NA,-4.360286251765238,"Transport, extracellular"
ACNMLr,2.3452927013306253,0,14.781924604238617,-36.75769922877625,Aminosugar metabolism
ACOAD10m,0.7477631309708468,0,140.72947384930868,20.310053024262935,"Valine, leucine, and isoleucine metabolism"
