Reaction,fc,pval,OVCAR3_A1AKO,OVCAR3_P,subSystem
10FTHF7GLUtm,0.3835059673462221,0,1.730428474890406,0.7710836482696187,"Transport, mitochondrial"
10FTHFtm,0.37517588095647597,0,114.19940270525217,51.88757465770604,"Transport, mitochondrial"
13DAMPPOX,-0.5758407068746195,0,1.1528867546799855,4.283216017865871,Beta-Alanine metabolism
25HVITD2tin_m,-0.5150787217872878,0,2.6586982448022254,8.306785697669687,"Transport, mitochondrial"
2AMACSULT,-0.358445747269476,0,0.27407573711402367,0.580335985503441,Methionine and cysteine metabolism
2HBO,-1.4306754189376387,0,-292.0768908002496,51.751186656743684,Propanoate metabolism
2HBt2,-0.6324350253609006,0,-407.97091324744,-91.86020641044081,"Transport, extracellular"
34DHOXPEGOX,-1.1803160994493944,0,-16.225477089839615,196.1925143026568,Tyrosine metabolism
34DHOXPEGt,-1.1803160994493944,0,-16.225477089839615,196.1925143026568,"Transport, extracellular"
34DHPHAMT,0.8477669986524898,0,279.77285373774765,23.04980078717453,Tyrosine metabolism
34DHXMANDACOX_NADP_,1.1773384952709312,0,16.225477089839615,-199.21425304681304,Tyrosine metabolism
34HPPOR,-0.4675984826904431,0,7.450441548703454,20.537613730904273,Tyrosine metabolism
3DPHBH1,-0.41347674442804194,0,0.05876735495832509,0.14162488661108072,Ubiquinone synthesis
3DSPHR,-0.7110864968690682,0,3.578115295508728,21.191341699287204,Sphingolipid metabolism
3HBCOAHLm,0.8963733528090142,0,269.2740621765077,14.714385327929026,"Valine, leucine, and isoleucine metabolism"
3MOBt2im,1,0,653.0928168834686,NA,"Transport, mitochondrial"
3MOPt2im,-0.4846733601451957,0,329.8886448286772,950.420267288208,"Transport, mitochondrial"
3SALAASPm,0.5191870302653354,0,-23.93076791519765,-75.6121704893291,"Transport, mitochondrial"
3SALATAi,0.6499515600205786,0,22.78559110033894,4.8341180504615275,Methionine and cysteine metabolism
3SPYRSP,0.6499515600205786,0,22.78559110033894,4.8341180504615275,Methionine and cysteine metabolism
42A12BOOX,1,0,1.1402082001181115,NA,Tyrosine metabolism
4ABUTtm,1,0,NA,-804.32976506958,"Transport, mitochondrial"
4HBZCOAFm,-0.5421240168927691,0,0.042050207038574226,0.14162488661108072,Ubiquinone synthesis
4HBZFm,-0.5421240168927691,0,0.042050207038574226,0.14162488661108072,Ubiquinone synthesis
4MPTNLte,-0.4829007570149989,0,1.3053343249956146,3.7433457599353046,"Transport, extracellular"
4MPTNLtm,0.4829007570149989,0,-1.3053343249956146,-3.7433457599353046,"Transport, mitochondrial"
4NPHSFte,0.3710936733914574,0,-0.19317947590479834,-0.42115518008934066,"Transport, extracellular"
4NPHSULT,-0.3710936733914574,0,0.19317947590479834,0.42115518008934066,Cytochrome metabolism
