Reaction,fc,pval,Clus,Disp,subSystem
10FTHFtm,-0.9467609422593614,0,227.12403087129593,6.211275936022215,"Transport, mitochondrial"
24_25DHVITD2t,-0.39840497262424274,0,2.5942284727584743,1.116039330265928,"Transport, extracellular"
24_25DHVITD2tm,-0.39840497262424274,0,2.5942284727584743,1.116039330265928,"Transport, mitochondrial"
24_25VITD2Hm,-0.39840497262424274,0,2.5942284727584743,1.116039330265928,Vitamin D metabolism
25VITD2Hm,0.41647984504634167,0,3.321459839873508,8.062756494992561,Vitamin D metabolism
25VITD3Hm,-0.41018530397492664,0,3.7214773476575354,1.55652028452273,Vitamin D metabolism
2AMADPTm,-0.4652529258826664,0,312.851859851265,114.17593081197963,Lysine metabolism
2DR1PP,-1,-12.32,4.102718093843048,NA,Pyrimidine catabolism
2HBO,1.133482903073827,0,-175.05622691588775,10.952519627046064,Propanoate metabolism
2HBt2,1.7165220453437915,0,-251.18692765493392,66.25419126468329,"Transport, extracellular"
2HCO3_NAt,0.4937335172164339,0,-714.742189416504,-242.24536047582626,"Transport, extracellular"
2OXOADPTm,0.44193430678864687,0,-269.06884616069794,-104.13656950063705,Tryptophan metabolism
34DHPHAMT,0.5382799019445599,0,23.495613753759766,78.27865967602096,Tyrosine metabolism
34DHXMANDACOX,-0.7460834124026338,0,270.0642454154968,39.27291854494065,Tyrosine metabolism
34HPLFM,-0.6604868423626968,0,76.95761260825246,15.735217765217927,Ubiquinone synthesis
3AIBTm,0.5738938930120886,0,15.718532752171892,58.05901933824122,"Valine, leucine, and isoleucine metabolism"
3AIBtmi,0.5738938930120886,0,15.718532752171892,58.05901933824122,"Transport, mitochondrial"
3DPHBH2,-1,-12.364963503649635,0.43758069769634095,NA,Ubiquinone synthesis
3DSPHR,0.3350888345410498,0,9.727690094615859,19.53242945203483,Sphingolipid metabolism
3HBCOAHLm,-0.41251882425287106,0,52.06824904266894,21.65572284168396,"Valine, leucine, and isoleucine metabolism"
3HLYTCL,0.4803585078030509,0,30.161678382249875,85.92481138103604,Tyrosine metabolism
3MOBt2im,-0.531377125170932,0,285.95497722301485,87.50623298161923,"Transport, mitochondrial"
3SALAASPm,0.3875871621769647,0,-188.94548578078746,-83.39125951505936,"Transport, mitochondrial"
41R1H2MAE12BOOX,-0.3352559349001461,0,4.454564160052699,2.2176610570339754,Tyrosine metabolism
42A12BOOX,-0.33565448671866177,0,7.165565718096149,3.5641039522390083,Tyrosine metabolism
4HOXPACDOX_NADP_,-0.4595609449009273,0,-102.8467944141388,-277.7578026954651,Tyrosine metabolism
5ADTSTSTERONEte,-0.9130369285201869,0,411.22100825018885,18.69333592118615,"Transport, extracellular"
5HLTDL,0.492250144742113,0,4.751582104755109,13.964650132639706,Tryptophan metabolism
5HOXINDACTO2OX,-0.4535146868265979,0,7.782502712660694,2.9260271469885804,Tryptophan metabolism
5MTHFt,0.9313662690819707,0,4.2484550173208575,119.55233390947879,"Transport, extracellular"
5MTHFt2,-0.6980665939895603,0,-80.61020748646371,-453.34996970357895,"Transport, extracellular"
AACTOOR,-0.5870342606766993,0,51.62078546176553,13.432360195915262,"Glycine, serine, alanine, and threonine metabolism"
AACTtm,-0.5870342606766993,0,51.62078546176553,13.432360195915262,"Transport, mitochondrial"
AATAi,0.4773223682706173,0,-294.33684194450376,-104.13656950063705,Lysine metabolism
ACACT1x,0.47919094586608135,0,158.09365793027877,449.01428950424196,Cholesterol metabolism
ACACt2m,0.8790492254763134,0,-528.16211927948,-33.996776952307755,"Transport, mitochondrial"
ACACT6p,0.4234986878231343,0,5.562813674349321,13.735715424723038,Fatty acid oxidation
ACACT7p,0.33336871458131206,0,6.7305689476482575,13.462209563852358,Fatty acid oxidation
ACACT8p,-0.42549829139962186,0,23.24563402795219,9.368412818962685,Fatty acid oxidation
ACACT9p,0.41686480256676317,0,1.4244905622772444,3.4611365394561724,Fatty acid oxidation
ACACtx,-0.6631756242936853,0,-110.88926483296156,-547.5504018356323,"Transport, peroxisomal"
ACALDtm,0.46382443471616586,0,-77.74699869077601,-28.477486769259475,"Transport, mitochondrial"
ACCOAtn,-2.565810800350497,0,162.1473230494499,-369.25704922218324,"Transport, nuclear"
ACETONEt2,0.4410775835747621,0,16.190975991490063,41.745422748945096,"Transport, extracellular"
ACETONEt2m,0.7817967713576297,0,2.7655613850965923,22.582930498396838,"Transport, mitochondrial"
ACGALK,-1,-12.41025641025641,14.226833248139988,NA,Aminosugar metabolism
ACHtn,-2.565810800350497,0,162.1473230494499,-369.25704922218324,"Transport, nuclear"
ACNMLr,-0.5544021544460985,0,-10.107057391968196,-35.25697429182325,Aminosugar metabolism
ACOAD9m,-0.6355527479953387,0,82.1658023643475,18.308856695173915,"Valine, leucine, and isoleucine metabolism"
ACOAHi,0.41571968813631766,0,14.05501040369142,34.055494497149994,Pyruvate metabolism
ACOAO7p,0.33336871458131206,0,6.7305689476482575,13.462209563852358,Fatty acid oxidation
ACONTm,0.5084840880814904,0,139.07255164570287,426.81981632614134,Citric acid cycle
ACS2,0.4189595510999112,0,1.2623883857764036,3.082880134396704,Propanoate metabolism
ADA,0.3364349918033102,0,28.540927684790642,57.48207633814216,Purine catabolism
ADCim,-1,-12.455882352941176,13.425414617566183,NA,Propanoate metabolism
