Reaction,fc,pval,subSystem
10FTHFtm,0.8945530180773418,0,"Transport, mitochondrial"
34DHOXPEGOX,0.8248386406955573,0,Tyrosine metabolism
34DHOXPEGt,0.8248386406955573,0,"Transport, extracellular"
34DHPHAMT,0.9686315273615296,0,Tyrosine metabolism
AATAi,-2.9422058280226975,0,Lysine metabolism
ACNMLr,2.747388990575697,0,Aminosugar metabolism
ADK3m,-2.6804373335202647,0,Nucleotide interconversion
ADNtm,-0.837546052233102,0,"Transport, mitochondrial"
AHCYStr,0.8259661134912042,0,"Transport, endoplasmic reticular"
ALADGLNexR,-2.158979888979033,0,"Transport, extracellular"
ALAGLNexR,19.667734851028047,0,"Transport, extracellular"
ALAt4,0.8419343471611139,0,"Transport, extracellular"
AMETr,-0.8259661134912042,0,"Transport, endoplasmic reticular"
ARACHCOAtx,1.6629805934611481,0,"Transport, peroxisomal"
ARACHDCOAtx,-0.8890193224541352,0,"Transport, peroxisomal"
BILDGLCURt,-1.7700734919194479,0,"Transport, extracellular"
BILDGLCURtr,-1.7348457553102161,0,"Transport, endoplasmic reticular"
BILGLCURtr,0.9933567688626828,0,"Transport, endoplasmic reticular"
C161CPT2,-0.9664029687250894,0,Fatty acid oxidation
C161CRN2t,9.208794931581904,0,Fatty acid oxidation
C180CRNt,-0.8969899871857319,0,Fatty acid oxidation
C204CRNt,2.1987952230038137,0,Fatty acid oxidation
CERT2rt,-2.491940563947371,0,"Transport, endoplasmic reticular"
CHOLATEt,-1.548265586948624,0,"Transport, extracellular"
CITRtm,5.015803203553803,0,"Transport, mitochondrial"
CYSGLUexR,1.0716306165771203,0,"Transport, extracellular"
CYTDt,-1.2941434441882247,0,"Transport, extracellular"
CYTK10n,2.040652113868818,0,Nucleotide interconversion
CYTK11,2.117552289605554,0,Nucleotide interconversion
CYTK12,-1.07117656417026,0,Nucleotide interconversion
CYTK12n,-2.589706440390206,0,Nucleotide interconversion
CYTK13,-0.8545402175226597,0,Nucleotide interconversion
CYTK14n,5.517761573096033,0,Nucleotide interconversion
CYTK3n,1.7100533683661476,0,Nucleotide interconversion
CYTK4,2.387080870898717,0,Nucleotide interconversion
CYTK4n,-28.519587605216106,0,Nucleotide interconversion
CYTK6,0.9655499245437231,0,Nucleotide interconversion
CYTK7,1.8926821995707346,0,Nucleotide interconversion
CYTK7n,-4.0949792195517505,0,Nucleotide interconversion
CYTK8,-1.9221065127263899,0,Nucleotide interconversion
CYTK9,5.73717695251339,0,Nucleotide interconversion
D3AIBTm,0.8557767644983265,0,Pyrimidine catabolism
DALAt2r,1.0180639678448253,0,"Transport, extracellular"
DCSPTN1CRNt,-7.218366085363123,0,Fatty acid oxidation
DLNLCGCPT1,3.049288486201306,0,Fatty acid oxidation
