Reaction,fc,pval
10FTHFtm,0.8945530180773418,0
34DHOXPEGOX,0.8248386406955573,0
34DHOXPEGt,0.8248386406955573,0
34DHPHAMT,0.9686315273615296,0
AATAi,-2.9422058280226975,0
ACNMLr,2.747388990575697,0
ADK3m,-2.6804373335202647,0
ADNtm,-0.837546052233102,0
AHCYStr,0.8259661134912042,0
ALADGLNexR,-2.158979888979033,0
ALAGLNexR,19.667734851028047,0
ALAt4,0.8419343471611139,0
AMETr,-0.8259661134912042,0
ARACHCOAtx,1.6629805934611481,0
ARACHDCOAtx,-0.8890193224541352,0
BILDGLCURt,-1.7700734919194479,0
BILDGLCURtr,-1.7348457553102161,0
BILGLCURtr,0.9933567688626828,0
C161CPT2,-0.9664029687250894,0
C161CRN2t,9.208794931581904,0
C180CRNt,-0.8969899871857319,0
C204CRNt,2.1987952230038137,0
CERT2rt,-2.491940563947371,0
CHOLATEt,-1.548265586948624,0
CITRtm,5.015803203553803,0
CYSGLUexR,1.0716306165771203,0
CYTDt,-1.2941434441882247,0
CYTK10n,2.040652113868818,0
CYTK11,2.117552289605554,0
CYTK12,-1.07117656417026,0
CYTK12n,-2.589706440390206,0
CYTK13,-0.8545402175226597,0
CYTK14n,5.517761573096033,0
CYTK3n,1.7100533683661476,0
CYTK4,2.387080870898717,0
CYTK4n,-28.519587605216106,0
CYTK6,0.9655499245437231,0
CYTK7,1.8926821995707346,0
CYTK7n,-4.0949792195517505,0
CYTK8,-1.9221065127263899,0
CYTK9,5.73717695251339,0
D3AIBTm,0.8557767644983265,0
DALAt2r,1.0180639678448253,0
DCSPTN1CRNt,-7.218366085363123,0
DLNLCGCPT1,3.049288486201306,0
DTDPtn,2.517926081098656,0
DTTPtn,-2.517926081098656,0
EICOSTETCRNt,-3.699550330889106,0
EICOSTETt,-1.7187298177960093,0
EX_34dhoxpeg[e],0.8248386406955573,0
EX_4nph[e],2.318830795072187,0
EX_ach[e],-6.637655078661523,0
EX_amp[e],178.97234732894464,0
EX_gd1c_hs[e],-3.4855614413133233,0
EX_gq1b_hs[e],-0.8914438848306141,0
EX_hista[e],0.893310966699167,0
EX_i[e],-1.3911237628736994,0
EX_inost[e],-4.161807535406223,0
EX_ocdcea[e],-1.02908976065169,0
EX_thyox_L[e],1.3911237628736994,0
EX_triodthy[e],-4.061424151447727,0
EX_whhdca[e],-4.455569339574334,0
FATP2t,-1.2487328864816722,0
FUMSO3tm,1.4874638200475379,0
FUMtm,-1.6182418098122802,0
FUMTSULtm,-4.1411576596863595,0
G6PDH1rer,1.4397062259520637,0
GLXtm,-0.9834412227150281,0
GQ1Bte,-1.217901540485609,0
GTMLTe,0.9516359264942919,0
H2O2t,-1.6844008597014963,0
H2Otn,0.969348874503338,0
HSD11B2r,14.941635238829338,0
HSD17B2r,-0.8494893221216598,0
HSD3A2r,3.8599586628610147,0
