Reaction,fc,pval,Clus,Disp,subSystem,rxnNames,geneRules,kegg,source
10FTHFtm,-0.9948706566656111,0,269.35201750148536,0.6925757171067876,"Transport, mitochondrial",10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion,NA,NA,PMID:11375437
11DOCRTSLtm,-0.4950744338390046,0,2.3114567027949264,0.7806391159525606,"Transport, mitochondrial",11-Deoxycortisol Intracellular Transport,NA,NA,NA
11DOCRTSTRNtm,0.3816459096339652,0,0.7572588410412427,1.6920136804455426,"Transport, mitochondrial",11-Deoxycorticosterone Intracellular Transport,NA,NA,NA
13DAMPPOX,0.45678622763513976,0,0.7722050332541927,2.0708931079892734,Beta-Alanine metabolism,"1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)",8639.1 or 26.1 or 314.2 or 314.1,NA,"PMID:15035803,PMID:8920635,PMID:9653080"
24_25DHVITD3t,0.4941098190845146,0,0.5576980355549218,1.6471205460023732,"Transport, extracellular","24, 25-Dihydroxyvitamin D3 Transport from Cytoplasm",NA,NA,NA
24_25DHVITD3tm,0.494109819082495,0,0.5576980355579021,1.6471205460023732,"Transport, mitochondrial","24, 25-Dihydroxyvitamin D3 Transport from Mitochondria",NA,NA,NA
24_25VITD3Hm,0.494109819082495,0,0.5576980355579021,1.6471205460023732,Vitamin D metabolism,24R-Vitamin D-25-Hydroxylase (D3),1591.1,NA,"PMID:15358094,PMID:8266831"
25VITD2Hm,0.34286067945723486,0,0.370269333957287,0.7566433994078768,Vitamin D metabolism,1-Alpha-Vitamin D-25-Hydroxylase (D2),1594.1,NA,"PMID:14671156,PMID:9333115"
25VITD3Hm,-0.4118233519764988,0,0.9715735664403725,0.40476514488665943,Vitamin D metabolism,1-Alpha-Vitamin D-25-Hydroxylase (D3),1594.1,NA,"PMID:14671156,PMID:9333115"
2AMACHYD,-0.5854010514068494,0,16.198772871647634,4.23614844655536,"Glycine, serine, alanine, and threonine metabolism",2-Aminoacrylate Hydrolysis,10993.1,NA,PMID:500639
2AMADPTm,0.6450490579560214,0,2.668596190160053,12.367826447813469,Lysine metabolism,L-2-Aminoadipate Shuttle (Cytosol/Mitochondria),89874.1,NA,PMID:11083877
2DR1PP,-1,0,0.4350735619967978,NA,Pyrimidine catabolism,2-Deoxy-D-Ribose 1-Phosphate Phosphorylase,NA,NA,PMID:9693094
2HBO,0.4398527973587389,0,-485.82185619630815,-188.99970485145747,Propanoate metabolism,2-Hydroxybutyrate:NAD+ Oxidoreductase,92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1,NA,"PMID:10108,PMID:21765"
2HCO3_NAt,-0.5675644444520517,0,-9.816982025286556,-35.58623193036169,"Transport, extracellular",Bicarbonate Transport (Na/Hco3 1:2 Symport),57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4,NA,PMID:14722772
2OXOADOXm,0.5102547525295076,0,3.4170064262660547,10.53721342135761,Lysine metabolism,"2-Oxoadipate:Lipoamde 2-Oxidoreductase (Decarboxylating And Acceptor-Succinylating), Mitochondrial",(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1),NA,NA
2OXOADPTm,-3.129653129564382,0,5.7079404617005975,-2.9435724711605777,Tryptophan metabolism,2-Oxoadipate Shuttle (Cytosol/Mitochondria),89874.1,NA,PMID:11083877
34DHPHAMT,-0.6343954421075528,0,115.25427384674549,25.781696858269584,Tyrosine metabolism,"3, 4-Dihydroxyphenylacetate:Amet O-Methyltransferase",1312.1 or 1312.2,NA,PMID:1847521
34HPLFM,0.4383244416515821,0,5.016146006067999,12.845218732030109,Ubiquinone synthesis,3- (4-Hydroxyphenyl-)Lactate Formation,NA,NA,"PMID:11583838,PMID:12232327"
34HPPOR,0.4377703264453546,0,1.5711466539362648,4.017838516493587,Tyrosine metabolism,4-Hydroxyphenylpyruvate:Oxygen Oxidoreductase,3242.1,NA,NA
35CGMPtn,0.722998626316324,0,0.21168455965367902,1.3167162337330989,"Transport, nuclear",35CGMP Nuclear Transport,NA,NA,NA
3DPHBH2,-1,0,0.039419877445157,NA,Ubiquinone synthesis,Hydroxylation of 3-Decaprenyl-4-Hydroxybenzoate (NADPH),NA,NA,PMID:11051212
3HAO,-0.5757392681958828,0,5.636130620423107,1.5175028951979177,Tryptophan metabolism,"3-Hydroxyanthranilate 3, 4-Dioxygenase",23498.1,NA,PMID:7514594
3HBCOAHLm,-0.984842530736799,0,192.90717852811812,1.4731569804207072,"Valine, leucine, and isoleucine metabolism","3-Hydroxyisobutyryl Coenzyme A Hydrolase, Mitochondrial",NA,NA,PMID:8824301
3HKYNAKGAT,0.9532969056923744,0,4.90844073638916,205.28922642707823,Tryptophan metabolism,3-Hydroxy-L-Kynurenine:2-Oxoglutarate Aminotransferase,51166.1 or 883.1 or 51166.2,NA,PMID:13357462
3M4HDXPAC,-0.3920247116563936,0,2.716184249093039,1.1863100476655375,Tyrosine metabolism,3-Methoxy-4-Hydroxyphenylacetaldehyde:NAD+ Oxidoreductase,218.1 or 221.1 or 222.1 or 220.1,NA,"PMID:6422947,PMID:9732974"
3MLDAt,-0.4277792004646639,0,5.552417593295377,2.225280234895942,"Transport, extracellular",3Mlda Extracellular Transport via Diffusion,NA,NA,PMID:11411609
3MOXTYROX,-0.39202471165638525,0,2.716184249093039,1.1863100476655608,Tyrosine metabolism,3-Methoxytyramine:Oxygen Oxidoreductase (Deaminating),4128.1 or 4129.1,NA,PMID:10867119
3SALATAim,0.3509445504194702,0,10.470171114272437,21.79262283049477,Methionine and cysteine metabolism,"3-Sulfino-Alanine Transaminase (Irreversible), Mitochondrial",2806.1,NA,PMID:3346220
3SPYRSPm,0.3509445504194702,0,10.470171114272437,21.79262283049477,Methionine and cysteine metabolism,"3-Sulfinopyruvate Hydrolase (Spotaneous Reaction), Mitochondrial",NA,NA,PMID:3346220
41R1H2MAE12BOOX,-0.6880003998416125,0,5.69647200057403,1.0529008089448988,Tyrosine metabolism,"4-[ (1R)-1-Hydroxy-2- (Methylamino)Ethyl]-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",4128.1 or 4129.1,NA,"PMID:15035803,PMID:8920635,PMID:9653080"
42A12BOOX,-0.8508837304025411,0,13.804127272654002,1.1121281851124338,Tyrosine metabolism,"4- (2-Aminoethyl)-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",4129.1 or 8639.1 or 26.1 or 314.2 or 314.1 or 4128.1,NA,"PMID:15035803,PMID:8920635,PMID:9653080"
4ABUTtm,-0.439408893817851,0,-366.06579310035704,-939.9334960906982,"Transport, mitochondrial",4-Aminobutanoate Mitochondrial Transport via Diffusion,NA,NA,PMID:10407778
4MTOLBUTAMIDEte,-0.3320127641264063,2.639902753028378e-10,-2.294428187096998,-4.575248548855432,"Transport, extracellular",Transport of Xenobiotic,NA,NA,NA
5ADTSTSTERONEGLCte,-0.8021578520635116,0,3.7870279750904707,0.4157425766170147,"Transport, extracellular",Glucuronidated Compound Transport,4363.1,NA,NA
5ADTSTSTERONEGLCtr,0.8021578520635116,0,-3.7870279750904707,-0.4157425766170147,"Transport, endoplasmic reticular",Glucuronidated Compound Transport,NA,NA,NA
5AOPtm,-0.4068382588002993,0,-2.0275172975667184,-4.8087877327137525,Heme synthesis,5-Aminolevulinate Mitochondrial Transport,NA,NA,PMID:10558864
5HLTDL,-0.4688940622421461,0,7.182209236143343,2.5968611825637637,Tryptophan metabolism,5-Hydroxy-L-Tryptophan Decarboxy-Lyase,1644.1,NA,PMID:1540578
5HOXINDACTO2OX,-0.5206304184429768,0,6.467495497841706,2.0388390057965764,Tryptophan metabolism,5-Hydroxyindoleacetaldehyde:Oxygen Oxidoreductase,316.1,NA,PMID:11306106
5HTRPVESSEC,-0.4049680933509892,0,1.0713617257545542,0.45374298064379476,"Transport, extracellular",5-Hydroxy-L-Tryptophan Secretion via Secretory Vesicle (ATP Driven),6570.1 or 6571.1,NA,"PMID:12827358,PMID:15383652"
5MTHFt,-2.3226531381777042,0,188.34542993199824,-74.97492624150738,"Transport, extracellular",5-Methyltetrahydrofolate Transport via Receptor Binding And Protolysis,2348.5 or 2348.3 or 2348.1 or 2348.6 or 2352.1 or 2348.4 or 2348.2,NA,PMID:15094208
A4GALTc,0.8500585341234272,0,1.2325112751252252,15.207387693713606,Sphingolipid metabolism,Lactosylceramide 4-Alpha-Galactosyltransferase,53947.1,NA,PMID:10748143
A4GALTg,0.686230074496297,0,0.7498284250135301,4.029650830748864,Sphingolipid metabolism,Lactosylceramide 4-Alpha-Galactosyltransferase,53947.1,NA,"PMID:10747952,PMID:10748143"
AATAi,-1.078859035959231,0,77.59760381596088,-2.943572471160581,Lysine metabolism,"2-Aminoadipate Transaminase, Irreversible",51166.1 or 51166.2,NA,PMID:12126930
ABO1g,0.49175579686581916,1.2997402651463094e-9,0.08440617245465655,0.24774192459849412,Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",28.1,NA,"PMID:11421346,PMID:12198488,PMID:2121736"
ABO6g,0.905373396467597,0,0.03940130464337072,0.7933730563190526,Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",28.1,NA,"PMID:11421346,PMID:12198488,PMID:2121736"
ABO7g,0.905373396467597,0,0.03940130464337072,0.7933730563190526,Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",28.1,NA,"PMID:11421346,PMID:12198488,PMID:2121736"
ABTArm,-0.439408893817851,0,-366.06579310035704,-939.9334960906982,Glutamate metabolism,"4-Aminobutyrate Transaminase, Reversible, Mitochondrial",18.1 or 18.2,NA,"PMID:10407778,PMID:7721088"
ABUTt2rL,-0.8032254684762773,0,146.36840991283654,15.97225404918883,"Transport, lysosomal","4-Aminobutyrate Reversible Transport in via Proton Symport, Lysosomal",206358.1,NA,"PMID:11390972,PMID:11959859"
ABUTt4_2_r,-1.002184606916159,0,0.3674933830108028,-336.8064017216444,"Transport, extracellular",4-Aminobutyrate Reversible Transport in via Sodium Symport (1:2),6529.1 or 6538.1 or 6540.1 or 6539.1,NA,PMID:12719981
ACACT1x,0.7180203373770077,0,76.00444430345297,463.07304516124725,Cholesterol metabolism,Acetyl Coenzyme A C-Acetyltransferase,39.1,NA,PMID:11108725
ACACt2m,1.8542853493060116,0,-667.1356916940689,199.67318528679908,"Transport, mitochondrial",Acetoacetate Mitochondrial Transport via H+ Symport,6566.1,NA,"PMID:28726,PMID:627555"
ACACT8p,-0.5587265225191457,0,8.220872810646146,2.3273185389947533,Fatty acid oxidation,"Acetyl Coenzyme A Acyltransferase (Hexadecanoyl Coenzyme A), Peroxisomal",30.1,NA,PMID:1679347
ACACtx,-0.8325721868881252,0,-52.84900939782383,-578.4560099481582,"Transport, peroxisomal",Acetoacetate Intracellular Transport Unknown Mechanism,NA,NA,NA
ACCOAgt,-0.33246162977453997,0,232.5117088870883,116.48402005773782,"Transport, extracellular",Acetyl Coenzyme A Transport,9197.1,NA,PMID:12739170
ACCOAtn,-0.33585112598922395,0,10.46325217097383,5.202044608598948,"Transport, nuclear","Acetyl Coenzyme A Transport, Nuclear",NA,NA,NA
ACETONEt2,0.35292880580725616,0,9.254915020269529,19.350639061968774,"Transport, extracellular",Acetone Transport via Proton Symport,6566.1 or 9123.1 or 9194.1,NA,"PMID:10510291,PMID:11101640,PMID:12739169,PMID:7835905,PMID:8476015,PMID:9425115,PMID:9508842,PMID:9649795,PMID:9786900,PMID:9824713"
ACETONEt2m,0.4885084641248481,0,1.5645021719643022,4.552909602162009,"Transport, mitochondrial",Acetone Mitochondrial Transport via Proton Symport,6566.1,NA,NA
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.905373396467597,0,-0.03940130464337072,-0.7933730563190526,"Transport, extracellular",Blood Group Intracellular Transport,NA,NA,NA
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,0.905373396467597,0,0.03940130464337072,0.7933730563190526,"Transport, golgi apparatus",Blood Group Intracellular Transport,NA,NA,NA
ACGALK,-1,0,1.762809211200754,NA,Aminosugar metabolism,N-Acetylgalactosamine Kinase,NA,NA,NA
ACGALtlg,-0.831242961141896,0,-0.19758168681501811,-2.1440295212502147,"Transport, golgi apparatus",N-Acetyl-Galactosamine Intracellular Transport,NA,NA,NA
ACGALtly,-0.8548505562715093,0,93.28217341029644,7.299701603727042,"Transport, lysosomal",N-Acetyl-Galactosamine Lysosomal Efflux,NA,NA,"PMID:2784441,PMID:3753439"
ACGAMK,-0.5881115079441526,0,21.887662065251916,5.676727407104475,Aminosugar metabolism,N-Acetylglucosamine Kinase,55577.1,NA,PMID:10824116
ACGAMPM,0.6779320775881416,0,14.227858834205755,74.1252980257392,Aminosugar metabolism,Phosphoacetylglucosamine Mutase,5238.1,NA,PMID:11004509
ACGBGBSIDEtg,-0.831242961141896,0,-0.19758168681501811,-2.1440295212502147,"Transport, golgi apparatus",Acgbgbside Hs Intracellular Transport,NA,NA,PMID:15907394
ACGBGBSIDEtl,0.831242961141896,0,0.19758168681501811,2.1440295212502147,"Transport, lysosomal",Acgbgbside Hs Intracellular Transport,NA,NA,PMID:15907394
ACGPID,0.46890680250892997,0,4.219976915666415,11.671685548104346,Phosphatidylinositol phosphate metabolism,N-Acetylglucosaminylphosphatidylinositol Deacetylase,9487.1,NA,"PMID:10085243,PMID:14742432"
ACHtn,-0.33585112598922395,0,10.46325217097383,5.202044608598948,"Transport, nuclear","Acetylcholin Transport, Nuclear through Pores",NA,NA,NA
ACITL,-0.5601601995377047,0,0.9259226944261835,0.2610357918889349,Citric acid cycle,ATP-Citrate Lyase,47.1 or 47.2,NA,PMID:2295639
ACN13ACNGALGBSIDEte,0.8731212397498106,0,0.05460842601845216,0.8061885412717551,"Transport, extracellular",Acn13Acngalgbside Hs Transport,NA,NA,PMID:8206147
ACN13ACNGALGBSIDEtg,-0.8731212397498106,0,-0.05460842601845216,-0.8061885412717551,"Transport, golgi apparatus",Acn13Acngalgbside Hs Intracellular Transport,NA,NA,PMID:8206147
ACN23ACNGALGBSIDEte,0.3338823726580791,0,0.0457861402647106,0.09168549653137852,"Transport, extracellular",Acn23Acngalgbside Transport,NA,NA,PMID:8206147
ACN23ACNGALGBSIDEtg,-0.3338823726580791,0,-0.0457861402647106,-0.09168549653137852,"Transport, golgi apparatus",Acn23Acngalgbside Intracellular Transport,NA,NA,NA
ACNACNGAL14ACGLCGALGLUSIDEte,-0.5451493754850195,0,-0.11524678687242995,-0.3914988595486153,"Transport, extracellular",Blood Group Intracellular Transport,NA,NA,NA
