Reaction,fc,pval,Clus,Disp,subSystem,rxnNames,geneRules,kegg,source
10FTHF7GLUtl,0.534981268775306,0,1.3577957276378614,4.481950658757845,"Transport, lysosomal","7-Glutamyl-10Fthf Transport, Lysosomal",NA,NA,PMID:11375437
10FTHF7GLUtm,0.4691365163062931,0,0.7582139988608867,2.09831700072979,"Transport, mitochondrial","7-Glutamyl-10Fthf Transport, Mitochondrial",NA,NA,PMID:11375437
10FTHFtl,-0.534981268775306,0,-1.3577957276378614,-4.481950658757845,"Transport, lysosomal",10-Formyltetrahydrofolate Lysosomal Transport via Diffusion,NA,NA,PMID:11375437
10FTHFtm,-1.0481629533562353,0,418.65891835736187,-9.844846536246525,"Transport, mitochondrial",10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion,NA,NA,PMID:11375437
11DOCRTSLtm,-0.4533118787026288,0,7.861167014542333,2.957112433582725,"Transport, mitochondrial",11-Deoxycortisol Intracellular Transport,NA,NA,NA
13DAMPPOX,-0.6903617240366096,0,14.47878339546642,2.652204829812209,Beta-Alanine metabolism,"1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)",8639.1 or 26.1 or 314.2 or 314.1,NA,"PMID:15035803,PMID:8920635,PMID:9653080"
25VITD2Hm,0.3695168313779867,0,2.225492470339834,4.834148709943788,Vitamin D metabolism,1-Alpha-Vitamin D-25-Hydroxylase (D2),1594.1,NA,"PMID:14671156,PMID:9333115"
25VITD3Hm,-0.43996073926647156,0,4.118122811896789,1.6016481507401459,Vitamin D metabolism,1-Alpha-Vitamin D-25-Hydroxylase (D3),1594.1,NA,"PMID:14671156,PMID:9333115"
2AMACHYD,0.8228232488818112,0,5.133497134781806,52.81425393733736,"Glycine, serine, alanine, and threonine metabolism",2-Aminoacrylate Hydrolysis,10993.1,NA,PMID:500639
2AMACSULT,0.5249923541720447,0,1.2012120245598896,3.856441405275474,Methionine and cysteine metabolism,2-Aminoacrylate Sulfotransferase,6818.1,NA,"PMID:3346220,PMID:6351723"
2HBO,1.4426270978283127,0,-63.36382709906511,11.482123866180704,Propanoate metabolism,2-Hydroxybutyrate:NAD+ Oxidoreductase,92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1,NA,"PMID:10108,PMID:21765"
2HBt2,-1.4608316204204737,0,1.3855477579364552,-7.398797268342227,"Transport, extracellular",2-Hydroxybutyrate Symport with Proton,9123.1 or 9194.1 or 6566.1,NA,"PMID:10510291,PMID:11101640,PMID:12739169,PMID:7835905,PMID:8476015,PMID:9425115,PMID:9508842,PMID:9649795,PMID:9786900,PMID:9824713"
2HCO3_NAt,-1.3519176952869063,0,26.775573202364146,-178.94509216068164,"Transport, extracellular",Bicarbonate Transport (Na/Hco3 1:2 Symport),57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4,NA,PMID:14722772
34DHOXPEGOX,1.1837319303409515,0,-12.332978275761288,146.58267840001267,Tyrosine metabolism,"3, 4-Dihydroxyphenylethyleneglycol:NAD+ Oxidoreductase",130.1 or 127.1 or (125.1 and 124.1) or 131.1 or (126.1 and 124.1) or 128.1 or 137872.1 or (125.1 and 126.1),NA,PMID:3466164
34DHOXPEGt,1.1837319303533695,0,-12.332978276524226,146.5826784000067,"Transport, extracellular","3, 4-Dihydroxyphenylethyleneglycol Transport (Diffusion)",NA,NA,PMID:7473774
34DHPHEt,-2.127472865281754,0,15.798558034828469,-5.695475632286072,"Transport, extracellular","3, 4-Dihydroxy-L-Phenylalanine Transport",117247.1,NA,PMID:11827462
34DHXMANDACOX,-0.9901111915369569,0,56.91524944286346,0.28281032876968387,Tyrosine metabolism,"3, 4-Dihydroxymandelaldehyde:NAD+ Oxidoreductase",221.1 or 218.1 or 220.1,NA,"PMID:10424772,PMID:12616643"
34DHXMANDACOX_NADP_,-0.5784104408843264,0,-37.84967461204529,-141.70730821000933,Tyrosine metabolism,"3, 4-Dihydroxymandelaldehyde:NADP+ Oxidoreductase",221.1 or 222.1,NA,"PMID:10424772,PMID:12616643"
34HPLFM,-0.9273996564832605,0,275.2205789292127,10.36687357804887,Ubiquinone synthesis,3- (4-Hydroxyphenyl-)Lactate Formation,NA,NA,"PMID:11583838,PMID:12232327"
34HPPOR,-0.4551270785908601,0,14.627587015599001,5.477305857076154,Tyrosine metabolism,4-Hydroxyphenylpyruvate:Oxygen Oxidoreductase,3242.1,NA,NA
35CGMPtn,0.45268616486322655,0,1.703415516910841,4.521223465530223,"Transport, nuclear",35CGMP Nuclear Transport,NA,NA,NA
3DPHBH1,-1,0,0.534738329119644,NA,Ubiquinone synthesis,Hydroxylation of 3-Decaprenyl-4-Hydroxybenzoate (NADH),NA,NA,PMID:11051212
3HKYNAKGAT,0.7121329603785205,0,31.557135411792995,187.69085805969237,Tryptophan metabolism,3-Hydroxy-L-Kynurenine:2-Oxoglutarate Aminotransferase,51166.1 or 883.1 or 51166.2,NA,PMID:13357462
3MOX4HOXPGALDOX_NADP_,0.7928890082683152,0,0.5066775216885057,4.386133984375,Tyrosine metabolism,3-Methoxy-4-Hydroxyphenylglycolaldehyde:NADP+ Oxidoreductase,222.1 or 220.1 or 221.1 or 218.1,NA,NA
3SALATAi,-0.3503006549005134,0,19.574640602940555,9.41837000088347,Methionine and cysteine metabolism,3-Sulfino-Alanine Transaminase (Irreversible),2805.1,NA,PMID:3346220
3SPYRSP,-0.3503006549005134,0,19.574640602940555,9.41837000088347,Methionine and cysteine metabolism,3-Sulfinopyruvate Hydrolase (Spotaneous Reaction),NA,NA,PMID:3346220
4MOPt2im,-1,0,91.5667436059177,NA,"Transport, mitochondrial",4-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport,NA,NA,PMID:8428987
