Reaction,fc,pval,Clus,Disp,subSystem,rxnNames,geneRules,kegg,source
10FTHF7GLUtl,0.534981268775306,0,1.3577957276378614,4.481950658757845,"Transport, lysosomal","7-Glutamyl-10Fthf Transport, Lysosomal",NA,NA,PMID:11375437
10FTHF7GLUtm,0.4691365163062931,0,0.7582139988608867,2.09831700072979,"Transport, mitochondrial","7-Glutamyl-10Fthf Transport, Mitochondrial",NA,NA,PMID:11375437
10FTHFtl,-0.534981268775306,0,-1.3577957276378614,-4.481950658757845,"Transport, lysosomal",10-Formyltetrahydrofolate Lysosomal Transport via Diffusion,NA,NA,PMID:11375437
10FTHFtm,-1.0481629533562353,0,418.65891835736187,-9.844846536246525,"Transport, mitochondrial",10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion,NA,NA,PMID:11375437
11DOCRTSLtm,-0.4533118787026288,0,7.861167014542333,2.957112433582725,"Transport, mitochondrial",11-Deoxycortisol Intracellular Transport,NA,NA,NA
11DOCRTSLtr,-0.1728846093846735,0,-1.2552630138166219,-1.7800160489578674,"Transport, endoplasmic reticular",11-Deoxycortisol Intracellular Transport,NA,NA,NA
11DOCRTSTRNtm,0.1309512457389551,0,2.2143946475220204,2.881739802161249,"Transport, mitochondrial",11-Deoxycorticosterone Intracellular Transport,NA,NA,NA
11DOCRTSTRNtr,0.09579120112239785,0,-1.531915844101633,-1.2640836903580726,"Transport, endoplasmic reticular",11-Deoxycorticosterone Intracellular Transport,NA,NA,NA
13DAMPPOX,-0.6903617240366096,0,14.47878339546642,2.652204829812209,Beta-Alanine metabolism,"1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)",8639.1 or 26.1 or 314.2 or 314.1,NA,"PMID:15035803,PMID:8920635,PMID:9653080"
24_25DHVITD2t,0.13493811872463568,0,3.146493747140184,4.1281158854130275,"Transport, extracellular","24, 25-Dihydroxyvitamin D2 Transport from Cytoplasm",NA,NA,NA
24_25DHVITD2tm,0.13493811872463568,0,3.146493747140184,4.1281158854130275,"Transport, mitochondrial","24, 25-Dihydroxyvitamin D2 Transport from Mitochondria",NA,NA,NA
24_25DHVITD3t,0.11658071008658029,0,1.5980388193493615,2.019810230575683,"Transport, extracellular","24, 25-Dihydroxyvitamin D3 Transport from Cytoplasm",NA,NA,NA
24_25DHVITD3tm,0.11658071008658029,0,1.5980388193493615,2.019810230575683,"Transport, mitochondrial","24, 25-Dihydroxyvitamin D3 Transport from Mitochondria",NA,NA,NA
24_25VITD2Hm,0.13493811872463568,0,3.146493747140184,4.1281158854130275,Vitamin D metabolism,24R-Vitamin D-25-Hydroxylase (D2),1591.1,NA,"PMID:15358094,PMID:8266831"
24_25VITD3Hm,0.11658071008658029,0,1.5980388193493615,2.019810230575683,Vitamin D metabolism,24R-Vitamin D-25-Hydroxylase (D3),1591.1,NA,"PMID:15358094,PMID:8266831"
24NPHte,-0.2060748726620834,0,-4.629365344121192,-7.032604241458647,"Transport, extracellular",Transport of Xenobiotic,NA,NA,NA
25HVITD2tin_m,0.2504685054891014,0,5.371986216589803,8.962264594565914,"Transport, mitochondrial",25-Hydroxyvitamin D2 Transport in Mitochondria,NA,NA,NA
25HVITD3tin_m,-0.2243294594491788,0,5.716161631763779,3.621458381619642,"Transport, mitochondrial",25-Hydroxyvitamin D3 Transport in Mitochondria,NA,NA,NA
25VITD2Hm,0.3695168313779867,0,2.225492470339834,4.834148709943788,Vitamin D metabolism,1-Alpha-Vitamin D-25-Hydroxylase (D2),1594.1,NA,"PMID:14671156,PMID:9333115"
25VITD3Hm,-0.43996073926647156,0,4.118122811896789,1.6016481507401459,Vitamin D metabolism,1-Alpha-Vitamin D-25-Hydroxylase (D3),1594.1,NA,"PMID:14671156,PMID:9333115"
2AMACHYD,0.8228232488818112,0,5.133497134781806,52.81425393733736,"Glycine, serine, alanine, and threonine metabolism",2-Aminoacrylate Hydrolysis,10993.1,NA,PMID:500639
2AMACSULT,0.5249923541720447,0,1.2012120245598896,3.856441405275474,Methionine and cysteine metabolism,2-Aminoacrylate Sulfotransferase,6818.1,NA,"PMID:3346220,PMID:6351723"
2AMADPTm,-0.16720285673780577,0,240.75301315429212,171.77684275639058,Lysine metabolism,L-2-Aminoadipate Shuttle (Cytosol/Mitochondria),89874.1,NA,PMID:11083877
2DR1PP,0.10898173201778041,0,2.465214523952125,3.0682624260430655,Pyrimidine catabolism,2-Deoxy-D-Ribose 1-Phosphate Phosphorylase,NA,NA,PMID:9693094
2HBO,1.4426270978283127,0,-63.36382709906511,11.482123866180704,Propanoate metabolism,2-Hydroxybutyrate:NAD+ Oxidoreductase,92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1,NA,"PMID:10108,PMID:21765"
2HBt2,-1.4608316204204737,0,1.3855477579364552,-7.398797268342227,"Transport, extracellular",2-Hydroxybutyrate Symport with Proton,9123.1 or 9194.1 or 6566.1,NA,"PMID:10510291,PMID:11101640,PMID:12739169,PMID:7835905,PMID:8476015,PMID:9425115,PMID:9508842,PMID:9649795,PMID:9786900,PMID:9824713"
2HCO3_NAt,-1.3519176952869063,0,26.775573202364146,-178.94509216068164,"Transport, extracellular",Bicarbonate Transport (Na/Hco3 1:2 Symport),57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4,NA,PMID:14722772
2OXOADOXm,-0.3050921099025913,0,72.09750410501957,38.38895667114854,Lysine metabolism,"2-Oxoadipate:Lipoamde 2-Oxidoreductase (Decarboxylating And Acceptor-Succinylating), Mitochondrial",(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1),NA,NA
